,example_compound_name,InChIKey,InChIKey_simp,SMILES,Standard_SMILES,CAS ID,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family,refDOI
count,530757,530751,530751,530743,530729,464339,530757,530757,530757,521418,530757,530757
unique,148352,148860,96346,101042,96496,10779,27388,25246,25246,23826,358,61661
top,beta-sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,19044-06-5,Camellia sinensis,Tripterygium wilfordii,Tripterygium wilfordii Hook.f.,Citrus × aurantium,Asteraceae,10.1002/FFJ.2730100605
freq,3057,3055,4803,3127,4805,20199,1399,1451,1451,2078,73060,901
