,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id,ipniID.type,ipniID
0,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q1907191,literal,Moquilea licaniaeflora,literal,MDZKJHQSJHYOHJ-LLICELPBSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)O)C,en,literal,maslinic acid,literal,10.1016/S0367-326X(00)00321-X,literal,4373-41-5,literal,CHEMBL201515,,
1,uri,http://www.wikidata.org/entity/Q104848314,uri,http://www.wikidata.org/entity/Q3334749,literal,Moquilea licaniaeflora,literal,SOSLMHZOJATCCP-AEIZVZFYSA-N,literal,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,en,literal,afzelin,literal,10.1016/S0305-1978(01)00089-8,literal,482-39-3,literal,CHEMBL240528,,
2,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q5242815,literal,Moquilea cariae,literal,OVSQVDMCBVZWGM-DTGCRPNFSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,en,literal,hyperoside,literal,10.14264/UQL.2014.538,literal,482-36-0,,,literal,60472898-2
3,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q1907191,literal,Moquilea cariae,literal,MDZKJHQSJHYOHJ-LLICELPBSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)O)C,en,literal,maslinic acid,literal,10.14264/UQL.2014.538,literal,4373-41-5,literal,CHEMBL201515,literal,60472898-2
4,uri,http://www.wikidata.org/entity/Q80700911,uri,http://www.wikidata.org/entity/Q27106259,literal,Hymenopus intrapetiolaris,literal,IXQKXEUSCPEQRD-DKRGWESNSA-N,literal,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,en,literal,cucurbitacin b,literal,10.1021/NP0005006,literal,6199-67-3,literal,CHEMBL508185,literal,77156976-1
5,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q27145562,literal,Moquilea cariae,literal,FOHXFLPXBUAOJM-LIBJPBHASA-N,literal,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O,en,literal,myricetin 3-O-beta-D-glucopyranoside,literal,10.1016/0031-6865(96)00010-6,literal,19833-12-6,literal,CHEMBL1221722,literal,60472898-2
6,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q105111916,literal,Moquilea cariae,literal,IEPKWJCBNGNVDF-WQIPHUEGSA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=C(O)C(O)=C(OC)C5,en,literal,"2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",literal,10.1016/0031-6865(96)00010-6,,,,,literal,60472898-2
7,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q5172335,literal,Moquilea cariae,literal,HFGSQOYIOKBQOW-ZSDYHTTISA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1C)C)C(=O)O,en,literal,corosolic acid,literal,10.1016/0031-6865(96)00010-6,literal,4547-24-4,literal,CHEMBL391533,literal,60472898-2
8,uri,http://www.wikidata.org/entity/Q85192266,uri,http://www.wikidata.org/entity/Q416260,literal,Moquilea tomentosa,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,en,literal,ursolic acid,literal,10.1016/S0304-3835(02)00593-1,literal,77-52-1,literal,CHEMBL169,literal,726782-1
9,uri,http://www.wikidata.org/entity/Q92116862,uri,http://www.wikidata.org/entity/Q27145562,literal,Moquilea cariae,literal,FOHXFLPXBUAOJM-LIBJPBHASA-N,literal,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O,en,literal,myricetin 3-O-beta-D-glucopyranoside,literal,10.14264/UQL.2014.538,literal,19833-12-6,literal,CHEMBL1221722,literal,60472898-2
