,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q82329187,literal,Lindsaea trichomanoides,literal,WGNURPYJZZHCBQ-ZNABNZNXSA-N,literal,C12=C3CCC4C5(C)CCCC(C)(C)C5CCC4(C)C3(C)CCC1(C)C(CC2)C(C)C,literal,17136600-1,en,literal,hopene II,literal,10.1248/CPB.45.636,literal,21681-17-4,,
1,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104402057,literal,Lindsaea trichomanoides,literal,GLQVZWPBANIBQW-GAOOKYTESA-N,literal,O=CC1=CCCC2C1(C)CCC3C2(C)CCC4(C)C5CCC(C(C)C)C5(C)CCC34C,literal,17136600-1,en,literal,Filicenal,literal,10.1248/CPB.45.636,,,,
2,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104402057,literal,Lindsaea trichomanoides,literal,GLQVZWPBANIBQW-GAOOKYTESA-N,literal,O=CC1=CCCC2C1(C)CCC3C2(C)CCC4(C)C5CCC(C(C)C)C5(C)CCC34C,literal,17136600-1,en,literal,Filicenal,literal,10.1515/ZNC-2003-3-409,,,,
3,uri,http://www.wikidata.org/entity/Q15596429,uri,http://www.wikidata.org/entity/Q418599,literal,Odontosoria gymnogrammoides,literal,YQUVCSBJEUQKSH-UHFFFAOYSA-N,literal,c1cc(c(cc1C(=O)O)O)O,literal,172542-2,en,literal,"3,4-dihydroxybenzoic acid",literal,10.1248/YAKUSHI1947.107.10_774,literal,99-50-3,literal,CHEMBL37537
4,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104389386,literal,Lindsaea trichomanoides,literal,CFSDWXPIIWGIDB-KPZQMCALSA-N,literal,C1=C2C3CCC(C(C)C)C3(C)CCC2(C)C4(C)CCC5C(C)(C)CCCC5(C)C4C1,literal,17136600-1,en,literal,Neohop-12-ene,literal,10.1248/CPB.45.636,,,,
5,uri,http://www.wikidata.org/entity/Q15251799,uri,http://www.wikidata.org/entity/Q105032990,literal,Lindsaea ensifolia,literal,HSDRVWVQKLFYDT-UHFFFAOYSA-N,literal,O=C(O)CC12OC=3C=C(O)C=C(O)C3C=C2C(=O)CC1,literal,17134850-1,en,literal,Lindseic acid,literal,10.1248/CPB.26.2600,,,,
6,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104958158,literal,Lindsaea trichomanoides,literal,CGTGHBWPWUEMOV-RWRWHMSNSA-N,literal,O=C(OC1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C)C,literal,17136600-1,en,literal,Glaucanol B acetate,literal,10.1248/CPB.45.636,,,,
7,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104996848,literal,Lindsaea trichomanoides,literal,FKVXXIPMMDRATH-UHFFFAOYSA-N,literal,OC1C2=C3CCC4C5(C)CCCC(C)(C)C5CCC4(C)C3(C)CCC2(C)C(C1)C(C)C,literal,17136600-1,en,literal,"3a,5a,5b,8,8,11a-Hexamethyl-3-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13-tetradecahydrocyclopenta[a]chrysen-1-ol",literal,10.1248/CPB.45.639,,,,
8,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104402056,literal,Lindsaea trichomanoides,literal,KETZXRQFCKBMKO-IMNBPYFRSA-N,literal,C1=C(C)C2(C)CCC3C(C)(CCC4(C)C5CCC(C(C)C)C5(C)CCC34C)C2CC1,literal,17136600-1,en,literal,Filic-3-ene,literal,10.1248/CPB.45.636,,,,
9,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104398782,literal,Lindsaea trichomanoides,literal,KETZXRQFCKBMKO-GAOOKYTESA-N,literal,C1=C(C)C2(C)CCC3C(C)(CCC4(C)C5CCC(C(C)C)C5(C)CCC34C)C2CC1,literal,17136600-1,en,literal,Filicene,literal,10.1515/ZNC-2003-3-409,literal,2472-29-9,,
10,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q105343810,literal,Lindsaea trichomanoides,literal,XWVYZEDBZZZHCP-QAECVVHPSA-N,literal,OCC12CCCC(C)(C)C2CC=C3C1CCC4(C)C5CCC(C(C)C)C5(C)CCC34C,literal,17136600-1,en,literal,Fern-7-en-25-ol,literal,10.1248/CPB.45.639,,,,
11,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q105217936,literal,Lindsaea trichomanoides,literal,QBPFGVAFXQFATR-UHFFFAOYSA-N,literal,OC1CC2C3(C)CCCC(C)(C)C3CCC2(C)C4(C)CCC5(C(=CCC5C(C)C)C14)C,literal,17136600-1,en,literal,"3a,5a,5b,8,8,11a-Hexamethyl-3-propan-2-yl-2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a-tetradecahydrocyclopenta[a]chrysen-13-ol",literal,10.1248/CPB.45.639,,,,
12,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q105214930,literal,Lindsaea trichomanoides,literal,PTWDXFXWKUNEOH-UHFFFAOYSA-N,literal,C1=C2C(=CCC3(C)C4CCC(C(C)C)C4(C)CCC23C)C5(C)CCCC(C)(C)C5C1,literal,17136600-1,en,literal,"3a,5a,8,8,11a,13a-Hexamethyl-3-propan-2-yl-1,2,3,4,5,7,7a,9,10,11,13,13b-dodecahydrocyclopenta[a]chrysene",literal,10.1248/CPB.45.636,,,,
13,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q104949284,literal,Lindsaea trichomanoides,literal,BYHNDWHKOIUCBE-UHFFFAOYSA-N,literal,O=CCCC1C(=C)CCC2C1(C)CCC3(C)C4CCC(C(C)C)C4(C)CCC23C,literal,17136600-1,en,literal,"3-(5,8,9,13-Tetramethyl-3-methylidene-17-propan-2-yl-1,2,4,6,7,10,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-4-yl)propanal",literal,10.1248/CPB.44.630,,,,
14,uri,http://www.wikidata.org/entity/Q15245334,uri,http://www.wikidata.org/entity/Q27104329,literal,Lindsaea chienii,literal,NGSWKAQJJWESNS-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C=CC(=O)O)O,literal,17338470-1,en,literal,4-coumaric acid,literal,10.1248/CPB.28.1859,literal,7400-08-0,,
15,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q82952458,literal,Lindsaea trichomanoides,literal,DCBAVUVLEYSTPU-ZTPVQENVSA-N,literal,O=C(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C,literal,17136600-1,en,literal,Isoadiantone,literal,10.1248/CPB.45.636,literal,54352-47-5,,
16,uri,http://www.wikidata.org/entity/Q16979948,uri,http://www.wikidata.org/entity/Q105254115,literal,Lindsaea trichomanoides,literal,SIXIZPBGUPIUAK-UHFFFAOYSA-N,literal,O=COC12CCCC(C)(C)C2CC=C3C1CCC4(C)C5CCC(C(C)C)C5(C)CCC34C,literal,17136600-1,en,literal,"(3a,5a,8,8,13a-Pentamethyl-3-propan-2-yl-1,2,3,4,5,7,7a,9,10,11,11b,12,13,13b-tetradecahydrocyclopenta[a]chrysen-11a-yl) formate",literal,10.1248/CPB.45.636,,,,
