,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,chembl_id.type,chembl_id,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q10951708,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ecarinatum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544039-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1016/0031-9422(89)80309-7
1,uri,http://www.wikidata.org/entity/Q10951708,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ecarinatum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544039-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1016/S0031-9422(00)83028-9
2,uri,http://www.wikidata.org/entity/Q10951708,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ecarinatum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544039-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1071/CH9700421
3,uri,http://www.wikidata.org/entity/Q10951708,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ecarinatum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544039-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1016/0031-9422(86)80015-2
4,uri,http://www.wikidata.org/entity/Q5396543,uri,http://www.wikidata.org/entity/Q7247551,literal,Erythroxylum novogranatense,literal,XFZJEEAOWLFHDH-UKWJTHFESA-N,literal,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,literal,20315-25-7,literal,97004-2,literal,CHEMBL504937,en,literal,procyanidin B1,literal,10.1016/S0031-9422(00)81581-2
5,uri,http://www.wikidata.org/entity/Q5396531,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ellipticum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544042-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1016/0031-9422(88)80122-5
6,uri,http://www.wikidata.org/entity/Q5396531,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ellipticum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544042-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1016/0031-9422(89)80309-7
7,uri,http://www.wikidata.org/entity/Q5396531,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ellipticum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544042-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1016/S0031-9422(00)83028-9
8,uri,http://www.wikidata.org/entity/Q5396531,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ellipticum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544042-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1071/CH9700421
9,uri,http://www.wikidata.org/entity/Q5396531,uri,http://www.wikidata.org/entity/Q7845588,literal,Erythroxylum ellipticum,literal,XQJMXPAEFMWDOZ-UHFFFAOYSA-N,literal,CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3,literal,537-26-8,literal,544042-1,literal,CHEMBL1947052,en,literal,tropacocaine,literal,10.1016/0031-9422(86)80015-2
