,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q158015,uri,http://www.wikidata.org/entity/Q190012,literal,Portulaca oleracea,literal,OIRDTQYFTABQOQ-KQYNXXCUSA-N,literal,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,literal,58-61-7,literal,323270-2,en,literal,adenosine,literal,CHEMBL477,literal,10.1016/J.PHYTOCHEM.2005.08.011
1,uri,http://www.wikidata.org/entity/Q17249791,uri,http://www.wikidata.org/entity/Q420138,literal,Portulaca cryptopetala,literal,CTMLKIKAUFEMLE-FTNGGYTGSA-N,literal,O=C(O)C1=NC(C(=O)O)CC(C=CN2C3=CC(O)=C(OC4OC(CO)C(O)C(O)C4O)C=C3CC2C(=O)O)=C1,literal,7659-95-2,literal,208558-2,en,literal,Betanin,,,literal,10.1016/S0044-328X(83)80204-9
2,uri,http://www.wikidata.org/entity/Q17250216,uri,http://www.wikidata.org/entity/Q420138,literal,Portulaca smallii,literal,CTMLKIKAUFEMLE-FTNGGYTGSA-N,literal,O=C(O)C1=NC(C(=O)O)CC(C=CN2C3=CC(O)=C(OC4OC(CO)C(O)C(O)C4O)C=C3CC2C(=O)O)=C1,literal,7659-95-2,literal,208698-2,en,literal,Betanin,,,literal,10.1016/S0044-328X(83)80204-9
3,uri,http://www.wikidata.org/entity/Q17249791,uri,http://www.wikidata.org/entity/Q27106961,literal,Portulaca cryptopetala,literal,DHHFDKNIEVKVKS-RYGANQNKSA-N,literal,C1C(NC(=CC1=CC=[N+]2C(CC3=CC(=C(C=C32)O)OC4C(C(C(C(O4)CO)O)O)O)C(=O)[O-])C(=O)O)C(=O)O,literal,15121-53-6,literal,208558-2,en,literal,"(2S)-1-[(2E)-2-[(2R)-2,6-dicarboxy-2,3-dihydro-1H-pyridin-4-ylidene]ethylidene]-6-hydroxy-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydroindol-1-ium-2-carboxylate",,,literal,10.1016/S0044-328X(83)80204-9
4,uri,http://www.wikidata.org/entity/Q17250216,uri,http://www.wikidata.org/entity/Q27106961,literal,Portulaca smallii,literal,DHHFDKNIEVKVKS-RYGANQNKSA-N,literal,C1C(NC(=CC1=CC=[N+]2C(CC3=CC(=C(C=C32)O)OC4C(C(C(C(O4)CO)O)O)O)C(=O)[O-])C(=O)O)C(=O)O,literal,15121-53-6,literal,208698-2,en,literal,"(2S)-1-[(2E)-2-[(2R)-2,6-dicarboxy-2,3-dihydro-1H-pyridin-4-ylidene]ethylidene]-6-hydroxy-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydroindol-1-ium-2-carboxylate",,,literal,10.1016/S0044-328X(83)80204-9
5,uri,http://www.wikidata.org/entity/Q158015,uri,http://www.wikidata.org/entity/Q193213,literal,Portulaca oleracea,literal,FERIUCNNQQJTOY-UHFFFAOYSA-N,literal,CCCC(=O)O,literal,107-92-6,literal,323270-2,en,literal,butyric acid,literal,CHEMBL14227,literal,10.1016/S0021-9673(00)00747-0
6,uri,http://www.wikidata.org/entity/Q158015,uri,http://www.wikidata.org/entity/Q190143,literal,Portulaca oleracea,literal,BJEPYKJPYRNKOW-UHFFFAOYSA-N,literal,C(C(C(=O)O)O)C(=O)O,literal,6915-15-7,literal,323270-2,en,literal,DL-malic acid,literal,CHEMBL1455497,literal,10.1016/0378-8741(93)90067-F
7,uri,http://www.wikidata.org/entity/Q17249791,uri,http://www.wikidata.org/entity/Q27103157,literal,Portulaca cryptopetala,literal,YQDKULBMDMPFLH-FSRBREEPSA-N,literal,C1C(NC(=CC1=CC=O)C(=O)O)C(=O)O,literal,18766-66-0,literal,208558-2,en,literal,(S)-betalamic acid,literal,CHEMBL2062984,literal,10.1016/S0044-328X(83)80204-9
8,uri,http://www.wikidata.org/entity/Q158015,uri,http://www.wikidata.org/entity/Q207688,literal,Portulaca oleracea,literal,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,literal,CCCCCCCCC=CCCCCCCCC(=O)O,literal,112-80-1,literal,323270-2,en,literal,oleic acid,literal,CHEMBL8659,literal,10.1002/LIPI.19860880806
9,uri,http://www.wikidata.org/entity/Q158015,uri,http://www.wikidata.org/entity/Q207688,literal,Portulaca oleracea,literal,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,literal,CCCCCCCCC=CCCCCCCCC(=O)O,literal,112-80-1,literal,323270-2,en,literal,oleic acid,literal,CHEMBL8659,literal,10.21608/BFSA.1985.75707
