,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q3016041,uri,http://www.wikidata.org/entity/Q82971367,literal,Madhuca pasquieri,literal,YCOKATFNRPZIIU-MGBZEVKYSA-N,literal,O=C(O)C12CCC(C)C(O)(C)C2C3=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC4(C)C3(C)CC1,literal,65669-84-3,literal,787534-1,en,literal,"2,3,19,23-Tetrahydroxyurs-12-en-28-oic acid",literal,10.1515/ZNC-1997-5-603,,
1,uri,http://www.wikidata.org/entity/Q2720146,uri,http://www.wikidata.org/entity/Q951449,literal,Madhuca longifolia,literal,IKMDFBPHZNJCSN-UHFFFAOYSA-N,literal,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,literal,529-44-2,literal,787505-1,en,literal,myricetin,literal,10.1016/S0031-9422(00)90058-X,literal,CHEMBL164
2,uri,http://www.wikidata.org/entity/Q3016041,uri,http://www.wikidata.org/entity/Q4690888,literal,Madhuca pasquieri,literal,RSYUFYQTACJFML-UKRRQHHQSA-N,literal,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,literal,24808-04-6,literal,787534-1,en,literal,(-)-epiafzelechin,literal,10.1515/ZNC-1997-5-603,literal,CHEMBL159303
3,uri,http://www.wikidata.org/entity/Q2720146,uri,http://www.wikidata.org/entity/Q104969604,literal,Madhuca longifolia,literal,CSVOJBHLRRLOJX-PRBDKIEWSA-N,literal,O=C(OC1OCC(O)C(O)C1OC2OC(C)C(OC3OCC(O)C(OC4OC(C)C(O)C(O)C4O)C3O)C(OC5OCC(O)(CO)C5O)C2O)C67CCC(C)(C)CC7C8=CCC9C%10(C)CC(O)C(OC%11OC(CO)C(O)C(O)C%11O)C(C)(CO)C%10C(O)CC9(C)C8(C)CC6,,,literal,787505-1,,literal,Q104969604,literal,10.1021/NP000351R,,
4,uri,http://www.wikidata.org/entity/Q804658,uri,http://www.wikidata.org/entity/Q150977,literal,Manilkara bidentata,literal,FIGVVZUWCLSUEI-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCC,literal,638-67-5,literal,1032531-2,en,literal,tricosane,literal,10.1039/JR9630000677,,
5,uri,http://www.wikidata.org/entity/Q14959,uri,http://www.wikidata.org/entity/Q419829,literal,Manilkara zapota,literal,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,literal,COC1=C(C=C(C=C1)CC=C)OC,literal,93-15-2,literal,152641-2,en,literal,methyl eugenol,literal,10.1021/JF00111A026,literal,CHEMBL108861
6,uri,http://www.wikidata.org/entity/Q2720146,uri,http://www.wikidata.org/entity/Q105130152,literal,Madhuca longifolia,literal,JKDKWICYSPHZGM-FEFJXFADSA-N,literal,O=C(OC1CCC2(C)C3C(=O)C=C4C5CC(C)(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)CCCCCCC,,,literal,787505-1,en,literal,Madhucic acid,literal,10.1002/HLCA.200490109,,
7,uri,http://www.wikidata.org/entity/Q804658,uri,http://www.wikidata.org/entity/Q150831,literal,Manilkara bidentata,literal,YCOZIPAWZNQLMR-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCC,literal,629-62-9,literal,1032531-2,en,literal,pentadecane,literal,10.1039/JR9630000677,,
8,uri,http://www.wikidata.org/entity/Q14959,uri,http://www.wikidata.org/entity/Q421614,literal,Manilkara zapota,literal,NPNUFJAVOOONJE-GFUGXAQUSA-N,literal,CC1=CCCC(=C)C2CC(C2CC1)(C)C,literal,87-44-5,literal,152641-2,en,literal,caryophyllene,literal,10.1021/JF00111A026,literal,CHEMBL445740
9,uri,http://www.wikidata.org/entity/Q2716667,uri,http://www.wikidata.org/entity/Q105282288,literal,Manilkara kauki,literal,UZLQVROEJVLMNP-VTVQYPMYSA-N,literal,O=C(OC1CCC2(C)C3CC=C4C5C(C)C(C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C)CCCCCCC,,,literal,787653-1,en,literal,"[(3R,4aR,6aR,6bS,8aR,11R,12S,12aR,14aR,14bR)-4,4,6a,6b,8a,11,12,14b-octamethyl-2,3,4a,5,6,7,8,9,10,11,12,12a,14,14a-tetradecahydro-1H-picen-3-yl] octanoate",literal,10.1016/S0031-9422(00)85821-5,,
