,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q104400449,literal,Schizolaena hystrix,literal,LKAFYCSXBIOTDY-KUCZMUFWSA-N,literal,O=C1C=2C(OC(C3=CC=C(OC)C=C3)C1)=CC(O)=C(C2O)CC=C(C)CCC=C(C)C,literal,790101-1,en,literal,4'-O-methylbonannione A,literal,10.1021/NP049639X,,,,
1,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q82232130,literal,Schizolaena hystrix,literal,XYIQIBWIEGCVQY-RWHUQTJRSA-N,literal,O=C1C2=C(O)C(=C(O)C=C2OC(C3=CC=C(O)C=C3)C1)CC=C(C)CCC=C(C)C,literal,790101-1,en,literal,Bonannione A,literal,10.1021/NP049639X,literal,97126-57-3,,
2,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q27135257,literal,Schizolaena hystrix,literal,XCYSQFHYFNWYFP-CEMXSPGASA-N,literal,CC(=CCCC(=CCC1=C(C=C2C(=C1O)C(=O)CC(O2)C3=CC(=C(C=C3)O)O)O)C)C,literal,790101-1,en,literal,nymphaeol A,literal,10.1021/NP049639X,,,literal,CHEMBL223256
3,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q82232130,literal,Schizolaena hystrix,literal,XYIQIBWIEGCVQY-RWHUQTJRSA-N,literal,O=C1C2=C(O)C(=C(O)C=C2OC(C3=CC=C(O)C=C3)C1)CC=C(C)CCC=C(C)C,literal,790101-1,en,literal,Bonannione A,literal,10.1021/NP049639X.S001,literal,97126-57-3,,
4,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q27135257,literal,Schizolaena hystrix,literal,XCYSQFHYFNWYFP-CEMXSPGASA-N,literal,CC(=CCCC(=CCC1=C(C=C2C(=C1O)C(=O)CC(O2)C3=CC(=C(C=C3)O)O)O)C)C,literal,790101-1,en,literal,nymphaeol A,literal,10.1021/NP049639X.S001,,,literal,CHEMBL223256
5,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q105309018,literal,Schizolaena hystrix,literal,WNEAAJKGMLICIY-QFIPXVFZSA-N,literal,O=C1C2=C(O)C(=C(O)C=C2OC(C3=CC=C(O)C(=C3)CC=C(C)C)C1)CC=C(C)C,literal,790101-1,en,literal,paratocarpin L,literal,10.1021/NP049639X,,,,
6,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q105309018,literal,Schizolaena hystrix,literal,WNEAAJKGMLICIY-QFIPXVFZSA-N,literal,O=C1C2=C(O)C(=C(O)C=C2OC(C3=CC=C(O)C(=C3)CC=C(C)C)C1)CC=C(C)C,literal,790101-1,en,literal,paratocarpin L,literal,10.1021/NP049639X.S001,,,,
7,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q105302144,literal,Schizolaena hystrix,literal,WCWOWFQELCQQCI-ZAZHNGRFSA-N,literal,O=C1C2=C(O)C(=C(O)C=C2OC(C3=CC=C(O)C=C3)C1O)CC=C(C)CCC=C(C)C,literal,790101-1,en,literal,"(2S,3S)-6-[(2E)-3,7-dimethylocta-2,6-dienyl]-3,5,7-trihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",literal,10.1021/NP049639X,,,,
8,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q27134994,literal,Schizolaena hystrix,literal,NALIGSFHPZUJQO-KIAIXJHNSA-N,literal,CC(=CCCC(=CCC1=C(C=CC(=C1)C2CC(=O)C3=C(C(=C(C=C3O2)O)CC=C(C)C)O)O)C)C,literal,790101-1,en,literal,schizolaenone A,literal,10.1021/NP049639X,,,literal,CHEMBL516931
9,uri,http://www.wikidata.org/entity/Q15571159,uri,http://www.wikidata.org/entity/Q27134994,literal,Schizolaena hystrix,literal,NALIGSFHPZUJQO-KIAIXJHNSA-N,literal,CC(=CCCC(=CCC1=C(C=CC(=C1)C2CC(=O)C3=C(C(=C(C=C3O2)O)CC=C(C)C)O)O)C)C,literal,790101-1,en,literal,schizolaenone A,literal,10.1021/NP049639X.S001,,,literal,CHEMBL516931
