,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,chembl_id.type,chembl_id,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q5192451,literal,Begonia nantoensis,literal,NDYMQXYDSVBNLL-MUYMLXPFSA-N,literal,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)O)C)C)C)O)O,literal,1016138-1,literal,18444-66-1,literal,CHEMBL455056,en,literal,cucurbitacin E,literal,10.1248/CPB.52.345
1,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q5192451,literal,Begonia nantoensis,literal,NDYMQXYDSVBNLL-MUYMLXPFSA-N,literal,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)O)C)C)C)O)O,literal,1016138-1,literal,18444-66-1,literal,CHEMBL455056,en,literal,cucurbitacin E,literal,10.1002/CHIN.200434239
2,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q422067,literal,Begonia nantoensis,literal,KBPHJBAIARWVSC-RGZFRNHPSA-N,literal,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,literal,1016138-1,literal,127-40-2,literal,CHEMBL1979448,en,literal,lutein,literal,10.1248/CPB.52.345
3,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q422067,literal,Begonia nantoensis,literal,KBPHJBAIARWVSC-RGZFRNHPSA-N,literal,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,literal,1016138-1,literal,127-40-2,literal,CHEMBL1979448,en,literal,lutein,literal,10.1002/CHIN.200434239
4,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q417362,literal,Begonia nantoensis,literal,KSEBMYQBYZTDHS-HWKANZROSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)O)O,literal,1016138-1,literal,537-98-4,literal,CHEMBL32749,en,literal,ferulic acid,literal,10.1002/CHIN.200434239
5,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q99374,literal,Begonia nantoensis,literal,NGSWKAQJJWESNS-ZZXKWVIFSA-N,literal,C1=CC(=CC=C1C=CC(=O)O)O,literal,1016138-1,literal,501-98-4,literal,CHEMBL66879,en,literal,(E)-p-coumaric acid,literal,10.1248/CPB.52.345
6,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q99374,literal,Begonia nantoensis,literal,NGSWKAQJJWESNS-ZZXKWVIFSA-N,literal,C1=CC(=CC=C1C=CC(=O)O)O,literal,1016138-1,literal,501-98-4,literal,CHEMBL66879,en,literal,(E)-p-coumaric acid,literal,10.1002/CHIN.200434239
7,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q56231106,literal,Begonia nantoensis,literal,QAIPRVGONGVQAS-UHFFFAOYSA-N,literal,OC(=O)C=Cc1ccc(O)c(O)c1,literal,1016138-1,literal,331-39-5,,,en,literal,caffeic acid,literal,10.1248/CPB.52.345
8,uri,http://www.wikidata.org/entity/Q9168329,uri,http://www.wikidata.org/entity/Q425004,literal,Begonia heracleifolia,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,104828-1,literal,83-48-7,literal,CHEMBL400247,en,literal,stigmasterol,literal,10.1055/S-2006-957460
9,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q418599,literal,Begonia nantoensis,literal,YQUVCSBJEUQKSH-UHFFFAOYSA-N,literal,c1cc(c(cc1C(=O)O)O)O,literal,1016138-1,literal,99-50-3,literal,CHEMBL37537,en,literal,"3,4-dihydroxybenzoic acid",literal,10.1248/CPB.52.345
10,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q418599,literal,Begonia nantoensis,literal,YQUVCSBJEUQKSH-UHFFFAOYSA-N,literal,c1cc(c(cc1C(=O)O)O)O,literal,1016138-1,literal,99-50-3,literal,CHEMBL37537,en,literal,"3,4-dihydroxybenzoic acid",literal,10.1002/CHIN.200434239
11,uri,http://www.wikidata.org/entity/Q10907911,uri,http://www.wikidata.org/entity/Q74417675,literal,Begonia nantoensis,literal,KIWLCEXSSGNBJU-UHFFFAOYSA-N,literal,O=C(OCC(O)CO)CCCCCCCCCCCCCCCCCCCCCCC,literal,1016138-1,literal,118605-21-3,,,en,literal,1-tetracosanoylglycerol,literal,10.1248/CPB.52.345
