,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q83070264,literal,Muntingia calabura,literal,PVJNLMXWZXXHSZ-UHFFFAOYSA-N,literal,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC=CC=C3)O,literal,480-14-8,literal,320779-2,en,literal,Isalpinin,literal,10.1055/S-2005-871223,,
1,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q973741,literal,Muntingia calabura,literal,RTIXKCRFFJGDFG-UHFFFAOYSA-N,literal,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,literal,480-40-0,literal,320779-2,en,literal,chrysin,literal,10.1016/S0031-9422(03)00112-2,literal,CHEMBL117
2,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q973741,literal,Muntingia calabura,literal,RTIXKCRFFJGDFG-UHFFFAOYSA-N,literal,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,literal,480-40-0,literal,320779-2,en,literal,chrysin,literal,10.3109/13880209309082922,literal,CHEMBL117
3,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q973741,literal,Muntingia calabura,literal,RTIXKCRFFJGDFG-UHFFFAOYSA-N,literal,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,literal,480-40-0,literal,320779-2,en,literal,chrysin,literal,10.1055/S-2005-871223,literal,CHEMBL117
4,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q83036661,literal,Muntingia calabura,literal,UKWLNMIPRJLYGH-UHFFFAOYSA-N,literal,COC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC(=C(C=C3)OC)OC,literal,1621-61-0,literal,320779-2,en,literal,"3',4',7-Trimethoxyisoflavone",literal,10.1016/S0031-9422(03)00112-2,,
5,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q83047261,literal,Muntingia calabura,literal,CILMBWBPHLLNEH-UHFFFAOYSA-N,literal,O=C1C(O)=C(OC2=C(OC)C(OC)=CC(O)=C12)C=3C=CC=CC3,literal,22399-73-1,literal,320779-2,en,literal,Gnaphaliin B,literal,10.1016/S0031-9422(03)00112-2,,
6,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q83098619,literal,Muntingia calabura,literal,OYCOUDKDRFJOCP-UHFFFAOYSA-N,literal,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC=CC=C3)O,literal,70786-48-0,literal,320779-2,en,literal,"4H-1-Benzopyran-4-one, 5-hydroxy-3,7-dimethoxy-2-phenyl-",literal,10.1055/S-2005-871223,,
7,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q953294,literal,Muntingia calabura,literal,SUYJZKRQHBQNCA-LSDHHAIUSA-N,literal,C1=CC=C(C=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,literal,548-82-3,literal,320779-2,en,literal,pinobanksin,literal,10.1016/S0031-9422(03)00112-2,literal,CHEMBL608410
8,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q83092184,literal,Muntingia calabura,literal,IUKBSFKDMZKGMT-UHFFFAOYSA-N,literal,COC1=C(C2=C(C(=C1)O)C(=O)C(=C(O2)C3=CC=C(C=C3)O)OC)OC,literal,6586-29-4,literal,320779-2,en,literal,"Herbacetin 3,7,8-trimethyl ether",literal,10.1016/S0031-9422(03)00112-2,,
9,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q105236677,literal,Muntingia calabura,literal,RHXKHTYRDAJUEZ-UHFFFAOYSA-N,literal,O=C1C=C(OC2=C(O)C(OC)=CC=C12)C=3C=C(O)C(OC)=C(OC)C3,literal,133343-00-7,literal,320779-2,en,literal,"8,3'-Dihydroxy-7,4',5'-trimethoxyflavone",literal,10.1021/NP50073A019,,
10,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q121802,literal,Muntingia calabura,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,19044-06-5,literal,320779-2,en,literal,beta-sitosterol,literal,10.1002/JCCS.200400100,,
11,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q27280983,literal,Muntingia calabura,literal,FMEHGPQTMOPUGM-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,literal,4382-17-6,literal,320779-2,en,literal,"3,3'-di-O-methylquercetin",literal,10.1016/S0031-9422(03)00112-2,literal,CHEMBL511363
12,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q105033606,literal,Muntingia calabura,literal,HTUAAJBUIBPCOA-UHFFFAOYSA-N,literal,O=C1C=C(OC2=C(O)C(OC)=CC=C12)C=3C=C(OC)C(OC)=C(OC)C3,,,literal,320779-2,en,literal,"8-Hydroxy-7,3',4',5'-tetramethoxyflavone",literal,10.1002/JCCS.200400100,,
13,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q27105473,literal,Muntingia calabura,literal,VJJZJBUCDWKPLC-UHFFFAOYSA-N,literal,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,literal,1592-70-7,literal,320779-2,en,literal,3-methoxyapigenin,literal,10.1016/S0031-9422(03)00112-2,literal,CHEMBL165064
14,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q27149542,literal,Muntingia calabura,literal,ORJDDOBAOGKRJV-AWEZNQCLSA-N,literal,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O,literal,480-37-5,literal,320779-2,en,literal,pinostrobin,literal,10.1016/S0031-9422(03)00112-2,literal,CHEMBL254613
15,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q27165761,literal,Muntingia calabura,literal,DXDRHHKMWQZJHT-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,literal,13745-20-5,literal,320779-2,en,literal,GU17;ISL;Isoliquiritigen,literal,10.1016/S0031-9422(03)00112-2,literal,CHEMBL3183256
16,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q105118688,literal,Muntingia calabura,literal,IQXUAKMLDBLFJK-UHFFFAOYSA-N,literal,O=C1C=C(OC2=C(OC)C(OC)=CC=C12)C=3C=C(OC)C(OC)=C(OC)C3,literal,133342-97-9,literal,320779-2,en,literal,"3',4',5',7,8-Pentamethoxyflavone",literal,10.1021/NP50073A019,,
17,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q27295808,literal,Muntingia calabura,literal,LTVDFSLWFKLJDQ-IEOSBIPESA-N,literal,CC1=C(C(=O)C(=C(C1=O)C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O)C,literal,7559-04-8,literal,320779-2,en,literal,alpha-tocopherylquinone,literal,10.1055/S-2007-967196,literal,CHEMBL1223852
18,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q10910637,literal,Muntingia calabura,literal,BJBUTJQYZDYRMJ-UHFFFAOYSA-N,literal,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC=C(C=C3)O)O,literal,3301-49-3,literal,320779-2,en,literal,kumatakenin,literal,10.1055/S-2007-967196,literal,CHEMBL349724
19,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q4027534,literal,Muntingia calabura,literal,CZMRCDWAGMRECN-UGDNZRGBSA-N,literal,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,literal,57-50-1,literal,320779-2,en,literal,sucrose,literal,10.1007/BF01100201,literal,CHEMBL253582
20,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q3356627,literal,Muntingia calabura,literal,LKOJGSWUMISDOF-UHFFFAOYSA-N,literal,COC1=C(C=C2C(=C1O)C(=O)C=C(O2)C3=CC=CC=C3)O,literal,480-11-5,literal,320779-2,en,literal,oroxylin A,literal,10.1055/S-2007-967196,literal,CHEMBL183513
21,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q27134971,literal,Muntingia calabura,literal,GBQSWSKEZIAPTN-UIOOFZCWSA-N,literal,COC1=CC(=CC(=C1OC)O)C2CCC3=C(O2)C(=C(C=C3C4=CC(=C(C5=C4CCC(O5)C6=CC(=C(C(=C6)OC)OC)O)O)OC)OC)O,,,literal,320779-2,en,literal,"(2S)-2-(3-hydroxy-4,5-dimethoxyphenyl)-5-[(2S)-8-hydroxy-2-(3-hydroxy-4,5-dimethoxyphenyl)-7-methoxy-3,4-dihydro-2H-chromen-5-yl]-7-methoxy-3,4-dihydro-2H-chromen-8-ol",literal,10.1021/NP50073A019,literal,CHEMBL503775
22,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q105004508,literal,Muntingia calabura,literal,FYIPCBNZSKNQSP-AWEZNQCLSA-N,literal,O=C1C2=CC=C(O)C(OC)=C2OC(C=3C=CC=CC3)C1,,,literal,320779-2,en,literal,(2S)-7-Hydroxy-8-methoxyflavanone,literal,10.1055/S-2005-871223,,
23,uri,http://www.wikidata.org/entity/Q1915507,uri,http://www.wikidata.org/entity/Q105021419,literal,Muntingia calabura,literal,GVLNXQDHAFPPFW-HESOAOHTSA-N,literal,O=C(OCC1OC(OC2=CC(O)=C3C(=O)C(O)=C(OC3=C2)C=4C=CC(O)=CC4)C(O)C(O)C1O)C=CC5=CC=C(O)C=C5,literal,142750-32-1,literal,320779-2,en,literal,buddlenoid A,literal,10.3109/13880209309082922,,
