,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,ipniID.type,ipniID,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15543189,uri,http://www.wikidata.org/entity/Q105300478,literal,Stemona kerrii,literal,WAULTDWQPCNZBI-FMOMLNHOSA-N,literal,O=C1OC(C(OC)=C1C)=C2OC34OC5CCC(N(CCC3)C5C4C2C)C(O)CC,en,literal,"(5E)-5-[(1R,6R,9R,10R,11R,12S)-6-[(1R)-1-hydroxypropyl]-12-methyl-14,15-dioxa-5-azatetracyclo[7.5.1.01,11.05,10]pentadecan-13-ylidene]-4-methoxy-3-methylfuran-2-one",literal,10.1016/S0031-9422(03)00332-7,literal,821988-1,,,,
1,uri,http://www.wikidata.org/entity/Q15543189,uri,http://www.wikidata.org/entity/Q105300478,literal,Stemona kerrii,literal,WAULTDWQPCNZBI-FMOMLNHOSA-N,literal,O=C1OC(C(OC)=C1C)=C2OC34OC5CCC(N(CCC3)C5C4C2C)C(O)CC,en,literal,"(5E)-5-[(1R,6R,9R,10R,11R,12S)-6-[(1R)-1-hydroxypropyl]-12-methyl-14,15-dioxa-5-azatetracyclo[7.5.1.01,11.05,10]pentadecan-13-ylidene]-4-methoxy-3-methylfuran-2-one",literal,10.1021/NP2004374,literal,821988-1,,,,
2,uri,http://www.wikidata.org/entity/Q15543189,uri,http://www.wikidata.org/entity/Q105300478,literal,Stemona kerrii,literal,WAULTDWQPCNZBI-FMOMLNHOSA-N,literal,O=C1OC(C(OC)=C1C)=C2OC34OC5CCC(N(CCC3)C5C4C2C)C(O)CC,en,literal,"(5E)-5-[(1R,6R,9R,10R,11R,12S)-6-[(1R)-1-hydroxypropyl]-12-methyl-14,15-dioxa-5-azatetracyclo[7.5.1.01,11.05,10]pentadecan-13-ylidene]-4-methoxy-3-methylfuran-2-one",literal,10.1021/NP070099O,literal,821988-1,,,,
3,uri,http://www.wikidata.org/entity/Q104398938,uri,http://www.wikidata.org/entity/Q110204719,literal,Stemona collinsae,literal,KLMKGDIYOORAED-UHFFFAOYSA-N,literal,O=C1C=2C(O)=CC(OC)=CC2OC3=C1C=4C=C(OC)C(OC)=CC4OC3OCC,en,literal,stemonacetal,literal,10.1016/S0040-4039(01)82619-8,,,,,,
4,uri,http://www.wikidata.org/entity/Q15543189,uri,http://www.wikidata.org/entity/Q82943513,literal,Stemona kerrii,literal,YRGLLFADJRHUKM-UHFFFAOYSA-N,literal,O=C1OC2(C(=O)C(=C3CCCCN4CCCC342)C)C(OC)=C1C,en,literal,Isostemonamine,literal,10.1021/NP070099O.S001,literal,821988-1,literal,41758-66-1,,
5,uri,http://www.wikidata.org/entity/Q104398938,uri,http://www.wikidata.org/entity/Q27138463,literal,Stemona collinsae,literal,WXCVDEUJZBRYIT-SDQCIQBXSA-N,literal,CCC(CC12C3CCN1C4CC2OC35C4C(C(=C6C(=C(C(=O)O6)C)OC)O5)C)O,en,literal,(2'S)-Hydroxystemofoline,literal,10.1016/J.PHYTOCHEM.2007.03.002,,,,,literal,CHEMBL1807142
6,uri,http://www.wikidata.org/entity/Q104398938,uri,http://www.wikidata.org/entity/Q27137732,literal,Stemona collinsae,literal,WXCVDEUJZBRYIT-BYEHHIJUSA-N,literal,CCC(CC12C3(CCN2C4(CC1(OC35C4(C(C)(C(=C6C(=C(C)C(=O)O6)OC)O5)[H])[H])[H])[H])[H])(O)[H],en,literal,2'-hydroxystemofoline,literal,10.1002/CBDV.200490023,,,,,,
7,uri,http://www.wikidata.org/entity/Q104398938,uri,http://www.wikidata.org/entity/Q105385529,literal,Stemona collinsae,literal,ZXGSOIIHJOKSSX-UHFFFAOYSA-N,literal,OC=1C=C(O)C=C(C1)CCC=2C=CC=CC2OC,en,literal,"5-[2-(2-methoxyphenyl)ethyl]benzene-1,3-diol",literal,10.1021/NP0105073,,,,,,
8,uri,http://www.wikidata.org/entity/Q104398938,uri,http://www.wikidata.org/entity/Q105385529,literal,Stemona collinsae,literal,ZXGSOIIHJOKSSX-UHFFFAOYSA-N,literal,OC=1C=C(O)C=C(C1)CCC=2C=CC=CC2OC,en,literal,"5-[2-(2-methoxyphenyl)ethyl]benzene-1,3-diol",literal,10.1021/NP0497043,,,,,,
9,uri,http://www.wikidata.org/entity/Q104398938,uri,http://www.wikidata.org/entity/Q105259986,literal,Stemona collinsae,literal,SSVROKZRNCIQNZ-UHFFFAOYSA-N,literal,OC1=C2C=C(OC2=CC=C1C)C=3C(=C(O)C(=C(OC)C3C)C)C,en,literal,Stemofuran H,literal,10.1021/NP0105073,,,,,,
