,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q105004200,literal,Gloriosa superba,literal,FXSBDVDBRNRBMH-UNZKAFMDSA-N,literal,OC=1C=CC=2NC3=C(C2C1)CCNC3CC4CC5C6=CC(OC)=C(O)C=C6CCN5CC4CC,literal,535953-1,en,literal,"(2S,3R,11bS)-3-ethyl-2-[[(1R)-6-hydroxy-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indol-1-yl]methyl]-10-methoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizin-9-ol",literal,10.1021/ACS.JNATPROD.9B00880,,,,
1,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q9268800,literal,Gloriosa superba,literal,HDSXDWASQCHADG-HNNXBMFYSA-N,literal,COC1=CC=C2C(=CC1=O)C(CCC3=CC(=C(C(=C32)OC)OC)OC)NC=O,literal,535953-1,en,literal,gloriosine,literal,10.1021/ACS.JNATPROD.9B00880,literal,7411-12-3,literal,CHEMBL85710
2,uri,http://www.wikidata.org/entity/Q657297,uri,http://www.wikidata.org/entity/Q27275337,literal,Sandersonia aurantiaca,literal,JRRUSQGIRBEMRN-HNNXBMFYSA-N,literal,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)O,literal,540483-1,en,literal,3-desmethylcolchicine,literal,10.3987/COM-11-12260,literal,7336-33-6,literal,CHEMBL1081
3,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q183290,literal,Gloriosa superba,literal,MTCFGRXMJLQNBG-REOHCLBHSA-N,literal,C(C(C(=O)O)N)O,literal,535953-1,en,literal,L-serine,literal,10.1016/0305-1978(86)90092-X,literal,56-45-1,literal,CHEMBL11298
4,uri,http://www.wikidata.org/entity/Q657297,uri,http://www.wikidata.org/entity/Q306135,literal,Sandersonia aurantiaca,literal,OENHQHLEOONYIE-JLTXGRSLSA-N,literal,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,literal,540483-1,en,literal,β-carotene,literal,10.1016/S0304-4238(97)00124-6,literal,7235-40-7,literal,CHEMBL1293
5,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q72486054,literal,Gloriosa superba,literal,AAUQLHHARJUJEH-UHFFFAOYSA-N,literal,COC1=CC=CC(=C1C(=O)O)O,literal,535953-1,en,literal,6-Methoxysalicylic acid,literal,10.1039/CT9150700835,literal,3147-64-6,,
6,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q485277,literal,Gloriosa superba,literal,HNDVDQJCIGZPNO-YFKPBYRVSA-N,literal,C1=C(NC=N1)CC(C(=O)O)N,literal,535953-1,en,literal,L-histidine,literal,10.1016/0305-1978(86)90092-X,literal,71-00-1,literal,CHEMBL17962
7,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q178450,literal,Gloriosa superba,literal,CKLJMWTZIZZHCS-REOHCLBHSA-N,literal,C(C(C(=O)O)N)C(=O)O,literal,535953-1,en,literal,L-aspartic acid,literal,10.1016/0305-1978(86)90092-X,literal,56-84-8,literal,CHEMBL274323
8,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q105243195,literal,Gloriosa superba,literal,RQBJMBIJPXQVMP-AWEZNQCLSA-N,literal,COc1cc2c(c3c1OCO3)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,literal,535953-1,en,literal,"N-[(9S)-5-hydroxy-14-methoxy-6-oxo-16,18-dioxatetracyclo[10.7.0.02,8.015,19]nonadeca-1(19),2,4,7,12,14-hexaen-9-yl]acetamide",literal,10.1135/CCCC19841536,,,,
9,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q104998165,literal,Gloriosa superba,literal,FMZOHNLGBVZQAC-AWEZNQCLSA-N,literal,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC=O)CC2,literal,535953-1,en,literal,N-Deacetyl-N-formyl-2-demethylcolchicine,literal,10.1021/ACS.JNATPROD.9B00880,,,,
10,uri,http://www.wikidata.org/entity/Q657297,uri,http://www.wikidata.org/entity/Q169337,literal,Sandersonia aurantiaca,literal,JKQXZKUSFCKOGQ-QAYBQHTQSA-N,literal,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,literal,540483-1,en,literal,zeaxanthin,literal,10.1016/S0304-4238(97)00124-6,literal,144-68-3,literal,CHEMBL2359248
11,uri,http://www.wikidata.org/entity/Q2175092,uri,http://www.wikidata.org/entity/Q484940,literal,Gloriosa superba,literal,AGPKZVBTJJNPAG-WHFBIAKZSA-N,literal,CCC(C)C(C(=O)O)N,literal,535953-1,en,literal,L-isoleucine,literal,10.1016/0305-1978(86)90092-X,literal,73-32-5,literal,CHEMBL1233584
12,uri,http://www.wikidata.org/entity/Q544852,uri,http://www.wikidata.org/entity/Q105211380,literal,Kuntheria pedunculata,literal,PMBXAKHNZRLXJE-UHFFFAOYSA-N,literal,O1C=2C=C3C(=CC2OC1)C45N(CCC3)CCC5C=CC(OC)C4,literal,944257-1,en,literal,Alkaloid PC-I,literal,10.1071/CH9692187,,,,
