,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.type,structureLabel,refDOI.type,refDOI,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q5227681,uri,http://www.wikidata.org/entity/Q105244277,literal,Datisca glomerata,literal,RRPAPBCRZGEXTR-SDZYZSMOSA-N,literal,O=C(OC1C(=O)C(O)C(OC1OC2CC3(C)C4CC=C5C(CC(O)C(=O)C5(C)C)C4(C(=O)CC3(C)C2C(O)(C(=O)C=CC(O)(C)C)C)C)C)C,literal,316095-1,literal,Q105244277,literal,10.1039/P19830001333,,,,,
1,uri,http://www.wikidata.org/entity/Q15533257,uri,http://www.wikidata.org/entity/Q105215106,literal,Datisca cannabina,literal,PUICZWZOCHNCBI-QSOFNFLRSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC=CC4O,literal,316093-1,literal,"5,7-dihydroxy-2-(2-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,10.1007/BF00577183,en,,,,
2,uri,http://www.wikidata.org/entity/Q15533257,uri,http://www.wikidata.org/entity/Q105215107,literal,Datisca cannabina,literal,PUICZWZOCHNCBI-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC=CC4O,literal,316093-1,literal,"5,7-Dihydroxy-2-(2-hydroxyphenyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,10.1007/BF00575058,en,,,,
3,uri,http://www.wikidata.org/entity/Q5227681,uri,http://www.wikidata.org/entity/Q15410900,literal,Datisca glomerata,literal,NPJICTMALKLTFW-OFUAXYCQSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,literal,316095-1,literal,sitogluside,literal,10.1039/P19830001333,en,literal,474-58-8,literal,CHEMBL506678
4,uri,http://www.wikidata.org/entity/Q5227681,uri,http://www.wikidata.org/entity/Q105327473,literal,Datisca glomerata,literal,XGAZCNFAMDADDW-GQEPCWNGSA-N,literal,O=C(OC1CC(=O)C(OC1OC2CC3(C)C4CC=C5C(CC(O)C(O)C5(C)C)C4(C(=O)CC3(C)C2C(O)(C(=O)C=CC(O)(C)C)C)C)C)C,literal,316095-1,literal,Q105327473,literal,10.1039/P19830001333,,,,,
5,uri,http://www.wikidata.org/entity/Q5227681,uri,http://www.wikidata.org/entity/Q105009044,literal,Datisca glomerata,literal,GIJVJTQJDQMZKO-BSLWQZRHSA-N,literal,O=C(OC1C(OC(C)C(OC(=O)C)C1O)OC2CC3(C)C4CC=C5C(CC(O)C(=O)C5(C)C)C4(C(=O)CC3(C)C2C(O)(C(=O)C=CC(O)(C)C)C)C)C,literal,316095-1,literal,Q105009044,literal,10.1039/P19830001333,,,,,
6,uri,http://www.wikidata.org/entity/Q5227681,uri,http://www.wikidata.org/entity/Q105168994,literal,Datisca glomerata,literal,MOMNFNMQKGMQCR-PAZCQSAMSA-N,literal,O=C(OC1C(=O)C(O)C(OC1OC2CC3(C)C4CC=C5C(CC(O)C(O)C5(C)C)C4(C(=O)CC3(C)C2C(O)(C(=O)C=CC(O)(C)C)C)C)C)C,literal,316095-1,literal,datiscoside B,literal,10.1039/P19830001333,en,,,,
7,uri,http://www.wikidata.org/entity/Q5227681,uri,http://www.wikidata.org/entity/Q15410915,literal,Datisca glomerata,literal,SRPHMISUTWFFKJ-QJNWWGCFSA-N,literal,CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2CC(C1=O)O)C)C)C(C)(C(=O)C=CC(C)(C)O)O)O)C)C,literal,316095-1,literal,cucurbitacin D,literal,10.1039/P19830001333,en,literal,3877-86-9,literal,CHEMBL493646
8,uri,http://www.wikidata.org/entity/Q15533257,uri,http://www.wikidata.org/entity/Q83095590,literal,Datisca cannabina,literal,BBPVLQOHFINNBJ-QSOFNFLRSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC=CC4,literal,316093-1,literal,"4H-1-Benzopyran-4-one, 3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-2-phenyl-",literal,10.1007/BF00575058,en,literal,68592-14-3,,
9,uri,http://www.wikidata.org/entity/Q15533257,uri,http://www.wikidata.org/entity/Q82232694,literal,Datisca cannabina,literal,BJJCTXDEJUWVIC-UHFFFAOYSA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC=CC5O,literal,316093-1,literal,AC1NYKG7,literal,10.1007/BF00575058,en,literal,16310-92-2,,
