,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q10933053,uri,http://www.wikidata.org/entity/Q27135988,literal,Gardneria multiflora,literal,OYIKZKUMGCIROX-SVLGZIACSA-N,literal,CC=C1CN2C3CC1C4C2CC35C6=C(C(=CC(=C6OC)OC)OC)N=C5OC4,literal,546342-1,en,literal,19(E)-18-demethoxygardneramine,literal,10.1016/S0040-4039(00)71965-4,,,,
1,uri,http://www.wikidata.org/entity/Q10929027,uri,http://www.wikidata.org/entity/Q105200330,literal,Gardneria nutans,literal,OUONWRIEOZGMSQ-NUUNSNFRSA-N,literal,OCC=C1CN2C3C=4NC=5C=C(OC)C=CC5C4C6OCC(C1C3)C26,literal,546343-1,en,literal,(+)-18-Hydroxygardnutine,literal,10.1248/YAKUSHI1947.87.12_1484,,,,
2,uri,http://www.wikidata.org/entity/Q10910598,uri,http://www.wikidata.org/entity/Q27135981,literal,Gardneria ovata,literal,KQEBWWUZXARNSU-GQGWNBIDSA-N,literal,CC=C1CN2C3CC1C4C2CC35C6=CC(=C(C(=C6N=C5OC4)OC)OC)OC,literal,546345-1,en,literal,"19(E)-11-Methoxy-9,18-didemethoxygardneramine",literal,10.1021/NP2000254,literal,CHEMBL1782235,,
3,uri,http://www.wikidata.org/entity/Q10910598,uri,http://www.wikidata.org/entity/Q105203331,literal,Gardneria ovata,literal,OYIKZKUMGCIROX-UHFFFAOYSA-N,literal,N=1C=2C(OC)=CC(OC)=C(OC)C2C34C1OCC5C6C(=CC)CN(C5C3)C4C6,literal,546345-1,en,literal,"16-Ethylidene-3,4,6-trimethoxy-10-oxa-8,14-diazahexacyclo[11.6.1.01,9.02,7.012,17.014,19]icosa-2(7),3,5,8-tetraene",literal,10.1021/NP2000254,,,,
4,uri,http://www.wikidata.org/entity/Q10929027,uri,http://www.wikidata.org/entity/Q104166832,literal,Gardneria nutans,literal,FVWJYYTZTCVBKE-UHFFFAOYSA-N,literal,OCC12CCC(C(=C)C)C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,546343-1,en,literal,"Lup-20(29)-ene-3beta,28-diol",literal,10.1016/S0031-9422(00)85714-3,,,,
5,uri,http://www.wikidata.org/entity/Q10910598,uri,http://www.wikidata.org/entity/Q27135983,literal,Gardneria ovata,literal,JAEYVIULIFERFK-DUWYZNKASA-N,literal,CC=C1C[N+]2(CCC34C2(CC1C(=C3)CO)NC5=CC=CC=C45)[O-],literal,546345-1,en,literal,Minfiensine-N(4)-oxide,literal,10.1021/NP2000254,literal,CHEMBL1782237,,
6,uri,http://www.wikidata.org/entity/Q4776268,uri,http://www.wikidata.org/entity/Q421964,literal,Antonia ovata,literal,CWVRJTMFETXNAD-JUHZACGLSA-N,literal,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,literal,545655-1,en,literal,(E)-chlorogenic acid,literal,10.1016/J.PHYTOCHEM.2009.11.007,literal,CHEMBL284616,literal,202650-88-2
7,uri,http://www.wikidata.org/entity/Q10910598,uri,http://www.wikidata.org/entity/Q27135977,literal,Gardneria ovata,literal,DQZDTIUNCHBKJR-NBSCQXKLSA-N,literal,CC=C1C[N+]2(C3CC1C4C2CC35C6=C(C7=C(C=C6N=C5OC4)OCO7)OC)[O-],literal,546345-1,en,literal,19(E)-18-Demethoxygardfloramine-N(4)-oxide,literal,10.1021/NP2000254,literal,CHEMBL1782231,,
8,uri,http://www.wikidata.org/entity/Q4776268,uri,http://www.wikidata.org/entity/Q27134233,literal,Antonia ovata,literal,KRZBCHWVBQOTNZ-PSEXTPKNSA-N,literal,C1=C(C=C(C(=C1)O)O)C=CC(=O)OC2C(C(CC(C2)(O)C(=O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,literal,545655-1,en,literal,"3,5-dicaffeoylquinic acid",literal,10.1016/J.PHYTOCHEM.2009.11.007,literal,CHEMBL249447,literal,900249-68-5
9,uri,http://www.wikidata.org/entity/Q10929027,uri,http://www.wikidata.org/entity/Q105150979,literal,Gardneria nutans,literal,LFEQVRBZNMACRO-XCVCLJGOSA-N,literal,O=C1C2=CC=C(OC)C=C2NC3=C1C4N5CC(=CC)C(CC35)C4CO,literal,546343-1,en,literal,"(15Z)-15-ethylidene-13-(hydroxymethyl)-6-methoxy-3,17-diazapentacyclo[12.3.1.0²,¹¹.0⁴,⁹.0¹²,¹⁷]octadeca-2(11),4,6,8-tetraen-10-one",literal,10.1021/NP50106A014,,,,
