,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q7679537,uri,http://www.wikidata.org/entity/Q105369776,literal,Talinum paniculatum,literal,ZACYZCVUMCBPOD-SJORKVTESA-N,literal,OC1=CC=C(C=C1O)CC2C3=C(O)C(O)=CC=C3CC4C5=CC(O)=C(O)C=C5CCN42,literal,1007146-2,en,literal,Javaberine B,literal,10.3987/COM-01-9318,,
1,uri,http://www.wikidata.org/entity/Q3276822,uri,http://www.wikidata.org/entity/Q105351497,literal,Talinum fruticosum,literal,YOSRLTNUOCHBEA-WXQWBSRRSA-N,literal,O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CCC6(C(=O)OC7OC(CO)C(O)C(O)C7O)CCC54C)C2(C)C)C(O)C(O)C1O,literal,1182764-2,,literal,Q105351497,literal,10.1248/CPB.40.2557,,
2,uri,http://www.wikidata.org/entity/Q7679537,uri,http://www.wikidata.org/entity/Q105007445,literal,Talinum paniculatum,literal,GFABDGCNJRHKIB-XZWHSSHBSA-N,literal,O=C(OC1=CC=C(C=C1)CC2C3=CC(OC(=O)C)=C(OC(=O)C)C=C3CC4C5=CC(OC(=O)C)=C(OC(=O)C)C=C5CCN24)C,literal,1007146-2,en,literal,"[4-[[(8S,13aR)-2,3,10,11-tetraacetyloxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinolin-8-yl]methyl]phenyl] acetate",literal,10.3987/COM-01-9318,,
3,uri,http://www.wikidata.org/entity/Q3276822,uri,http://www.wikidata.org/entity/Q110187245,literal,Talinum fruticosum,literal,MUEUOXPTUMGVJS-BQCKFNBUSA-N,literal,O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C(=O)OC)(C)CCC6(C(=O)OC7OC(CO)C(O)C(O)C7O)CCC54C)C2(C)C)C(O)C(O)C1O,literal,1182764-2,en,literal,Talinumoside I,literal,10.1248/CPB.40.2557,literal,145826-48-8
4,uri,http://www.wikidata.org/entity/Q3276822,uri,http://www.wikidata.org/entity/Q105172242,literal,Talinum fruticosum,literal,MUEUOXPTUMGVJS-PRIHIPGPSA-N,literal,O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C(=O)OC)(C)CCC6(C(=O)OC7OC(CO)C(O)C(O)C7O)CCC54C)C2(C)C)C(O)C(O)C1O,literal,1182764-2,,literal,Q105172242,literal,10.1248/CPB.40.2557,,
5,uri,http://www.wikidata.org/entity/Q7679537,uri,http://www.wikidata.org/entity/Q104992239,literal,Talinum paniculatum,literal,FAGGKCPHMLDUDN-MSOLQXFVSA-N,literal,OC1=CC=C(C=C1O)CC2C3=CC(O)=C(O)C=C3CC4C5=CC(O)=C(O)C=C5CCN24,literal,1007146-2,en,literal,"(8R,13aS)-8-[(3,4-dihydroxyphenyl)methyl]-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline-2,3,10,11-tetrol",literal,10.3987/COM-01-9318,,
6,uri,http://www.wikidata.org/entity/Q7679537,uri,http://www.wikidata.org/entity/Q104992241,literal,Talinum paniculatum,literal,FAGGKCPHMLDUDN-ZWKOTPCHSA-N,literal,OC1=CC=C(C=C1O)CC2C3=CC(O)=C(O)C=C3CC4C5=CC(O)=C(O)C=C5CCN24,literal,1007146-2,en,literal,Javaberine A,literal,10.3987/COM-01-9318,,
