,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.type,structureLabel,refDOI.type,refDOI,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q105352507,literal,Shorea roxburghii,literal,YQQUILZPDYJDQJ-ASECMJBMSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=CC4=C3C2C=5C=C(O)C=C(O)C5C(C6=CC=C(O)C=C6)C4C7C=8C=C(O)C=C9OC(C%10=CC=C(O)C=C%10)C(C=%11C=C(O)C=C(O)C%11C7C%12=CC=C(O)C=C%12)C98,literal,321430-1,literal,Q105352507,literal,10.1016/S0031-9422(00)86076-8,,,,,
1,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q83049812,literal,Shorea robusta,literal,IMYZYCNQZDBZBQ-SJORKVTESA-N,literal,O=C(O)CCCCCCCC1OC1CCCCCCCC,literal,321425-1,literal,"(9S,10R)-epoxyoctadecanoic acid",literal,10.1002/RECL.19730920203,en,literal,24560-98-3,,
2,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105270704,literal,Shorea robusta,literal,UDZHNLJOZVPTSQ-WUBMUADVSA-N,literal,O=C1C(O)=C(OC2=C(OC)C(OC3OC(COC4OC(C)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)=CC=C12)C=6C=CC=CC6,literal,321425-1,literal,"7-[(2S,3S,4S,5R,6R)-6-[[(2R,3S,4S,5R,6S)-3,4-dihydroxy-6-methyl-5-[(2S,3S,4R,5R,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-3-hydroxy-8-methoxy-2-phenylchromen-4-one",literal,10.1016/S0367-326X(99)00075-1,en,,,,
3,uri,http://www.wikidata.org/entity/Q5479009,uri,http://www.wikidata.org/entity/Q105236918,literal,Shorea dyeri,literal,RIKDSADOFPRJCU-UHFFFAOYSA-N,literal,O=C(OCCCCCCCCCCCCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCCCCCC,literal,321262-1,literal,octacosyl hexacosanoate,literal,10.1016/S0031-9422(00)91468-7,en,,,,
4,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105301722,literal,Shorea robusta,literal,WCGUUGGRBIKTOS-RIRGMOJXSA-N,literal,O=C(O)C12CCC(C)C(C)C2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,"(1S,2R,4aS,6aS,6bR,8aR,10S,12aR,12bR,14bS)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid",literal,10.1016/S0031-9422(00)95019-2,en,,,,
5,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q105030518,literal,Shorea robusta,literal,HMIFNEKPRFKIQX-QHCPKHFHSA-N,literal,O=C1C2=CC(O)=CC=3OC(C=4C=CC(O)=CC4)=C(C=5C=C(O)C=C(O)C5C1C6=CC=C(O)C=C6)C32,literal,321425-1,literal,Hopeafuran,literal,10.1016/0031-9422(92)83330-2,en,literal,143228-43-7,,
6,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q76423804,literal,Shorea robusta,literal,VLFUANNVMXKBPF-ZAPOICBTSA-N,literal,O=CC12CCC(C)C(C)C2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,321425-1,literal,Ursolic aldehyde,literal,10.1016/S0031-9422(00)90675-7,en,,,,
7,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q121802,literal,Shorea robusta,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,321425-1,literal,beta-sitosterol,literal,10.1016/S0031-9422(00)90675-7,en,literal,19044-06-5,,
8,uri,http://www.wikidata.org/entity/Q1329892,uri,http://www.wikidata.org/entity/Q83123988,literal,Shorea roxburghii,literal,KMOUJOKENFFTPU-RQXATKFSSA-N,literal,O=C1C=C(OC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C12)C=4C=CC(O)=CC4,literal,321430-1,literal,7-(alpha-D-Glucopyranosyloxy)-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one,literal,10.1016/J.FITOTE.2011.01.003,en,literal,94159-34-9,,
9,uri,http://www.wikidata.org/entity/Q909828,uri,http://www.wikidata.org/entity/Q15410989,literal,Shorea robusta,literal,YQQUILZPDYJDQJ-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C2C(C3=CC(=CC4=C3C(C(O4)C5=CC=C(C=C5)O)C6=CC(=CC(=C26)O)O)O)C7C(C8=C(C=C(C=C8C9C(OC1=C9C7=CC(=C1)O)C1=CC=C(C=C1)O)O)O)C1=CC=C(C=C1)O)O,literal,321425-1,literal,hopeaphenol,literal,10.1248/CPB.48.1001,en,,,,
