,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,chembl_id.type,chembl_id,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q17046927,uri,http://www.wikidata.org/entity/Q169337,literal,Azolla microphylla,literal,JKQXZKUSFCKOGQ-QAYBQHTQSA-N,literal,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,literal,144-68-3,literal,17057000-1,literal,CHEMBL2359248,en,literal,zeaxanthin,literal,10.1016/0305-1978(85)90030-4
1,uri,http://www.wikidata.org/entity/Q2705087,uri,http://www.wikidata.org/entity/Q15425813,literal,Azolla filiculoides,literal,GFPJSSAOISEBQL-FZKBJVJCSA-N,literal,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C2C=C3C(CCCC3(O2)C)(C)C)C)C,literal,515-06-0,literal,17056950-1,,,en,literal,citroxanthin,literal,10.1016/0305-1978(85)90030-4
2,uri,http://www.wikidata.org/entity/Q2716094,uri,http://www.wikidata.org/entity/Q105330411,literal,Salvinia molesta,literal,XLUHSPYVUOVWRM-HXUWFJFHSA-N,literal,O=C1C(O)=C2C(C3=CC(O)=C(C=C13)C(C)C)(C)CCCC2(C)C,,,literal,17453700-1,,,en,literal,"(4aR)-6,10-dihydroxy-7-isopropyl-1,1,4a-trimethyl-3,4-dihydro-2H-phenanthren-9-one",literal,10.1016/J.BMCL.2013.10.040
3,uri,http://www.wikidata.org/entity/Q981134,uri,http://www.wikidata.org/entity/Q105111448,literal,Azolla caroliniana,literal,IDPGQVFKQDLMJA-MNOVXSKESA-N,literal,NC(CCC(=O)NC(CC(=O)O)c1ccccc1)C(=O)O,,,literal,17056910-1,,,en,literal,(2R)-2-amino-5-[[(1S)-2-carboxy-1-phenylethyl]amino]-5-oxopentanoic acid,literal,10.1016/S0031-9422(00)85516-8
4,uri,http://www.wikidata.org/entity/Q2716094,uri,http://www.wikidata.org/entity/Q105269150,literal,Salvinia molesta,literal,UAZRHHCHUYOJQV-RBZFPXEDSA-N,literal,O=C1C(O)=C(C(=O)C=2C=CC3C(C12)(C)CCCC3(C)C)C(C)C,,,literal,17453700-1,,,en,literal,"(4bS,8aS)-3-hydroxy-2-isopropyl-4b,8,8-trimethyl-5,6,7,8a-tetrahydrophenanthrene-1,4-dione",literal,10.1016/J.BMCL.2013.10.040
5,uri,http://www.wikidata.org/entity/Q17046925,uri,http://www.wikidata.org/entity/Q425004,literal,Azolla nilotica,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,83-48-7,literal,17057010-1,literal,CHEMBL400247,en,literal,stigmasterol,literal,10.1016/S0031-9422(97)01126-6
6,uri,http://www.wikidata.org/entity/Q2716094,uri,http://www.wikidata.org/entity/Q105141623,literal,Salvinia molesta,literal,KIOQDQQTKPLWKV-UHFFFAOYSA-N,literal,OC1=CC=2C(=CC=C3C2CCCC3(C)C)C=C1C(C)C,,,literal,17453700-1,,,en,literal,"8,8-dimethyl-2-propan-2-yl-6,7-dihydro-5H-phenanthren-3-ol",literal,10.1016/J.BMCL.2013.10.040
7,uri,http://www.wikidata.org/entity/Q2716094,uri,http://www.wikidata.org/entity/Q104889007,literal,Salvinia molesta,literal,DTNNYXMHYVWWHO-BBECDWKJSA-N,literal,O=C(OC1C(O)C2(O)COC3OC(OC4OC(CO)C(O)C(O)C4O)C2C1C3)C5=CC=C(O)C(OC)=C5,,,literal,17453700-1,,,en,literal,Pikuroside,literal,10.1016/J.PHYTOCHEM.2007.10.028
8,uri,http://www.wikidata.org/entity/Q17046925,uri,http://www.wikidata.org/entity/Q105234342,literal,Azolla nilotica,literal,RDNOHEMCCBNRKQ-UHFFFAOYSA-N,literal,O=C(OCC)CC(C)CCCC(C)CCCC(C)CCCC(C)C,,,literal,17057010-1,,,en,literal,"ethyl 3,7,11,15-tetramethylhexadecanoate",literal,10.1016/S0031-9422(97)01126-6
9,uri,http://www.wikidata.org/entity/Q2716094,uri,http://www.wikidata.org/entity/Q104394184,literal,Salvinia molesta,literal,XNPVHIQPSAZTLC-NYUBLWNDSA-N,literal,O=C1OC2C(OC)C3=CC(=C(O)C(O)=C3C14CCCC(C)(C)C24)C(C)C,literal,113085-62-4,literal,17453700-1,,,en,literal,7-O-Methylrosmanol,literal,10.1016/J.BMCL.2013.10.040
