,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
488,uri,http://www.wikidata.org/entity/Q1149497,uri,http://www.wikidata.org/entity/Q413888,literal,Aloe microdonta,literal,AFHJQYHRLPMKHU-OSYMLPPYSA-N,literal,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2C4C(C(C(C(O4)CO)O)O)O)CO)O,literal,529658-1,en,literal,aloin A,literal,10.1002/0471701343.SDP28289,literal,1415-73-2,literal,CHEMBL2103763
489,uri,http://www.wikidata.org/entity/Q1149497,uri,http://www.wikidata.org/entity/Q413888,literal,Aloe microdonta,literal,AFHJQYHRLPMKHU-OSYMLPPYSA-N,literal,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2C4C(C(C(C(O4)CO)O)O)O)CO)O,literal,529658-1,en,literal,aloin A,literal,10.1055/S-2006-961397,literal,1415-73-2,literal,CHEMBL2103763
490,uri,http://www.wikidata.org/entity/Q80079,uri,http://www.wikidata.org/entity/Q422627,literal,Aloe vera,literal,POULHZVOKOAJMA-UHFFFAOYSA-N,literal,CCCCCCCCCCCC(=O)O,literal,530017-1,en,literal,lauric acid,literal,10.1271/BBB.57.1350,literal,143-07-7,literal,CHEMBL108766
491,uri,http://www.wikidata.org/entity/Q80079,uri,http://www.wikidata.org/entity/Q417362,literal,Aloe vera,literal,KSEBMYQBYZTDHS-HWKANZROSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)O)O,literal,530017-1,en,literal,ferulic acid,literal,10.1007/S11130-020-00822-2,literal,537-98-4,literal,CHEMBL32749
492,uri,http://www.wikidata.org/entity/Q799454,uri,http://www.wikidata.org/entity/Q413888,literal,Aloe vryheidensis,literal,AFHJQYHRLPMKHU-OSYMLPPYSA-N,literal,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2C4C(C(C(C(O4)CO)O)O)O)CO)O,literal,530039-1,en,literal,aloin A,literal,10.1002/0471701343.SDP28289,literal,1415-73-2,literal,CHEMBL2103763
493,uri,http://www.wikidata.org/entity/Q769770,uri,http://www.wikidata.org/entity/Q59297186,literal,Aloe harlana,literal,BXWJOXJOMFDQNV-UHFFFAOYSA-N,literal,CC1=CC(=CC2=C1C(=O)C3=C(C2=O)C=CC=C3O)O,literal,529505-1,en,literal,Aloesaponarin II,literal,10.1016/S0031-9422(00)94771-X,literal,53254-94-7,,
494,uri,http://www.wikidata.org/entity/Q80079,uri,http://www.wikidata.org/entity/Q4348178,literal,Aloe vera,literal,RHMXXJGYXNZAPX-UHFFFAOYSA-N,literal,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,literal,530017-1,en,literal,emodin,literal,10.1016/S0031-9422(97)00107-6,literal,518-82-1,literal,CHEMBL289277
495,uri,http://www.wikidata.org/entity/Q799140,uri,http://www.wikidata.org/entity/Q413888,literal,Aloe verecunda,literal,AFHJQYHRLPMKHU-OSYMLPPYSA-N,literal,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2C4C(C(C(C(O4)CO)O)O)O)CO)O,literal,530019-1,en,literal,aloin A,literal,10.1016/0305-1978(94)90102-3,literal,1415-73-2,literal,CHEMBL2103763
496,uri,http://www.wikidata.org/entity/Q50826551,uri,http://www.wikidata.org/entity/Q419672,literal,Aloe barbadensis,literal,WKOLLVMJNQIZCI-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C(=O)O)O,literal,529240-1,en,literal,vanillic acid,literal,10.1007/S11130-020-00822-2,literal,121-34-6,literal,CHEMBL120568
497,uri,http://www.wikidata.org/entity/Q194959,uri,http://www.wikidata.org/entity/Q59297186,literal,Aloe pirottae,literal,BXWJOXJOMFDQNV-UHFFFAOYSA-N,literal,CC1=CC(=CC2=C1C(=O)C3=C(C2=O)C=CC=C3O)O,literal,529776-1,en,literal,Aloesaponarin II,literal,10.1016/S0031-9422(00)94771-X,literal,53254-94-7,,
498,uri,http://www.wikidata.org/entity/Q1686097,uri,http://www.wikidata.org/entity/Q59297186,literal,Aloe secundiflora,literal,BXWJOXJOMFDQNV-UHFFFAOYSA-N,literal,CC1=CC(=CC2=C1C(=O)C3=C(C2=O)C=CC=C3O)O,literal,529882-1,en,literal,Aloesaponarin II,literal,10.1016/S0031-9422(00)94771-X,literal,53254-94-7,,
499,uri,http://www.wikidata.org/entity/Q80079,uri,http://www.wikidata.org/entity/Q414469,literal,Aloe vera,literal,KWKXNDCHNDYVRT-UHFFFAOYSA-N,literal,CCCCCCCCCCCCC1=CC=CC=C1,literal,530017-1,en,literal,phenyldodecane,literal,10.1271/BBB.57.1350,literal,123-01-3,literal,CHEMBL3187866
