,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15246642,uri,http://www.wikidata.org/entity/Q104171707,literal,Drypetes littoralis,literal,MHXCIKYXNYCMHY-UHFFFAOYSA-N,literal,OC1=CC=C(C=C1OC)CC2COC(C3=CC=C(O)C(OC)=C3)C2CO,literal,486-29-3,literal,345091-1,en,literal,"4-[[(3R,4R,5S)-5-(4-hydroxy-3-methoxyphenyl)-4-(hydroxymethyl)oxolan-3-yl]methyl]-2-methoxyphenol",literal,10.1021/NP0005964,,
1,uri,http://www.wikidata.org/entity/Q15373833,uri,http://www.wikidata.org/entity/Q209727,literal,Putranjiva roxburghii,literal,IPCSVZSSVZVIGE-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCC(=O)O,literal,57-10-3,literal,355114-1,en,literal,palmitic acid,literal,10.1016/0040-4020(68)88069-X,literal,CHEMBL82293
2,uri,http://www.wikidata.org/entity/Q15373112,uri,http://www.wikidata.org/entity/Q121802,literal,Drypetes gossweileri,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,19044-06-5,literal,345047-1,en,literal,beta-sitosterol,literal,10.1055/S-2006-957678,,
3,uri,http://www.wikidata.org/entity/Q15373347,uri,http://www.wikidata.org/entity/Q121802,literal,Drypetes paxii,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,19044-06-5,literal,345137-1,en,literal,beta-sitosterol,literal,10.1248/CPB.57.1119,,
4,uri,http://www.wikidata.org/entity/Q15373347,uri,http://www.wikidata.org/entity/Q105219717,literal,Drypetes paxii,literal,QFRCURHUZZMOMI-AOTSYCJBSA-N,literal,O=C1CCC2C(C)(CCC3C4(C(=O)CC5(C)CCC(C)(C)CC5C4(C)CCC32C)C)C1C,,,literal,345137-1,en,literal,"(4R,4aS,6aS,6aS,6bR,8aR,12aR,14aS,14bS)-4,4a,6a,6b,8a,11,11,14a-octamethyl-1,2,4,5,6,6a,8,9,10,12,12a,13,14,14b-tetradecahydropicene-3,7-dione",literal,10.1248/CPB.57.1119,,
5,uri,http://www.wikidata.org/entity/Q15373347,uri,http://www.wikidata.org/entity/Q15410972,literal,Drypetes paxii,literal,OFMXGFHWLZPCFL-SVRPQWSVSA-N,literal,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,literal,559-74-0,literal,345137-1,en,literal,friedelin,literal,10.1248/CPB.57.1119,literal,CHEMBL485998
6,uri,http://www.wikidata.org/entity/Q15373112,uri,http://www.wikidata.org/entity/Q105302502,literal,Drypetes gossweileri,literal,WDLTXRDJXUZDQY-UHFFFAOYSA-N,literal,O=C1C(O)=C(O)C(=O)C2=C1CC=3C=CC=CC3C2,,,literal,345047-1,en,literal,"2,3-dihydroxy-9,10-dihydroanthracene-1,4-dione",literal,10.4268/CJCMM20141019,,
7,uri,http://www.wikidata.org/entity/Q15373112,uri,http://www.wikidata.org/entity/Q105302502,literal,Drypetes gossweileri,literal,WDLTXRDJXUZDQY-UHFFFAOYSA-N,literal,O=C1C(O)=C(O)C(=O)C2=C1CC=3C=CC=CC3C2,,,literal,345047-1,en,literal,"2,3-dihydroxy-9,10-dihydroanthracene-1,4-dione",literal,10.1016/S0031-9422(02)00630-1,,
8,uri,http://www.wikidata.org/entity/Q15374674,uri,http://www.wikidata.org/entity/Q104920894,literal,Drypetes molunduana,literal,AXXZXNFRMSHHDP-UHFFFAOYSA-N,literal,O=C1OC(C=CC2=CC=3OC=C(C3C=C12)C)C(O)C,,,literal,345110-1,en,literal,Drypemolundein A,literal,10.1076/PHBI.41.1.26.14704,,
9,uri,http://www.wikidata.org/entity/Q15374518,uri,http://www.wikidata.org/entity/Q121802,literal,Drypetes tessmanniana,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,19044-06-5,literal,345200-1,en,literal,beta-sitosterol,literal,10.1248/CPB.56.1321,,
