,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.type,structureLabel,refDOI.type,refDOI,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q110185318,literal,Coriaria japonica,literal,NDYYYPQYFPZVNE-PZNKHSRWSA-N,literal,O=C(O)C1=CC(O)=C(O)C(O)=C1OC2=CC=3C(=O)OCC4OC(O)C(CC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C4OC(=O)C7C(=C(O)C(O)=C(O)C7)C3C(O)=C2O,literal,271356-1,literal,Q110185318,literal,10.1248/CPB.34.4533,,,,,
1,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q375837,literal,Coriaria japonica,literal,LNTHITQWFMADLM-UHFFFAOYSA-N,literal,C1=C(C=C(C(=C1O)O)O)C(=O)O,literal,271356-1,literal,gallic acid,literal,10.1248/YAKUSHI1881.57.8_800,en,literal,149-91-7,literal,CHEMBL288114
2,uri,http://www.wikidata.org/entity/Q38637948,uri,http://www.wikidata.org/entity/Q106039677,literal,Coriaria microphylla,literal,LGZSARJAXHVXEV-YEJVQPDVSA-N,literal,O=C1OC2CC3(C)C(O)(C4OC4C53OC5)C1C2C(O)(C)C,literal,66024-2,literal,coriatin,literal,10.1055/S-2006-960944,en,,,,
3,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q105311551,literal,Coriaria japonica,literal,WRSQLXRSPQPQJJ-GPIQHBRUSA-N,literal,O=C1OCC2OC(OC(=O)C3=CC(O)=C(O)C(O)=C3)C(OC(=O)C4=CC(O)=C(O)C(O)=C4)C(OC(=O)C5=CC(O)=C(O)C(O)=C5)C2OC(=O)C=6C=C(O)C(O)=C(O)C6C7=C(O)C(O)=C(OC8=C(O)C(O)=C(O)C=C8C(=O)OCC9(O)OC(CO)C(O)C(O)C9O)C=C17,literal,271356-1,literal,Q105311551,literal,10.1248/CPB.40.1703,,,,,
4,uri,http://www.wikidata.org/entity/Q10915158,uri,http://www.wikidata.org/entity/Q27121979,literal,Coriaria intermedia,literal,FTVWIRXFELQLPI-CYBMUJFWSA-N,literal,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,literal,271355-1,literal,(R)-naringenin,literal,10.1016/0031-9422(95)00935-3,en,,,,
5,uri,http://www.wikidata.org/entity/Q10915158,uri,http://www.wikidata.org/entity/Q27262523,literal,Coriaria intermedia,literal,KZJWDPNRJALLNS-FBZNIEFRSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,271355-1,literal,γ-sitosterol,literal,10.1016/0031-9422(95)00935-3,en,literal,83-47-6,,
6,uri,http://www.wikidata.org/entity/Q5788530,uri,http://www.wikidata.org/entity/Q416260,literal,Coriaria ruscifolia,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,271369-1,literal,ursolic acid,literal,10.1021/NP50010A017,en,literal,77-52-1,literal,CHEMBL169
7,uri,http://www.wikidata.org/entity/Q5788530,uri,http://www.wikidata.org/entity/Q121802,literal,Coriaria ruscifolia,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,271369-1,literal,beta-sitosterol,literal,10.1021/NP50010A017,en,literal,19044-06-5,,
8,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q5549854,literal,Coriaria japonica,literal,JQQBXPCJFAKSPG-SVYIMCMUSA-N,literal,C1C2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C7C(=CC(=O)C(C7(O)O)(O6)O)C(=O)O3)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)O)O)O)O)O)O,literal,271356-1,literal,geraniin,literal,10.1248/CPB.34.4092,en,literal,60976-49-0,literal,CHEMBL506069
9,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q105028063,literal,Coriaria japonica,literal,HGXLNDMZXNLGRH-QCMUFCANSA-N,literal,O=C(O)C1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OCC4OC(OC(=O)C5=CC(O)=C(O)C(O)=C5OC=6C=C7C(=O)OCC8OC(O)C(OC(=O)C9=CC(O)=C(O)C(O)=C9)C(OC(=O)C%10=CC(O)=C(O)C(O)=C%10)C8OC(=O)C%11=CC(O)=C(O)C(O)=C%11C7=C(O)C6O)C(OC(=O)C%12=CC(O)=C(O)C(O)=C%12)C(OC(=O)C%13=CC(O)=C(O)C(O)=C%13)C4OC(=O)C%14=CC(O)=C(O)C(O)=C%14C3=C(O)C2O,literal,271356-1,literal,Q105028063,literal,10.1248/CPB.34.4533,,,,,
10,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q1091415,literal,Coriaria japonica,literal,HSNZZMHEPUFJNZ-SHUUEZRQSA-N,literal,C(C(C(C(C(C(=O)CO)O)O)O)O)O,literal,271356-1,literal,sedoheptulose,literal,10.1248/YAKUSHI1947.88.10_1329,en,literal,3019-74-7,,
11,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q27134339,literal,Coriaria japonica,literal,BHVJSLPLFOAMEV-UHIFYLTQSA-N,literal,CC1(C2CCC3=C(C2(CCC1O)C)CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,literal,271356-1,literal,bryonolic acid,literal,10.1016/0031-9422(95)00935-3,en,literal,24480-45-3,,
12,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q27109255,literal,Coriaria japonica,literal,SGNBVLSWZMBQTH-ZRUUVFCLSA-N,literal,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,literal,271356-1,literal,24-epicampesterol,literal,10.1016/0031-9422(95)00935-3,en,literal,4651-51-8,literal,CHEMBL485421
13,uri,http://www.wikidata.org/entity/Q5788530,uri,http://www.wikidata.org/entity/Q1649777,literal,Coriaria ruscifolia,literal,OXGUCUVFOIWWQJ-HQBVPOQASA-N,literal,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,literal,271369-1,literal,quercitrin,literal,10.1021/NP50010A017,en,literal,522-12-3,literal,CHEMBL82242
14,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q104397083,literal,Coriaria japonica,literal,OMQLRKHSGHBOQC-DQLQDYHGSA-N,literal,O=C(O)C1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OCC4OC(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)C4OC(=O)C=8C=C(O)C(O)=C(O)C8C3=C(O)C2O,literal,271356-1,literal,Rugosin A,literal,10.1248/CPB.34.4092,en,,,,
15,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q7697608,literal,Coriaria japonica,literal,JCGHAEBIBSEQAD-UUUCSUBKSA-N,literal,C1=C(C=C(C(=C1O)O)O)C(=O)OC2(C3(C(COC(C4=CC(=C(C(=C4C=5C(=CC(=C(C5O)O)O)C(=O)O3)O)O)O)=O)(OC(C2(OC(C6=CC(=C(C(=C6)O)O)O)=O)[H])(OC(C7=CC(=C(C(=C7)O)O)O)=O)[H])[H])[H])[H],literal,271356-1,literal,eugeniin,literal,10.1248/CPB.34.4092,en,literal,58970-75-5,literal,CHEMBL450745
16,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q105312610,literal,Coriaria japonica,literal,WTKFVHRWOCYGGK-GPIQHBRUSA-N,literal,O=C1OCC2OC(OC(=O)C3=CC(O)=C(O)C(OC4=C(O)C(O)=C(O)C=C4C(=O)OCC5(O)OC(CO)C(O)C(O)C5O)=C3)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)C2OC(=O)C8=CC(O)=C(O)C(O)=C8C=9C(O)=C(O)C(O)=CC19,literal,271356-1,literal,Q105312610,literal,10.1248/CPB.40.1703,,,,,
17,uri,http://www.wikidata.org/entity/Q10915158,uri,http://www.wikidata.org/entity/Q72469953,literal,Coriaria intermedia,literal,KLAGYIBJNXLDTL-UHFFFAOYSA-N,literal,COC1=C(C=C2C3=C1OC(=O)C4=CC(=C(C(=C43)OC2=O)OC)O)O,literal,271355-1,literal,"3,3'-Di-O-methylellagic acid",literal,10.1016/0031-9422(95)00935-3,en,literal,2239-88-5,,
18,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q105243474,literal,Coriaria japonica,literal,RQOWLXQAJIAZMF-CXQFPWCTSA-N,literal,O=C1OCC2OC(O)C(O)C(OC(=O)C3=CC(O)=C(O)C(O)=C3)C2OC(=O)C4=CC(O)=C(O)C(O)=C4C=5C(O)=C(O)C(O)=CC15,literal,271356-1,literal,"4-O,6-O-(2,2',3,3',4,4'-Hexahydroxybiphenyl-6,6'-diylbiscarbonyl)-3-O-(3,4,5-trihydroxybenzoyl)-alpha-D-glucopyranose",literal,10.1248/CPB.34.4533,en,,,,
19,uri,http://www.wikidata.org/entity/Q10915158,uri,http://www.wikidata.org/entity/Q27108047,literal,Coriaria intermedia,literal,HCXVJBMSMIARIN-KEJCWXRGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,271355-1,literal,Poriferasterol,literal,10.1016/0031-9422(95)00935-3,en,literal,481-16-3,,
20,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q27121979,literal,Coriaria japonica,literal,FTVWIRXFELQLPI-CYBMUJFWSA-N,literal,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,literal,271356-1,literal,(R)-naringenin,literal,10.1016/0031-9422(95)00935-3,en,,,,
21,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q104990432,literal,Coriaria japonica,literal,DVYXDYLGCUADGC-RIUFOHRMSA-N,literal,O=C1OCC2OC(OC(=O)C3=CC(O)=C(O)C(O)=C3OC=4C=C5C(=O)OCC6OC(O)C(O)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)C6OC(=O)C8=CC(O)=C(O)C(O)=C8C5=C(O)C4O)C(OC(=O)C9=CC(O)=C(O)C(O)=C9)C(OC(=O)C%10=CC(O)=C(O)C(O)=C%10)C2OC(=O)C%11=CC(O)=C(O)C(O)=C%11C%12=C(O)C(O)=C(O)C=C1%12,literal,271356-1,literal,Q104990432,literal,10.1248/CPB.34.4533,,,,,
22,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q27262523,literal,Coriaria japonica,literal,KZJWDPNRJALLNS-FBZNIEFRSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,271356-1,literal,γ-sitosterol,literal,10.1016/0031-9422(95)00935-3,en,literal,83-47-6,,
23,uri,http://www.wikidata.org/entity/Q8340253,uri,http://www.wikidata.org/entity/Q3045262,literal,Coriaria japonica,literal,OXQKEKGBFMQTML-KVTDHHQDSA-N,literal,C(C(C(C(C(C(CO)O)O)O)O)O)O,literal,271356-1,literal,volemitol,literal,10.1248/YAKUSHI1947.88.10_1329,en,literal,488-38-0,,
24,uri,http://www.wikidata.org/entity/Q38637948,uri,http://www.wikidata.org/entity/Q7856945,literal,Coriaria microphylla,literal,CCAZWUJBLXKBAY-ULZPOIKGSA-N,literal,CC(=C)C1C2C(C3(C4(CO4)C5C(C3(C1C(=O)O2)O)O5)C)O,literal,66024-2,literal,tutin,literal,10.1055/S-2006-960944,en,literal,2571-22-4,literal,CHEMBL297057
25,uri,http://www.wikidata.org/entity/Q5788530,uri,http://www.wikidata.org/entity/Q121802,literal,Coriaria ruscifolia,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,271369-1,literal,beta-sitosterol,literal,10.1021/NP50010A017,en,literal,83-46-5,,
