,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q3335679,uri,http://www.wikidata.org/entity/Q418628,literal,Styrax tonkinensis,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,literal,826959-1,en,literal,oleanolic acid,literal,10.1021/NP050371Z,literal,CHEMBL168,literal,508-02-1
1,uri,http://www.wikidata.org/entity/Q3335679,uri,http://www.wikidata.org/entity/Q27166922,literal,Styrax tonkinensis,literal,WCGUUGGRBIKTOS-UHFFFAOYSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,826959-1,en,literal,"Urs-12-en-28-oic acid, 3-hydroxy-, (3beta)-",literal,10.1016/S0031-9422(00)00225-9,literal,CHEMBL1979720,,
2,uri,http://www.wikidata.org/entity/Q1281140,uri,http://www.wikidata.org/entity/Q4860821,literal,Styrax officinalis,literal,REZQBEBOWJAQKS-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,literal,327052-2,en,literal,1-triacontanol,literal,10.1055/S-0028-1099499,literal,CHEMBL1079147,literal,593-50-0
3,uri,http://www.wikidata.org/entity/Q910419,uri,http://www.wikidata.org/entity/Q891785,literal,Styrax japonicus,literal,QJVXKWHHAMZTBY-GCPOEHJPSA-N,literal,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CCO,literal,826818-1,en,literal,eleutheroside B,literal,10.1021/NP040113M,literal,CHEMBL250872,literal,118-34-3
4,uri,http://www.wikidata.org/entity/Q1281140,uri,http://www.wikidata.org/entity/Q27278121,literal,Styrax officinalis,literal,VCZMOZVQLARCOE-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC,literal,327052-2,en,literal,heptacosan-14-one,literal,10.1055/S-0028-1099499,,,literal,542-50-7
5,uri,http://www.wikidata.org/entity/Q910419,uri,http://www.wikidata.org/entity/Q82227825,literal,Styrax japonicus,literal,QLJNETOQFQXTLI-UHFFFAOYSA-N,literal,OC1=CC=C(C=C1OC)C2OCC3C(OCC23)C4=CC=C(OC5OC(CO)C(O)C(O)C5O)C(OC)=C4,literal,826818-1,en,literal,Symplocosin,literal,10.1021/NP040113M,,,literal,11042-30-1
6,uri,http://www.wikidata.org/entity/Q2732635,uri,http://www.wikidata.org/entity/Q27166922,literal,Styrax benzoin,literal,WCGUUGGRBIKTOS-UHFFFAOYSA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,826732-1,en,literal,"Urs-12-en-28-oic acid, 3-hydroxy-, (3beta)-",literal,10.1016/S0031-9422(00)00225-9,literal,CHEMBL1979720,,
7,uri,http://www.wikidata.org/entity/Q2732635,uri,http://www.wikidata.org/entity/Q27159278,literal,Styrax benzoin,literal,LAAPRQODJPXAHC-AATRIKPKSA-N,literal,COC1=C(C=CC(=C1)C=CCOC(=O)C2=CC=CC=C2)O,literal,826732-1,en,literal,coniferyl benzoate,literal,10.1002/PCA.1048,,,,
8,uri,http://www.wikidata.org/entity/Q2732635,uri,http://www.wikidata.org/entity/Q27159278,literal,Styrax benzoin,literal,LAAPRQODJPXAHC-AATRIKPKSA-N,literal,COC1=C(C=CC(=C1)C=CCOC(=O)C2=CC=CC=C2)O,literal,826732-1,en,literal,coniferyl benzoate,literal,10.1007/BF00579470,,,,
9,uri,http://www.wikidata.org/entity/Q1281140,uri,http://www.wikidata.org/entity/Q3348776,literal,Styrax officinalis,literal,ZYURHZPYMFLWSH-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,literal,327052-2,en,literal,octacosane,literal,10.1055/S-0028-1099499,,,literal,630-02-4
10,uri,http://www.wikidata.org/entity/Q910419,uri,http://www.wikidata.org/entity/Q83048126,literal,Styrax japonicus,literal,AAGCATAPYOEULE-LHHMAMHXSA-N,literal,O=C1OCC(CC2=CC=C(O)C(OC)=C2)C1CC3=CC=C(OC4OC(CO)C(O)C(O)C4O)C(OC)=C3,literal,826818-1,en,literal,Matairesinoside,literal,10.1248/CPB.52.1466,,,literal,23202-85-9
11,uri,http://www.wikidata.org/entity/Q845222,uri,http://www.wikidata.org/entity/Q425004,literal,Styrax obassia,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,327017-2,en,literal,stigmasterol,literal,10.1007/S10600-008-9090-3,literal,CHEMBL400247,literal,83-48-7
12,uri,http://www.wikidata.org/entity/Q910419,uri,http://www.wikidata.org/entity/Q63409374,literal,Styrax japonicus,literal,KZJWDPNRJALLNS-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,literal,826818-1,en,literal,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,10.1055/S-0028-1097721,,,,
13,uri,http://www.wikidata.org/entity/Q5640838,uri,http://www.wikidata.org/entity/Q27254512,literal,Styrax ferrugineus,literal,SBLZVJIHPWRSQQ-BEFAXECRSA-N,literal,COC1=C(C=CC(=C1)C2C(C3=CC(=CC(=C3O2)OC)CCCO)CO)O,literal,327053-2,en,literal,"(7R,8S)-(-)-dihydrodehydroconiferyl alcohol",literal,10.1016/S0031-9422(00)00225-9,literal,CHEMBL253590,literal,126253-41-6
14,uri,http://www.wikidata.org/entity/Q5640838,uri,http://www.wikidata.org/entity/Q103818125,literal,Styrax ferrugineus,literal,CWVRJTMFETXNAD-UHFFFAOYSA-N,literal,O=C(O)C1(O)CC(O)C(O)C(OC(=O)C=CC2=CC=C(O)C(O)=C2)C1,literal,327053-2,en,literal,"3-[3-(3,4-Dihydroxyphenyl)prop-2-enoyloxy]-1,4,5-trihydroxy-cyclohexanecarboxylic acid",literal,10.1248/CPB.48.1093,,,,
15,uri,http://www.wikidata.org/entity/Q1281140,uri,http://www.wikidata.org/entity/Q105155407,literal,Styrax officinalis,literal,LPYIIPKIPUOBGZ-VOCUSCRYSA-N,literal,O=C(O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)C(O)C(O)C6(CO)C(O)CC54C)C2(C)C)C(OC7OC(CO)C(O)C(O)C7OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(CO)C(O)C(O)C9O,literal,327052-2,,literal,Q105155407,literal,10.1016/S0367-326X(02)00086-2,,,,
16,uri,http://www.wikidata.org/entity/Q910419,uri,http://www.wikidata.org/entity/Q27116830,literal,Styrax japonicus,literal,UIERETOOQGIECD-UHFFFAOYSA-N,literal,CC=C(C)C(=O)O,literal,826818-1,en,literal,2-methylbut-2-enoic acid,literal,10.1002/ARDP.19142520108,,,literal,13201-46-2
17,uri,http://www.wikidata.org/entity/Q845222,uri,http://www.wikidata.org/entity/Q105175143,literal,Styrax obassia,literal,MYSGKIIMMXKNIQ-UHFFFAOYSA-N,literal,O=C(OC)CCC1=CC=C2OC(=CC2=C1)C=3C=CC=4OCOC4C3,literal,327017-2,en,literal,"Methyl 3-[2-(1,3-benzodioxol-5-yl)-1-benzofuran-5-yl]propanoate",literal,10.1007/S10600-008-9090-3,,,,
