,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q1931991,uri,http://www.wikidata.org/entity/Q905492,literal,Linum grandiflorum,literal,WEWBWVMTOYUPHH-QHAQEBJBSA-N,literal,CCC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O,literal,534-67-8,literal,544492-1,en,literal,lotaustralin,literal,10.1016/S0031-9422(00)86154-3,,
1,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q891785,literal,Linum flavum,literal,QJVXKWHHAMZTBY-GCPOEHJPSA-N,literal,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CCO,literal,118-34-3,literal,544473-1,en,literal,eleutheroside B,literal,10.1016/S0305-1978(96)00094-4,literal,CHEMBL250872
2,uri,http://www.wikidata.org/entity/Q8560327,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum hirsutum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544503-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
3,uri,http://www.wikidata.org/entity/Q15356196,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum arboreum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544335-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
4,uri,http://www.wikidata.org/entity/Q159578,uri,http://www.wikidata.org/entity/Q82956320,literal,Linum austriacum,literal,YYPFAIGJJDNPII-UHFFFAOYSA-N,literal,COC1=C(C=C(C=C1)C2=C3C=C4C(=CC3=CC5=C2COC5=O)OCO4)OC,literal,5707-96-0,literal,544354-1,en,literal,Retrochinensin,literal,10.1021/NP0102814,,
5,uri,http://www.wikidata.org/entity/Q1931991,uri,http://www.wikidata.org/entity/Q82954560,literal,Linum grandiflorum,literal,WEWBWVMTOYUPHH-UUFBCVLASA-N,literal,N#CC(OC1OC(CO)C(O)C(O)C1O)(C)CC,literal,55758-42-4,literal,544492-1,en,literal,2-(Hexopyranosyloxy)-2-methylbutanenitrile,literal,10.1080/14786410802364168,,
6,uri,http://www.wikidata.org/entity/Q159578,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum austriacum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544354-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
7,uri,http://www.wikidata.org/entity/Q1931991,uri,http://www.wikidata.org/entity/Q7852090,literal,Linum grandiflorum,literal,PLKUTZNSKRWCCA-LTSKFBHWSA-O,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C([O+]=C4C=C(C=C(C4=C3)O)O)C5=CC(=C(C(=C5)O)O)O)O)O)O)O)O)O,literal,58285-26-0,literal,544492-1,en,literal,tulipanin,literal,10.1016/0031-9422(94)00839-L,,
8,uri,http://www.wikidata.org/entity/Q159266,uri,http://www.wikidata.org/entity/Q905492,literal,Linum perenne,literal,WEWBWVMTOYUPHH-QHAQEBJBSA-N,literal,CCC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O,literal,534-67-8,literal,544634-1,en,literal,lotaustralin,literal,10.1016/S0031-9422(00)86154-3,,
9,uri,http://www.wikidata.org/entity/Q2547904,uri,http://www.wikidata.org/entity/Q76423577,literal,Linum suffruticosum,literal,NJMQSVWMCODQIP-FQXXIRCGSA-N,literal,OCC1(O)COC(OCC2OC(OCC=3C=CC=CC3)C(O)C(O)C2O)C1O,,,literal,544730-1,en,literal,Icariside F2,literal,10.1248/CPB.48.1039,,
10,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum flavum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544473-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1055/S-2006-962404,,
11,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum flavum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544473-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1016/0031-9422(90)85343-E,,
12,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum flavum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544473-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1021/NP50079A015,,
13,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum flavum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544473-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/BF01874092,,
14,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum flavum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544473-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1016/0031-9422(91)80074-B,,
15,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum flavum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544473-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
16,uri,http://www.wikidata.org/entity/Q159858,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum flavum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544473-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/978-3-642-57970-7_15,,
17,uri,http://www.wikidata.org/entity/Q1494701,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum capitatum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544399-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1016/0031-9422(90)85343-E,,
18,uri,http://www.wikidata.org/entity/Q1494701,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum capitatum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544399-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
19,uri,http://www.wikidata.org/entity/Q1931991,uri,http://www.wikidata.org/entity/Q72516285,literal,Linum grandiflorum,literal,FIAAVMJLAGNUKW-VQVVXJKKSA-N,literal,O=C1C=C(OC2=C1C(O)=C(C(O)=C2C3OC(CO)C(O)C(O)C3O)C4OC(CO)C(O)C(O)C4O)C=5C=CC(O)=CC5,literal,23666-13-9,literal,544492-1,en,literal,Vicenin-2,literal,10.1080/14786410802364168,,
20,uri,http://www.wikidata.org/entity/Q160000,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum viscosum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544789-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
21,uri,http://www.wikidata.org/entity/Q3113824,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum lewisii,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,140855-2,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
22,uri,http://www.wikidata.org/entity/Q3241249,uri,http://www.wikidata.org/entity/Q63398578,literal,Linum campanulatum,literal,PDQAOYGENRRPQO-UXDKQJBESA-N,literal,O=C1OCC2C(O)C3=C(OC)C=4OCOC4C=C3C(C5=CC(OC)=C(OC)C(OC)=C5)C12,literal,128443-52-7,literal,544394-1,en,literal,"(5R,5aR,8aR,9R)-5-hydroxy-4-methoxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one",literal,10.1007/S10600-005-0136-5,,
