,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,chembl_id.type,chembl_id,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q5404454,literal,Vitis rotundifolia,literal,RGXWDWUGBIJHDO-UHFFFAOYSA-N,literal,CCCCCCCCCC(=O)OCC,literal,110-38-3,literal,308496-2,literal,CHEMBL3184829,en,literal,ethyl decanoate,literal,10.1021/JF00112A014
1,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q76933,literal,Vitis rotundifolia,literal,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,literal,CCCCCCO,literal,111-27-3,literal,308496-2,literal,CHEMBL14085,en,literal,1-hexanol,literal,10.1021/JF00112A014
2,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q6607156,literal,Vitis rotundifolia,literal,ZFFLAEFKTXRRFR-FHBCLOHASA-O,literal,OC=1C=C2OC(=C(OC3OC(CO)C(O)C(O)C3O)C=4C=C[O+]=C(C1)C24)C=5C=C(OC)C(O)=C(OC)C5,literal,184362-10-5,literal,308496-2,,,en,literal,Vitisin B (pyranoanthocyanin),literal,10.3390/MOLECULES23112761
3,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q7937130,literal,Vitis rotundifolia,literal,XAXVWWYPKOGXSY-DBHYGPPCSA-N,literal,C1=CC(=CC=C1C2C(C3=CC(=CC4=C3C(C(O4)C5=CC=C(C=C5)O)C6=CC(=CC(=C26)O)O)O)C7=C(C=CC(=C7)C=CC8=CC(=CC9=C8C(C(O9)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O)O)O,literal,142449-89-6,literal,308496-2,literal,CHEMBL507409,en,literal,Vitisin A,literal,10.3390/MOLECULES23112761
4,uri,http://www.wikidata.org/entity/Q7937106,uri,http://www.wikidata.org/entity/Q7937130,literal,Vitis chunganensis,literal,XAXVWWYPKOGXSY-DBHYGPPCSA-N,literal,C1=CC(=CC=C1C2C(C3=CC(=CC4=C3C(C(O4)C5=CC=C(C=C5)O)C6=CC(=CC(=C26)O)O)O)C7=C(C=CC(=C7)C=CC8=CC(=CC9=C8C(C(O9)C1=CC=C(C=C1)O)C1=CC(=CC(=C1)O)O)O)O)O,literal,142449-89-6,literal,870682-1,literal,CHEMBL507409,en,literal,Vitisin A,literal,10.1021/JO901354P
5,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q60998680,literal,Vitis rotundifolia,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,,,literal,308496-2,,,en,literal,EZ-resveratrol,literal,10.1021/JF950274J
6,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q905406,literal,Vitis rotundifolia,literal,SHZIWNPUGXLXDT-UHFFFAOYSA-N,literal,CCCCCC(=O)OCC,literal,123-66-0,literal,308496-2,,,en,literal,ethyl caproate,literal,10.1021/JF00112A014
7,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q61457,literal,Vitis rotundifolia,literal,IKHGUXGNUITLKF-UHFFFAOYSA-N,literal,CC=O,literal,75-07-0,literal,308496-2,literal,CHEMBL170365,en,literal,acetaldehyde,literal,10.1111/J.1365-2621.1984.TB13669.X
8,uri,http://www.wikidata.org/entity/Q7937106,uri,http://www.wikidata.org/entity/Q60998680,literal,Vitis chunganensis,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,,,literal,870682-1,,,en,literal,EZ-resveratrol,literal,10.1021/JO901354P
9,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q417328,literal,Vitis rotundifolia,literal,QPJVMBTYPHYUOC-UHFFFAOYSA-N,literal,COC(=O)C1=CC=CC=C1,literal,93-58-3,literal,308496-2,literal,CHEMBL16435,en,literal,methyl benzoate,literal,10.1021/JF00112A014
10,uri,http://www.wikidata.org/entity/Q3017680,uri,http://www.wikidata.org/entity/Q5017207,literal,Vitis girdiana,literal,SWGKAHCIOQPKFW-JTNORFRNSA-N,literal,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,literal,67879-58-7,literal,266086-2,literal,CHEMBL558557,en,literal,caftaric acid,literal,10.1016/0031-9422(86)80078-4
11,uri,http://www.wikidata.org/entity/Q2706355,uri,http://www.wikidata.org/entity/Q27145743,literal,Vitis acerifolia,literal,INYJZRKTYXTZHP-MFFLNWJUSA-N,literal,C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,literal,27174-06-7,literal,305706-2,,,en,literal,"(2R,3S)-trans-coutaric acid",literal,10.1016/0031-9422(86)80078-4
12,uri,http://www.wikidata.org/entity/Q7937107,uri,http://www.wikidata.org/entity/Q105218772,literal,Vitis heyneana,literal,QDEHKEFWCRAFDN-JDBYBMEESA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=C4C5=C3C2C=6C=C(O)C=C(O)C6C(C7=CC=C(O)C=C7)C5C(C=8C=C(O)C=C(O)C8)C4C9=CC=C(O)C=C9,,,literal,68768-1,,,en,literal,"(1S,2R,3R,9R,10S,17S)-2-(3,5-dihydroxyphenyl)-3,9,17-tris(4-hydroxyphenyl)-8-oxapentacyclo[8.7.2.04,18.07,19.011,16]nonadeca-4(18),5,7(19),11(16),12,14-hexaene-5,13,15-triol",literal,10.3987/COM-03-9991
13,uri,http://www.wikidata.org/entity/Q7937107,uri,http://www.wikidata.org/entity/Q105352520,literal,Vitis heyneana,literal,YQQUILZPDYJDQJ-KGDQSQJYSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=CC4=C3C2C=5C=C(O)C=C(O)C5C(C6=CC=C(O)C=C6)C4C7C=8C=C(O)C=C9OC(C%10=CC=C(O)C=C%10)C(C=%11C=C(O)C=C(O)C%11C7C%12=CC=C(O)C=C%12)C98,literal,17912-85-5,literal,68768-1,,,en,literal,hopeaphenol,literal,10.3987/COM-03-9991
14,uri,http://www.wikidata.org/entity/Q3269611,uri,http://www.wikidata.org/entity/Q110185453,literal,Vitis ficifolia,literal,SVSWTEAHRCVGAR-XKULTGEBSA-N,literal,O=C1C=C(C=CC2=CC=C(O)C=C2)C3C(=O)C1C(C4=CC=C(O)C=C4)C3C=5C=C(O)C=C(O)C5,,,literal,68712-1,,,en,literal,vitisinol D,literal,10.1021/NP049686P
15,uri,http://www.wikidata.org/entity/Q3017185,uri,http://www.wikidata.org/entity/Q27145727,literal,Vitis shuttleworthii,literal,SWGKAHCIOQPKFW-BOCAPUTCSA-N,literal,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,,,literal,294723-2,,,en,literal,"(2S,3R)-trans-caftaric acid",literal,10.1016/0031-9422(86)80078-4
16,uri,http://www.wikidata.org/entity/Q3017680,uri,http://www.wikidata.org/entity/Q27145727,literal,Vitis girdiana,literal,SWGKAHCIOQPKFW-BOCAPUTCSA-N,literal,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,,,literal,266086-2,,,en,literal,"(2S,3R)-trans-caftaric acid",literal,10.1016/0031-9422(86)80078-4
17,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q424223,literal,Vitis rotundifolia,literal,QUKGYYKBILRGFE-UHFFFAOYSA-N,literal,c1ccccc1COC(=O)C,literal,140-11-4,literal,308496-2,,,en,literal,benzyl acetate,literal,10.1021/JF00112A014
18,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q424223,literal,Vitis rotundifolia,literal,QUKGYYKBILRGFE-UHFFFAOYSA-N,literal,c1ccccc1COC(=O)C,literal,140-11-4,literal,308496-2,,,en,literal,benzyl acetate,literal,10.1111/J.1365-2621.1984.TB13669.X
19,uri,http://www.wikidata.org/entity/Q7937106,uri,http://www.wikidata.org/entity/Q105352526,literal,Vitis chunganensis,literal,YQQUILZPDYJDQJ-QWJFNKQSSA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=CC4=C3C2C=5C=C(O)C=C(O)C5C(C6=CC=C(O)C=C6)C4C7C=8C=C(O)C=C9OC(C%10=CC=C(O)C=C%10)C(C=%11C=C(O)C=C(O)C%11C7C%12=CC=C(O)C=C%12)C98,,,literal,870682-1,,,,literal,Q105352526,literal,10.1021/JO901354P
20,uri,http://www.wikidata.org/entity/Q2706355,uri,http://www.wikidata.org/entity/Q27145734,literal,Vitis acerifolia,literal,SWGKAHCIOQPKFW-ADAMHKFESA-N,literal,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,,,literal,305706-2,,,en,literal,"(2S,3R)-cis-caftaric acid",literal,10.1016/0031-9422(86)80078-4
21,uri,http://www.wikidata.org/entity/Q7937107,uri,http://www.wikidata.org/entity/Q105262422,literal,Vitis heyneana,literal,SVSWTEAHRCVGAR-JIGRFQDASA-N,literal,O=C1C=C(C=CC2=CC=C(O)C=C2)C3C(=O)C1C(C4=CC=C(O)C=C4)C3C=5C=C(O)C=C(O)C5,literal,82084-87-5,literal,68768-1,,,en,literal,"(1R,5S,6S,7S)-6-(3,5-Dihydroxyphenyl)-7-(4-hydroxyphenyl)-4-[(E)-2-(4-hydroxyphenyl)ethenyl]bicyclo[3.2.1]octa-3-ene-2,8-dione",literal,10.1021/NP049686P
22,uri,http://www.wikidata.org/entity/Q7937107,uri,http://www.wikidata.org/entity/Q104986614,literal,Vitis heyneana,literal,DPNOLYSPSWWYGO-QBCFYRCNSA-N,literal,OC1=CC=C(C=C1OC)C2C3=CC(OC4OC(CO)C(O)C(O)C4O)=C(OC)C=C3CC(CO)C2CO,,,literal,68768-1,,,en,literal,Isolariciresinol 4-O-|A-D-glucopyranoside,literal,10.3987/COM-03-9991
23,uri,http://www.wikidata.org/entity/Q7937106,uri,http://www.wikidata.org/entity/Q27145775,literal,Vitis chunganensis,literal,FQWLMRXWKZGLFI-BQYFGGCBSA-N,literal,C1=CC(=CC=C1C=CC2=CC(=CC3=C2C(C(O3)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O)O,literal,129170-22-5,literal,870682-1,literal,CHEMBL498439,en,literal,(+)-ε-viniferin,literal,10.1021/JO901354P
24,uri,http://www.wikidata.org/entity/Q2712633,uri,http://www.wikidata.org/entity/Q104392961,literal,Vitis monticola,literal,INYJZRKTYXTZHP-KQLCGWBMSA-N,literal,O=C(OC(C(=O)O)C(O)C(=O)O)C=CC1=CC=C(O)C=C1,literal,67920-37-0,literal,305707-2,,,en,literal,"(2R,3R)-2-hydroxy-3-[(Z)-3-(4-hydroxyphenyl)prop-2-enoyl]oxybutanedioic acid",literal,10.1016/0031-9422(86)80078-4
25,uri,http://www.wikidata.org/entity/Q3269611,uri,http://www.wikidata.org/entity/Q105218773,literal,Vitis ficifolia,literal,QDEHKEFWCRAFDN-LINYPDCISA-N,literal,OC1=CC=C(C=C1)C2OC3=CC(O)=C4C5=C3C2C=6C=C(O)C=C(O)C6C(C7=CC=C(O)C=C7)C5C(C=8C=C(O)C=C(O)C8)C4C9=CC=C(O)C=C9,,,literal,68712-1,,,en,literal,"(1S,2R,3R,9S,10S,17S)-2-(3,5-dihydroxyphenyl)-3,9,17-tris(4-hydroxyphenyl)-8-oxapentacyclo[8.7.2.04,18.07,19.011,16]nonadeca-4(18),5,7(19),11(16),12,14-hexaene-5,13,15-triol",literal,10.1021/NP049686P
26,uri,http://www.wikidata.org/entity/Q2713015,uri,http://www.wikidata.org/entity/Q104392961,literal,Vitis arizonica,literal,INYJZRKTYXTZHP-KQLCGWBMSA-N,literal,O=C(OC(C(=O)O)C(O)C(=O)O)C=CC1=CC=C(O)C=C1,literal,67920-37-0,literal,68559-1,,,en,literal,"(2R,3R)-2-hydroxy-3-[(Z)-3-(4-hydroxyphenyl)prop-2-enoyl]oxybutanedioic acid",literal,10.1016/0031-9422(86)80078-4
27,uri,http://www.wikidata.org/entity/Q7937107,uri,http://www.wikidata.org/entity/Q105176463,literal,Vitis heyneana,literal,NAPVUVFFKYNLSM-CLQINZGASA-N,literal,OC1=CC=C(C=C1OC)C2C3=C(OC)C(O)=C(OC)C=C3CC(CO)C2COC4OC(C)C(O)C(O)C4O,,,literal,68768-1,,,en,literal,"3alpha-(6-Deoxy-alpha-L-mannopyranosyloxymethyl)-4beta-(3-methoxy-4-hydroxyphenyl)-5,7-dimethoxy-6-hydroxytetralin-2beta-methanol",literal,10.3987/COM-03-9991
28,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q422044,literal,Vitis rotundifolia,literal,AFSDNFLWKVMVRB-UHFFFAOYSA-N,literal,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,literal,476-66-4,literal,308496-2,literal,CHEMBL6246,en,literal,ellagic acid,literal,10.5344/AJEV.1990.41.1.43
29,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q422044,literal,Vitis rotundifolia,literal,AFSDNFLWKVMVRB-UHFFFAOYSA-N,literal,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,literal,476-66-4,literal,308496-2,literal,CHEMBL6246,en,literal,ellagic acid,literal,10.1111/J.1365-2621.1990.TB03581.X
30,uri,http://www.wikidata.org/entity/Q2706355,uri,http://www.wikidata.org/entity/Q5017207,literal,Vitis acerifolia,literal,SWGKAHCIOQPKFW-JTNORFRNSA-N,literal,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,literal,67879-58-7,literal,305706-2,literal,CHEMBL558557,en,literal,caftaric acid,literal,10.1016/0031-9422(86)80078-4
31,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q412429,literal,Vitis rotundifolia,literal,HYBBIBNJHNGZAN-UHFFFAOYSA-N,literal,C1=COC(=C1)C=O,literal,98-01-1,literal,308496-2,literal,CHEMBL189362,en,literal,furfural,literal,10.1111/J.1365-2621.1984.TB13669.X
32,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q423975,literal,Vitis rotundifolia,literal,YKFLAYDHMOASIY-UHFFFAOYSA-N,literal,CC1=CCC(=CC1)C(C)C,literal,99-85-4,literal,308496-2,literal,CHEMBL449693,en,literal,γ‑terpinene,literal,10.1111/J.1365-2621.1984.TB13669.X
33,uri,http://www.wikidata.org/entity/Q3269611,uri,http://www.wikidata.org/entity/Q104980831,literal,Vitis ficifolia,literal,DHTHKPNODOWMKF-LSHZFYPFSA-N,literal,O=CC1=CC=C2OC(C3=CC=C(O)C=C3)C(C2=C1)C=4C=C(O)C=C5OC(C6=CC=C(O)C=C6)C(C=7C=C(O)C=C(O)C7)C54,,,literal,68712-1,,,en,literal,"(2R,3S)-3-[(2S,3S)-3-(3,5-dihydroxyphenyl)-6-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-4-yl]-2-(4-hydroxyphenyl)-2,3-dihydro-1-benzofuran-5-carbaldehyde",literal,10.1021/NP049686P
34,uri,http://www.wikidata.org/entity/Q2701573,uri,http://www.wikidata.org/entity/Q410836,literal,Vitis rotundifolia,literal,GLZPCOQZEFWAFX-JXMROGBWSA-N,literal,CC(=CCCC(=CCO)C)C,literal,106-24-1,literal,308496-2,literal,CHEMBL25719,en,literal,geraniol,literal,10.1021/JF00112A014
