,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105175364,literal,Microdesmis keayana,literal,MZDDTXUBPNXZSI-UHFFFAOYSA-N,literal,NC(=O)c1ccnc2ccc(O)cc12,literal,352293-1,en,literal,6-hydroxyquinoline-4-carboximidic acid,literal,10.1248/CPB.55.643,,
1,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105298531,literal,Microdesmis keayana,literal,VXIWIIHDWPBCIM-DHZHZOJOSA-N,literal,O=C1C2=CC=C(O)C(O)=C2OCC1=CC3=CC=C(OC)C=C3,literal,352293-1,en,literal,Intricatinol,literal,10.1248/CPB.55.643,,
2,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105168331,literal,Microdesmis keayana,literal,MNFFPBYXUIMSFC-WDZFZDKYSA-N,literal,O=C1C(=CC2=CC=C(OC)C=C2)COC=3C=C(O)C=C(O)C13,literal,352293-1,en,literal,Eucomin,literal,10.1248/CPB.55.643,,
3,uri,http://www.wikidata.org/entity/Q7130430,uri,http://www.wikidata.org/entity/Q110186340,literal,Panda oleosa,literal,XYTCMTQONJDWNI-JKSUJKDBSA-N,literal,OC=1C=C(O)C2=C(OC(C3=CC(O)=C(OC)C(O)=C3)C(OC)C2)C1,literal,670661-1,en,literal,4'-O-methyl-gallocatechin,literal,10.1016/0031-9422(93)85196-X,,
4,uri,http://www.wikidata.org/entity/Q7130430,uri,http://www.wikidata.org/entity/Q27138592,literal,Panda oleosa,literal,ITDYPNOEEHONAH-DZGCQCFKSA-N,literal,COC1=C(C=C(C=C1O)C2C(CC3=C(C=C(C=C3O2)O)O)O)O,literal,670661-1,en,literal,4'-O-methylgallocatechin,literal,10.1016/0031-9422(93)85196-X,literal,CHEMBL1651274
5,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q104984571,literal,Microdesmis keayana,literal,DLQSYZMPSWHYMW-UHFFFAOYSA-N,literal,O=C1C2=CC=C(O)C=C2OCC1=CC3=CC=C(OC)C=C3,literal,352293-1,en,literal,7-Hydroxy-3-[(4-methoxyphenyl)methylidene]chromen-4-one,literal,10.1248/CPB.55.643,,
6,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105309739,literal,Microdesmis keayana,literal,WOXQROZUZURVHX-UHFFFAOYSA-N,literal,O=C1C2=CC=C(O)C(OC)=C2OCC1=CC3=CC=C(OC)C=C3,literal,352293-1,en,literal,7-hydroxy-8-methoxy-3-[(4-methoxyphenyl)methylidene]-2H-1-benzopyran-4-one,literal,10.1248/CPB.55.643,,
7,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105298532,literal,Microdesmis keayana,literal,VXIWIIHDWPBCIM-UHFFFAOYSA-N,literal,O=C1C2=CC=C(O)C(O)=C2OCC1=CC3=CC=C(OC)C=C3,literal,352293-1,en,literal,"7,8-Dihydroxy-3-[(4-methoxyphenyl)methylidene]chromen-4-one",literal,10.1248/CPB.55.643,,
8,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105008406,literal,Microdesmis keayana,literal,GHAGJNVSUARKJW-UHFFFAOYSA-N,literal,COc1cc(C=CC(=O)NCCCNCCCCN(CCCNC(=O)C=Cc2ccc(O)c(OC)c2)C(=O)C=Cc2ccc(O)cc2)ccc1O,literal,352293-1,en,literal,N-[3-[3-(4-hydroxy-3-methoxyphenyl)prop-2-enoylamino]propyl]-N-[4-[3-[3-(4-hydroxy-3-methoxyphenyl)prop-2-enoylamino]propylamino]butyl]-3-(4-hydroxyphenyl)prop-2-enamide,literal,10.1248/CPB.55.643,,
9,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105309738,literal,Microdesmis keayana,literal,WOXQROZUZURVHX-FMIVXFBMSA-N,literal,O=C1C2=CC=C(O)C(OC)=C2OCC1=CC3=CC=C(OC)C=C3,literal,352293-1,en,literal,(E)-7-hydroxy-8-methoxy-3-(4-methoxybenzylidene)chroman-4-one,literal,10.1248/CPB.55.643,,
10,uri,http://www.wikidata.org/entity/Q15365904,uri,http://www.wikidata.org/entity/Q105008405,literal,Microdesmis keayana,literal,GHAGJNVSUARKJW-AOZQBCRVSA-N,literal,COc1cc(C=CC(=O)NCCCNCCCCN(CCCNC(=O)C=Cc2ccc(O)c(OC)c2)C(=O)C=Cc2ccc(O)cc2)ccc1O,literal,352293-1,en,literal,"N,N'-Bis[3-(3-methoxy-4-hydroxycinnamoylamino)propyl]-N-(4-hydroxycinnamoyl)-1,4-butanediamine",literal,10.1248/CPB.55.643,,
