,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q3538997,uri,http://www.wikidata.org/entity/Q259075,literal,Trichomanes crispum,literal,SGEWCQFRYRRZDC-VPRICQMDSA-N,literal,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,literal,17228590-1,en,literal,vitexin,literal,10.1002/J.1537-2197.1996.TB13914.X,literal,3681-93-4,literal,CHEMBL487417
1,uri,http://www.wikidata.org/entity/Q3539000,uri,http://www.wikidata.org/entity/Q259075,literal,Trichomanes holopterum,literal,SGEWCQFRYRRZDC-VPRICQMDSA-N,literal,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,literal,17229870-1,en,literal,vitexin,literal,10.1002/J.1537-2197.1996.TB13914.X,literal,3681-93-4,literal,CHEMBL487417
2,uri,http://www.wikidata.org/entity/Q3539001,uri,http://www.wikidata.org/entity/Q259075,literal,Trichomanes lucens,literal,SGEWCQFRYRRZDC-VPRICQMDSA-N,literal,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,literal,17230610-1,en,literal,vitexin,literal,10.1002/J.1537-2197.1996.TB13914.X,literal,3681-93-4,literal,CHEMBL487417
3,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105008146,literal,Hymenophyllum barbatum,literal,GGJOEVXAZYSYAX-UADKCLNFSA-N,literal,O=C(OC1C(OCC(=CCO)C)OC(CO)C(O)C1OC(=O)CC=2C=CC=CC2)CC3=CC=C(O)C(O)=C3,literal,17121800-1,en,literal,Hymenoside J,literal,10.1248/CPB.50.508,,,,
4,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105008146,literal,Hymenophyllum barbatum,literal,GGJOEVXAZYSYAX-UADKCLNFSA-N,literal,O=C(OC1C(OCC(=CCO)C)OC(CO)C(O)C1OC(=O)CC=2C=CC=CC2)CC3=CC=C(O)C(O)=C3,literal,17121800-1,en,literal,Hymenoside J,literal,10.1248/CPB.49.1567,,,,
5,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105231813,literal,Hymenophyllum barbatum,literal,QZCYXYGJQMUNLS-IIUNDDIWSA-N,literal,O=C(OC1C(O)C(O)C(OCC(=CCO)C)OC1CO)C=CC2=CC=C(O)C(O)=C2,literal,17121800-1,en,literal,Hymenoside V,literal,10.1248/CPB.50.508,,,,
6,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105344691,literal,Hymenophyllum barbatum,literal,XYVFWDDUZMOSCQ-VJCQSXBMSA-N,literal,O=C(OC1C(OC2CC(=O)OC(C)C2)OC(CO)C(O)C1O)CC3=CC=C(O)C(O)=C3,literal,17121800-1,en,literal,"[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-[(2R,4R)-2-methyl-6-oxooxan-4-yl]oxyoxan-3-yl] 2-(3,4-dihydroxyphenyl)acetate",literal,10.1248/CPB.50.508,,,,
7,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105000473,literal,Hymenophyllum barbatum,literal,FRWQMDSUBBWLRW-YWGGUWECSA-N,literal,O=C(OC1C(OC2CC(=O)OC(C)C2)OC(CO)C(O)C1OC(=O)CC3=CC=C(O)C=C3)CC4=CC=C(O)C=C4,literal,17121800-1,en,literal,"[(2R,3R,4S,5R,6S)-3-hydroxy-2-(hydroxymethyl)-5-[2-(4-hydroxyphenyl)acetyl]oxy-6-[(2R,4R)-2-methyl-6-oxooxan-4-yl]oxyoxan-4-yl] 2-(4-hydroxyphenyl)acetate",literal,10.1248/CPB.50.508,,,,
8,uri,http://www.wikidata.org/entity/Q3144019,uri,http://www.wikidata.org/entity/Q1074417,literal,Hymenophyllum nephrophyllum,literal,AEDDIBAIWPIIBD-ZJKJAXBQSA-N,literal,C1=C2C(=CC(=C1O)O)OC3=CC(=C(C(=C3C2=O)O)C4C(C(C(C(O4)CO)O)O)O)O,literal,60447929-2,en,literal,mangiferin,literal,10.1248/CPB.43.461,literal,4773-96-0,literal,CHEMBL455364
9,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105212124,literal,Hymenophyllum barbatum,literal,PNQPOQLVRGUGGA-APTRVCSBSA-N,literal,O=C(OC1C(OCC(=CCO)C)OC(CO)C(O)C1OC(=O)CC2=CC=C(O)C=C2)CC3=CC=C(O)C=C3,literal,17121800-1,en,literal,Hymenoside A,literal,10.1248/CPB.49.1567,,,,
10,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105212124,literal,Hymenophyllum barbatum,literal,PNQPOQLVRGUGGA-APTRVCSBSA-N,literal,O=C(OC1C(OCC(=CCO)C)OC(CO)C(O)C1OC(=O)CC2=CC=C(O)C=C2)CC3=CC=C(O)C=C3,literal,17121800-1,en,literal,Hymenoside A,literal,10.1248/CPB.49.126,,,,
11,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105031406,literal,Hymenophyllum barbatum,literal,HONDRXSXJXGIMJ-CGSNJBTMSA-N,literal,O=C(OC1C(OCC(=CCO)C)OC(CO)C(O)C1OC(=O)CC2=CC=C(O)C(O)=C2)CC3=CC=C(O)C=C3,literal,17121800-1,en,literal,Hymenoside D,literal,10.1248/CPB.49.1567,,,,
12,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105031406,literal,Hymenophyllum barbatum,literal,HONDRXSXJXGIMJ-CGSNJBTMSA-N,literal,O=C(OC1C(OCC(=CCO)C)OC(CO)C(O)C1OC(=O)CC2=CC=C(O)C(O)=C2)CC3=CC=C(O)C=C3,literal,17121800-1,en,literal,Hymenoside D,literal,10.1248/CPB.49.126,,,,
13,uri,http://www.wikidata.org/entity/Q10905324,uri,http://www.wikidata.org/entity/Q105133501,literal,Hymenophyllum barbatum,literal,JQISCPCCMUMVON-UHFFFAOYSA-N,literal,OC1=CC=CC(=C1)CCC2=CC(O)=C(O)C(OC3=CC=C(C=C3)CCC=4C=CC=C(O)C4O)=C2,literal,17121800-1,en,literal,Perrottetin H,literal,10.1248/CPB.47.297,,,,
14,uri,http://www.wikidata.org/entity/Q3027290,uri,http://www.wikidata.org/entity/Q259075,literal,Didymoglossum krausii,literal,SGEWCQFRYRRZDC-VPRICQMDSA-N,literal,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,literal,17085120-1,en,literal,vitexin,literal,10.1002/J.1537-2197.1996.TB13914.X,literal,3681-93-4,literal,CHEMBL487417
