,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id,ipniID.type,ipniID
0,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q105215549,literal,Betula platyphylla var. japonica,literal,PVPDIJGSCANSAG-KNKJIGIMSA-N,literal,O=C(CCC1=CC=C(O)C=C1)CC(OC2OC(CO)C(O)C(O)C2O)CCC3=CC=C(O)C=C3,en,literal,"(5S)-1,7-bis(4-hydroxyphenyl)-5-[(2R,3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptan-3-one",literal,10.1016/S0960-894X(98)00528-9,,,,,,
1,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q105243209,literal,Betula platyphylla var. japonica,literal,RQBNSDSKUAGBOI-WODPVNBQSA-N,literal,OC1CCC2(C)C(CCC3(C)C2CCC4C(CCC43C)C5(OC(CC5)C(O)(C)C)C)C1(C)C,en,literal,3-epiocotillol II,literal,10.1021/NP060631S,,,,,,
2,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q104915150,literal,Betula platyphylla var. japonica,literal,ANHOWKNWMOVOFJ-PFVOOUMGSA-N,literal,O=C(OC)CC(=O)OC1CCC2(C)C(CCC3(C)C2CCC4C(CCC43C)C5(OC(=O)CC5)C)C1(C)C,en,literal,3-O-methylmalonylcabraleahydroxylactone,literal,10.1021/NP060631S,,,,,,
3,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q104911981,literal,Betula platyphylla var. japonica,literal,AGQLGMXLTFMOAP-OEHKQELHSA-N,literal,O=C(OC1C(O)C(O)C(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)OC1C)C,en,literal,Kaempferol 3-(4-O-acetyl-alpha-L-rhamnopyranoside),literal,10.1248/CPB.44.1033,literal,135618-17-6,,,,
4,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q105136942,literal,Betula platyphylla var. japonica,literal,JYDNKGUBLIKNAM-UHFFFAOYSA-N,literal,O=C1CCC2(C)C(CCC3(C)C2CCC4C5C(C(=C)C)CCC5(CO)CCC43C)C1(C)C,en,literal,"3a-(hydroxymethyl)-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-2,3,4,5,6,7,7a,10,11,11b,12,13,13a,13b-tetradecahydro-1H-cyclopenta[a]chrysen-9-one",literal,10.1248/CPB.44.1033,,,,,,
5,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q105311590,literal,Betula platyphylla var. japonica,literal,WRUJLWFLDOUUHV-QVQNJILUSA-N,literal,OC1=CC=C(C=C1)CCC(O)CC(OC2OC(CO)C(O)C(O)C2O)CCC3=CC=C(O)C=C3,en,literal,"(2R,3R,4R,5R,6R)-2-[(3S,5R)-5-hydroxy-1,7-bis(4-hydroxyphenyl)heptan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1016/S0960-894X(98)00528-9,,,,,,
6,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q105174983,literal,Betula platyphylla var. japonica,literal,MYKPKZPRXSYQEQ-DGCVXKJQSA-N,literal,O=C(OC1CCC2(C)C(CCC3(C)C2CCC4C(CCC43C)C5(OC(CC5)C(O)(C)C)C)C1(C)C)C,en,literal,3-Acetylcabraleadiol,literal,10.1021/NP060631S,,,,,,
7,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q104395269,literal,Betula platyphylla var. japonica,literal,SLJTWDNVZKIDAU-SVAFSPIFSA-N,literal,O=C(O)C12CCC(C(=C)C)C2C3CCC4C5(C)CCC(=O)C(C)(C)C5CCC4(C)C3(C)CC1,en,literal,"(1R,3aS,5aR,5bR,7aR,11aR,11bR,13aR,13bR)-5a,5b,8,8,11a-pentamethyl-9-oxo-1-(prop-1-en-2-yl)-tetradecahydro-1H-cyclopenta[a]chrysene-3a-carboxylic acid",literal,10.1021/NP060631S,literal,4481-62-3,,,,
8,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q105213369,literal,Betula platyphylla var. japonica,literal,PQQRNPDHSJDAGV-DXUNCDEYSA-N,literal,OC1=C(OC)C=C(C=C1OC)C2C3=C(OC)C(O)=C(OC)C=C3CC(CO)C2COC4OC(CO)C(O)C(O)C4O,en,literal,"(2S,3S,4S,5S,6S)-2-[[(1S,2R,3R)-7-hydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(hydroxymethyl)-6,8-dimethoxy-1,2,3,4-tetrahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1016/S0960-894X(98)00528-9,,,,,,
9,uri,http://www.wikidata.org/entity/Q104911980,uri,http://www.wikidata.org/entity/Q27138801,literal,Betula platyphylla var. japonica,literal,XSQYWMLMQVUWSF-FXFLHSNUSA-N,literal,CC1(C2CCC3(C(C2(CCC1=O)C)CCC4C3(CCC4C5(CCC(O5)C(C)(C)O)C)C)C)C,en,literal,cabraleone,literal,10.1021/NP060631S,,,literal,CHEMBL224481,,
