,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q690645,uri,http://www.wikidata.org/entity/Q908490,literal,Eichhornia crassipes,literal,MQIUGAXCHLFZKX-UHFFFAOYSA-N,literal,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,literal,117-84-0,literal,1198589-2,en,literal,di-N-octyl phthalate,literal,CHEMBL1409747,literal,10.1186/1472-6882-14-397
1,uri,http://www.wikidata.org/entity/Q621050,uri,http://www.wikidata.org/entity/Q425004,literal,Pontederia cordata,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,83-48-7,literal,283610-2,en,literal,stigmasterol,literal,CHEMBL400247,literal,10.1016/0378-8741(84)90002-3
2,uri,http://www.wikidata.org/entity/Q690645,uri,http://www.wikidata.org/entity/Q104955028,literal,Eichhornia crassipes,literal,CDRLSKPOGDTLPE-MEKGRNQZSA-N,literal,O(C=1C=CC(=CC1)C2=C(C(OC)=C3C(OC)=CC=C4C3=C2C(OC)CC4)C5=C(OC)C6=C(OC)C=CC7=C6C(=C5C8=CC=C(OC)C=C8)C(OC)CC7)C,,,literal,1198589-2,en,literal,"(1R)-1,6,7-trimethoxy-9-(4-methoxyphenyl)-8-[(4S)-1,4,9-trimethoxy-3-(4-methoxyphenyl)-5,6-dihydro-4H-phenalen-2-yl]-2,3-dihydro-1H-phenalene",,,literal,10.1016/S0040-4020(01)88476-3
3,uri,http://www.wikidata.org/entity/Q39600979,uri,http://www.wikidata.org/entity/Q105177284,literal,Pontederia crassipes,literal,NCNRINVGNXMKOX-MRXNPFEDSA-N,literal,OC=1C=CC(=CC1)C2=C(OC)C=C3C=CC(O)=C4C3=C2C(O)CC4,,,literal,310928-2,en,literal,"(1R)-9-(4-hydroxyphenyl)-8-methoxy-2,3-dihydro-1H-phenalene-1,4-diol",,,literal,10.1002/HLCA.200900428
4,uri,http://www.wikidata.org/entity/Q690645,uri,http://www.wikidata.org/entity/Q26995161,literal,Eichhornia crassipes,literal,WHUUTDBJXJRKMK-VKHMYHEASA-N,literal,C(CC(=O)O)C(C(=O)O)N,literal,56-86-0,literal,1198589-2,en,literal,L-glutamic acid,literal,CHEMBL575060,literal,10.1016/0305-1978(86)90092-X
5,uri,http://www.wikidata.org/entity/Q690645,uri,http://www.wikidata.org/entity/Q104998042,literal,Eichhornia crassipes,literal,FMTPMYQMVQQHIX-ZCXUNETKSA-N,literal,O=C1OCCCCCC(=C(C)CCCCCOC(=O)C=2C=CC=CC12)C,,,literal,1198589-2,en,literal,"(8Z)-8,9-dimethyl-3,4,5,6,7,10,11,12,13,14-decahydro-2,15-benzodioxacyclooctadecine-1,16-dione",,,literal,10.1186/1472-6882-14-397
6,uri,http://www.wikidata.org/entity/Q39600979,uri,http://www.wikidata.org/entity/Q104923591,literal,Pontederia crassipes,literal,BCRCWMAFWGAHCT-RNPORBBMSA-N,literal,O(C1=CC=C2C3=C1C(OC)=C(C=4C(OC)=C5C(OC)=CC=C6C5=C(C4C=7C=CC=CC7)C(OC)CC6)C(C=8C=CC=CC8)=C3C(OC)CC2)C,,,literal,310928-2,en,literal,"(1R)-1,6,7-trimethoxy-9-phenyl-8-[(4S)-1,4,9-trimethoxy-3-phenyl-5,6-dihydro-4H-phenalen-2-yl]-2,3-dihydro-1H-phenalene",,,literal,10.1016/S0040-4020(01)88476-3
7,uri,http://www.wikidata.org/entity/Q39600979,uri,http://www.wikidata.org/entity/Q105142999,literal,Pontederia crassipes,literal,KMJSWROJGBDPMI-QQHSWTODSA-N,literal,OC1CCC2(C)C3C(=CCC2C1(O)C)C4CCC(C(C)CCC(=C)C(C)C)C4(C)CC3,,,literal,310928-2,en,literal,"(3S,4R,5R,9R,10R,13R,14R,17R)-4,10,13-trimethyl-17-[(2R)-6-methyl-5-methylideneheptan-2-yl]-1,2,3,5,6,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthrene-3,4-diol",,,literal,10.1016/S0040-4020(01)96166-6
8,uri,http://www.wikidata.org/entity/Q89189686,uri,http://www.wikidata.org/entity/Q105329522,literal,Pontederia africana,literal,XKKKGVMKVHSPST-MLDZEZJKSA-N,literal,O=C(OC1C2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(C)C(C)C)C2(C)CCC1OC(=O)C)C,,,literal,77188080-1,en,literal,"[(3S,4R,8S,9S,10R,13R,14S,17R)-4-acetyloxy-17-[(2R,5R)-5,6-dimethylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate",,,literal,10.1002/JCCS.200400035
9,uri,http://www.wikidata.org/entity/Q39600979,uri,http://www.wikidata.org/entity/Q105247054,literal,Pontederia crassipes,literal,RXIRUHYYNOJORF-JDSWLFGNSA-N,literal,OC1CCC2(C3=C(C4=CCC(C(C)CCC(=C)C(C)C)C4(C)CC3)CCC2C1(O)C)C,,,literal,310928-2,en,literal,"(3S,4R,5R,10S,13R,17R)-4,10,13-trimethyl-17-[(2R)-6-methyl-5-methylideneheptan-2-yl]-1,2,3,5,6,7,11,12,16,17-decahydrocyclopenta[a]phenanthrene-3,4-diol",,,literal,10.1016/S0040-4020(01)96166-6
