,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104968109,literal,Hippophae rhamnoides,literal,CQLRUIIRRZYHHS-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(OC)C4,literal,323851-1,en,literal,isorhamnetin 3-galactoside,literal,10.1002/CHIN.197119392,,,,
1,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q17119299,literal,Hippophae rhamnoides,literal,FYIJLTSMNXUNLT-CXQFPWCTSA-N,literal,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O,literal,323851-1,en,literal,Strictinin,literal,10.1007/S10600-006-0045-2,literal,517-46-4,literal,CHEMBL504212
2,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q17119299,literal,Hippophae rhamnoides,literal,FYIJLTSMNXUNLT-CXQFPWCTSA-N,literal,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O,literal,323851-1,en,literal,Strictinin,literal,10.1007/BF00596661,literal,517-46-4,literal,CHEMBL504212
3,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q17119299,literal,Hippophae rhamnoides,literal,FYIJLTSMNXUNLT-CXQFPWCTSA-N,literal,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O,literal,323851-1,en,literal,Strictinin,literal,10.1016/0031-9422(91)83748-A,literal,517-46-4,literal,CHEMBL504212
4,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q169337,literal,Hippophae rhamnoides,literal,JKQXZKUSFCKOGQ-QAYBQHTQSA-N,literal,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,literal,323851-1,en,literal,zeaxanthin,literal,10.1007/BF00570873,literal,144-68-3,literal,CHEMBL2359248
5,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q169337,literal,Hippophae rhamnoides,literal,JKQXZKUSFCKOGQ-QAYBQHTQSA-N,literal,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,literal,323851-1,en,literal,zeaxanthin,literal,10.1007/BF00713311,literal,144-68-3,literal,CHEMBL2359248
6,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104945717,literal,Hippophae rhamnoides,literal,BTLPCOOVNVTENY-NFYLBXPESA-N,literal,O=C(OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCC)CCCCCCC,literal,323851-1,en,literal,"1,3-Dicapryloyl-2-linoleoyl glycerol",literal,10.1248/CPB.53.1021,,,,
7,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q27104309,literal,Hippophae rhamnoides,literal,PGYAYSRVSAJXTE-FTLOKQSXSA-N,literal,OC1CC(O)(C(=C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC23OC3(C)CC(O)CC2(C)C)C)C)C)C)C(C)(C)C1)C,literal,323851-1,en,literal,9'-cis-neoxanthin,literal,10.1002/PCA.1353,literal,14660-91-4,,
8,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q23418844,literal,Hippophae rhamnoides,literal,DVGGLGXQSFURLP-VWMSDXGPSA-N,literal,C1=CC(=CC=C1C=CC(=O)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O,literal,323851-1,en,literal,tiliroside,literal,10.1016/0031-9422(91)83748-A,literal,20316-62-5,literal,CHEMBL266564
9,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104253176,literal,Hippophae rhamnoides,literal,LGJMUZUPVCAVPU-BMPQYNDWSA-N,literal,OC1CCC2(C)C(CCC3C4CCC(C(C)CCC(CC)C(C)C)C4(C)CCC32)C1,literal,323851-1,en,literal,"(3S,5S,9S,10S,13R,17R)-17-[(2R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,10.1021/JF010813M,,,,
10,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q207688,literal,Hippophae rhamnoides,literal,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,literal,CCCCCCCCC=CCCCCCCCC(=O)O,literal,323851-1,en,literal,oleic acid,literal,10.1016/J.PHYMED.2007.03.018,literal,112-80-1,literal,CHEMBL8659
11,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q207688,literal,Hippophae rhamnoides,literal,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,literal,CCCCCCCCC=CCCCCCCCC(=O)O,literal,323851-1,en,literal,oleic acid,literal,10.1021/JF001059S,literal,112-80-1,literal,CHEMBL8659
12,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q121802,literal,Hippophae rhamnoides,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,323851-1,en,literal,beta-sitosterol,literal,10.1016/J.PHYMED.2007.03.018,literal,64997-52-0,,
13,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q121802,literal,Hippophae rhamnoides,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,323851-1,en,literal,beta-sitosterol,literal,10.1248/CPB.55.15,literal,64997-52-0,,
14,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q121802,literal,Hippophae rhamnoides,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,323851-1,en,literal,beta-sitosterol,literal,10.1007/BF00580456,literal,64997-52-0,,
15,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q121802,literal,Hippophae rhamnoides,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,323851-1,en,literal,beta-sitosterol,literal,10.1021/JF010813M,literal,64997-52-0,,
16,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q121802,literal,Hippophae rhamnoides,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,323851-1,en,literal,beta-sitosterol,literal,10.1007/BF00579142,literal,64997-52-0,,
17,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104193930,literal,Hippophae rhamnoides,literal,OXGUCUVFOIWWQJ-UHFFFAOYSA-N,literal,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,literal,323851-1,en,literal,quercitrin,literal,10.1007/BF00565207,,,,
18,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q27104329,literal,Hippophae rhamnoides,literal,NGSWKAQJJWESNS-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C=CC(=O)O)O,literal,323851-1,en,literal,4-coumaric acid,literal,10.1016/0031-9422(91)83748-A,literal,7400-08-0,,
19,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q105122820,literal,Hippophae rhamnoides,literal,IYMHVUYNBVWXKH-HUMDKZJCSA-N,literal,O=C1OCC2OC(O)C3OC(=O)C4=CC(O)=C(O)C(O)=C4C5=C(O)C(O)=C(O)C=C5C(=O)OC3C2OC(=O)C6=CC(O)=C(O)C(O)=C6C7=C(O)C(O)=C(O)C=C17,literal,323851-1,en,literal,alpha-Pedunculagin,literal,10.1016/0031-9422(91)83748-A,,,,
20,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104168721,literal,Hippophae rhamnoides,literal,IEUYPKKOHSWZRJ-UHFFFAOYSA-N,literal,OC1CCC23C(=CCC4C5(C)CCC(C(C)CCC(=C)C(C)C)C5(C)CCC43C2)C1(C)C,literal,323851-1,en,literal,"7,7,12,16-Tetramethyl-15-(6-methyl-5-methylideneheptan-2-yl)pentacyclo[9.7.0.01,3.03,8.012,16]octadec-8-en-6-ol",literal,10.1007/BF00579142,,,,
21,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q209685,literal,Hippophae rhamnoides,literal,QIQXTHQIDYTFRH-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCC(=O)O,literal,323851-1,en,literal,stearic acid,literal,10.1016/J.PHYMED.2007.03.018,literal,57-11-4,literal,CHEMBL46403
22,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q167934,literal,Hippophae rhamnoides,literal,QZAYGJVTTNCVMB-UHFFFAOYSA-N,literal,C1=CC2=C(C=C1O)C(=CN2)CCN,literal,323851-1,en,literal,serotonin,literal,10.1007/BF00565207,literal,50-67-9,literal,CHEMBL39
23,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104376023,literal,Hippophae rhamnoides,literal,DSOKBBPJHVYCBQ-KZSQEHGRSA-N,literal,OC=CC(=CCC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C)C(C)C,literal,323851-1,en,literal,Stigmastadienol,literal,10.1016/J.JCHROMB.2004.08.047,,,,
24,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104376023,literal,Hippophae rhamnoides,literal,DSOKBBPJHVYCBQ-KZSQEHGRSA-N,literal,OC=CC(=CCC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C)C(C)C,literal,323851-1,en,literal,Stigmastadienol,literal,10.1021/JF010813M,,,,
25,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q105177975,literal,Hippophae rhamnoides,literal,NEJKEXUJCSYMCC-ZLEZCFKXSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC3=CC(OC4OC(C)C(O)C(O)C4O)=CC(O)=C13)C=5C=CC(O)=C(OC)C5,literal,323851-1,en,literal,"5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",literal,10.1002/CHIN.197119392,,,,
26,uri,http://www.wikidata.org/entity/Q165378,uri,http://www.wikidata.org/entity/Q104387655,literal,Hippophae rhamnoides,literal,UDYKDZHZAKSYCO-JLQXGYSZSA-N,literal,O=C1OCC2OC(=O)C3=CC(O)=C(O)C(O)=C3C4=C(O)C(O)=C(O)C5=C4C(=O)OC(C6OC(=O)C7=C5C(O)=C(O)C(O)=C7C6O)C2OC(=O)C8=CC(O)=C(O)C(O)=C8C9=C(O)C(O)=C(O)C=C19,literal,323851-1,en,literal,castalagin,literal,10.1016/0031-9422(91)83748-A,literal,36001-47-5,,
