,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q161105,uri,http://www.wikidata.org/entity/Q27145774,literal,Platanus orientalis,literal,LSHVYAFMTMFKBA-PZJWPPBQSA-N,literal,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,literal,685873-1,literal,25615-05-8,en,literal,(+)-catechin gallate,literal,10.1023/B:CONC.0000025479.07578.5D,literal,CHEMBL483083
1,uri,http://www.wikidata.org/entity/Q161105,uri,http://www.wikidata.org/entity/Q23050136,literal,Platanus orientalis,literal,PFTAWBLQPZVEMU-UKRRQHHQSA-N,literal,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,literal,685873-1,literal,490-46-0,en,literal,(−)-epicatechin,literal,10.1023/B:CONC.0000025479.07578.5D,literal,CHEMBL583912
2,uri,http://www.wikidata.org/entity/Q161105,uri,http://www.wikidata.org/entity/Q83081520,literal,Platanus orientalis,literal,NHKDEMRRYWOJOF-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC,literal,685873-1,literal,58886-94-5,en,literal,"Octadecanoic acid, hexacosyl ester",literal,10.1055/S-0028-1097634,,
3,uri,http://www.wikidata.org/entity/Q157739,uri,http://www.wikidata.org/entity/Q105030042,literal,Platanus occidentalis,literal,HKZIBACORRUGAC-SYXHEPFYSA-N,literal,O=C(OC1C(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)OC(C)C(O)C1OC(=O)C=CC5=CC=C(O)C=C5)C=CC6=CC=C(O)C=C6,literal,685871-1,,,en,literal,"2-(4-Hydroxyphenyl)-3-[2-O-(4-hydroxy-cis-cinnamoyl)-3-O-(4-hydroxy-trans-cinnamoyl)-alpha-L-rhamnopyranosyloxy]-5,7-dihydroxy-4H-1-benzopyran-4-one",literal,10.1021/NP900499Q,,
4,uri,http://www.wikidata.org/entity/Q157739,uri,http://www.wikidata.org/entity/Q115968090,literal,Platanus occidentalis,literal,QXUNGRHXORFDRJ-UHFFFAOYSA-N,literal,O=C(OC1C(OCC(=O)C=2C(O)=CC(O)=CC2OCC3=CC=C(O)C=C3)OC(C)C(O)C1OC(=O)C=CC4=CC=C(O)C=C4)C=CC5=CC=C(O)C=C5,literal,685871-1,,,en,literal,"[2-[2-[2,4-Dihydroxy-6-[(4-hydroxyphenyl)methoxy]phenyl]-2-oxoethoxy]-5-hydroxy-3-[3-(4-hydroxyphenyl)prop-2-enoyloxy]-6-methyloxan-4-yl] 3-(4-hydroxyphenyl)prop-2-enoate",literal,10.1021/NP900499Q,,
5,uri,http://www.wikidata.org/entity/Q161105,uri,http://www.wikidata.org/entity/Q105274975,literal,Platanus orientalis,literal,UKYSXGIXRMKAQM-OVDDZOBQSA-N,literal,O=C(OC1CC2=C(O)C=C(O)C(=C2OC1C3=CC=C(O)C(O)=C3)C4C=5C(O)=CC(O)=C(C5OC(C6=CC=C(O)C(O)=C6)C4O)C7C8=C(O)C=C(OC9OC(CO)C(O)C(O)C9O)C=C8OC(C%10=CC=C(O)C(O)=C%10)C7O)C%11=CC(O)=C(O)C(O)=C%11,literal,685873-1,,,,literal,Q105274975,literal,10.1007/S10600-010-9616-3,,
6,uri,http://www.wikidata.org/entity/Q157739,uri,http://www.wikidata.org/entity/Q105030037,literal,Platanus occidentalis,literal,HKZIBACORRUGAC-DJVSQZLHSA-N,literal,O=C(OC1C(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)OC(C)C(O)C1OC(=O)C=CC5=CC=C(O)C=C5)C=CC6=CC=C(O)C=C6,literal,685871-1,,,en,literal,"2-(4-Hydroxyphenyl)-3-[2-O-(4-hydroxy-trans-cinnamoyl)-3-O-(4-hydroxy-cis-cinnamoyl)-alpha-L-rhamnopyranosyloxy]-5,7-dihydroxy-4H-1-benzopyran-4-one",literal,10.1021/NP900499Q,,
7,uri,http://www.wikidata.org/entity/Q59420135,uri,http://www.wikidata.org/entity/Q105032328,literal,Platanus hybrida,literal,HQNOUCSPWAGQND-FJKPBZLMSA-N,literal,O=C1C(O)=C(OC2=CC(OC3OC(C)C(O)C(O)C3O)=CC(O)=C12)C=4C=CC(O)=CC4,,,,,en,literal,"3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",literal,10.1016/0031-9422(90)83055-6,,
8,uri,http://www.wikidata.org/entity/Q161105,uri,http://www.wikidata.org/entity/Q104995445,literal,Platanus orientalis,literal,FHRXSHFHHAYWSV-GWHBCOKCSA-N,literal,O=C(OC=1C(=C(C=2OC(C)(CCC2C1C)CCCCCCCCCCCCCCCC)C)C)CCCCCCCCCCCCCC=C,literal,685873-1,,,en,literal,"[(2S)-2-hexadecyl-2,5,7,8-tetramethyl-3,4-dihydrochromen-6-yl] hexadec-15-enoate",literal,10.1007/BF00629969,,
9,uri,http://www.wikidata.org/entity/Q161105,uri,http://www.wikidata.org/entity/Q414116,literal,Platanus orientalis,literal,QAIPRVGONGVQAS-DUXPYHPUSA-N,literal,C1=CC(=C(C=C1C=CC(=O)O)O)O,literal,685873-1,literal,331-39-5,en,literal,trans-caffeic acid,literal,10.1055/S-2006-959751,literal,CHEMBL145
10,uri,http://www.wikidata.org/entity/Q157739,uri,http://www.wikidata.org/entity/Q105030044,literal,Platanus occidentalis,literal,HKZIBACORRUGAC-XBWZYNSXSA-N,literal,O=C(OC1C(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)OC(C)C(O)C1OC(=O)C=CC5=CC=C(O)C=C5)C=CC6=CC=C(O)C=C6,literal,685871-1,,,en,literal,"[(2S,3R,4R,5S,6S)-2-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-5-hydroxy-3-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy-6-methyloxan-4-yl] 3-(4-hydroxyphenyl)prop-2-enoate",literal,10.1021/NP900499Q,,
11,uri,http://www.wikidata.org/entity/Q161105,uri,http://www.wikidata.org/entity/Q51617505,literal,Platanus orientalis,literal,XMOCLSLCDHWDHP-IUODEOHRSA-N,literal,OC=1C=C(O)C2=C(OC(C3=CC(O)=C(O)C(O)=C3)C(O)C2)C1,literal,685873-1,literal,970-74-1,en,literal,(-)-epigallocatechin,literal,10.1023/B:CONC.0000025479.07578.5D,,
