,organism.type,organism,structure.type,structure,organism_name.type,organism_name,ipniID.type,ipniID,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
13,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105265582,literal,Panax,literal,85871-1,literal,TVWNWTCNFUZDDJ-HBIKTYAUSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC2OC3CC4(C)C(CC(O)C5C(CCC54C)C6(OC(CC6)C(O)(C)C)C)C7(C)CCC(O)C(C)(C)C37)CO)C(O)C(O)C1O,,literal,Q105265582,literal,10.1021/NP100851S,,,,
14,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q110080565,literal,Panax,literal,85871-1,literal,MYCOIXOUZMKBTK-UHFFFAOYSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC2OC3CCC4(C)C(CCC5(C)C4CC(O)C6C(CCC65C)C(OC7OC(COC8OC(CO)C(O)C(OC9OCC(O)C(O)C9O)C8O)C(O)C(O)C7O)(C)CCC=C(C)C)C3(C)C)CO)C(OC%10OCC(O)C(O)C%10O)C(O)C1O,,literal,Q110080565,literal,10.1007/S11418-005-0027-X,,,,
15,uri,http://www.wikidata.org/entity/Q132636,uri,http://www.wikidata.org/entity/Q105345247,literal,Aralia,literal,30023289-2,literal,XZXRGWVOZPSOKR-RJBNPWJGSA-N,literal,O=C(OC1OC(COC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O)C45CCC(C)(C)CC5C6=CCC7C8(C)CCC(OC9OCC(OC%10OC(CO)C(OC%11OC(C)C(O)C(O)C%11O)C(O)C%10O)C(O)C9OC%12OC(C)C(O)C(O)C%12O)C(C)(C)C8CCC7(C)C6(C)CC4,en,literal,Pastuchoside B,literal,10.1007/BF00567339,,,,
16,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q27136478,literal,Panax,literal,85871-1,literal,VPAZVTJVMAHSHH-NTCAYCPXSA-N,literal,CCCCCCCC(C=CC#CC#CC(CC)O)O,en,literal,Panaxjapyne B,literal,10.1021/NP100851S,,,,
17,uri,http://www.wikidata.org/entity/Q26771,uri,http://www.wikidata.org/entity/Q12019343,literal,Hedera,literal,3027-1,,,,,,literal,Q12019343,,,,,,
18,uri,http://www.wikidata.org/entity/Q8085880,uri,http://www.wikidata.org/entity/Q104197482,literal,Tetrapanax,literal,3112-1,literal,SOSLMHZOJATCCP-UHFFFAOYSA-N,literal,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,en,literal,Kaempferol-3-O-rhamnoside,literal,10.1021/NP050185T,,,,
19,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105185337,literal,Panax,literal,85871-1,literal,NTAJLZDIWQCQKN-UHFFFAOYSA-N,literal,OCC1OC(OC2CCC3(C)C(CCC4(C)C3CC(O)C5C(CCC54C)C(OC6OC(COC7OCC(O)C(OC8OCC(O)C(O)C8O)C7O)C(O)C(O)C6O)(C)CCC=C(C)C)C2(C)C)C(O)C(O)C1O,,literal,Q105185337,literal,10.1007/S11418-005-0027-X,,,,
20,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105178789,literal,Panax,literal,85871-1,literal,NFZYDZXHKFHPGA-BRDNLJJOSA-N,literal,O=C(O)C1OC(OC2CCC3(C)C4CC=C5C6CC(C)(C)CCC6(C(=O)OC7OC(CO)C(O)C(O)C7O)CCC5(C)C4(C)CCC3C2(C)C)C(OC8OC(CO)C(O)C(O)C8O)C(O)C1O,,literal,Q105178789,literal,10.1016/J.PHYTOCHEM.2013.03.021,,,,
21,uri,http://www.wikidata.org/entity/Q132636,uri,http://www.wikidata.org/entity/Q105289495,literal,Aralia,literal,30023289-2,literal,VNCQCPQAMDQEBY-UHFFFAOYSA-N,literal,O=CC12CCCC(C(=O)O)(C)C2C(C(=O)O)C34CC(=C)C(O)(CCC13)C4,en,literal,"8-Formyl-12-hydroxy-4-methyl-13-methylidenetetracyclo[10.2.1.01,9.03,8]pentadecane-2,4-dicarboxylic acid",literal,10.1271/BBB.57.1953,,,,
22,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105163268,literal,Panax,literal,85871-1,literal,MGEVFIHLEFXNMC-UHFFFAOYSA-N,literal,OCC1OC(OCC2OC(OC(C)(CCC=C(C)C)C3CCC4(C)C3C(O)CC5C6(C)CCC(OC7OC(CO)C(O)C(O)C7OC8OCC(O)C(O)C8O)C(C)(C)C6CCC54C)C(O)C(O)C2O)C(O)C(O)C1O,,literal,Q105163268,literal,10.1007/S11418-005-0027-X,,,,
