,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q17255228,uri,http://www.wikidata.org/entity/Q105254906,literal,Tersonia brevipes,literal,SKLKAEFXBVWMJP-MOPFWBRRSA-N,literal,O=S(=O)(O)ON=C(SC1OC(CO)C(O)C(O)C1O)CC(C)C,literal,676529-1,en,literal,"[(2R,3R,4S,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1Z)-3-methyl-N-sulfooxybutanimidothioate",literal,10.1016/S0031-9422(00)98498-X
1,uri,http://www.wikidata.org/entity/Q17255228,uri,http://www.wikidata.org/entity/Q105265020,literal,Tersonia brevipes,literal,TUSWQPFNQXCPGB-KCKZBJOHSA-N,literal,O=S(=O)(O)ON=C(SC1OC(CO)C(O)C(O)C1O)C(C)CC,literal,676529-1,en,literal,"[(2R,3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1Z,2R)-2-methyl-N-sulfooxybutanimidothioate",literal,10.1016/S0031-9422(00)98498-X
