,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q903348,literal,Cecropia glaziovii,literal,XMHIUKTWLZUKEX-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,literal,506-46-7,literal,292376-2,en,literal,cerotic acid,literal,CHEMBL464787,literal,10.1002/ARDP.19803130303
1,uri,http://www.wikidata.org/entity/Q15546547,uri,http://www.wikidata.org/entity/Q903348,literal,Cecropia pachystachya,literal,XMHIUKTWLZUKEX-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,literal,506-46-7,literal,50908-2,en,literal,cerotic acid,literal,CHEMBL464787,literal,10.1002/ARDP.19803130303
2,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q902204,literal,Cecropia glaziovii,literal,KEMQGTRYUADPNZ-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCC(=O)O,literal,506-12-7,literal,292376-2,en,literal,margaric acid,literal,CHEMBL1172910,literal,10.1002/ARDP.19803130303
3,uri,http://www.wikidata.org/entity/Q15546547,uri,http://www.wikidata.org/entity/Q902204,literal,Cecropia pachystachya,literal,KEMQGTRYUADPNZ-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCC(=O)O,literal,506-12-7,literal,50908-2,en,literal,margaric acid,literal,CHEMBL1172910,literal,10.1002/ARDP.19803130303
4,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q911218,literal,Cecropia glaziovii,literal,CKDDRHZIAZRDBW-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCC(=O)O,literal,2363-71-5,literal,292376-2,en,literal,henicosanoic acid,literal,CHEMBL1172909,literal,10.1002/ARDP.19803130303
5,uri,http://www.wikidata.org/entity/Q15546547,uri,http://www.wikidata.org/entity/Q911218,literal,Cecropia pachystachya,literal,CKDDRHZIAZRDBW-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCC(=O)O,literal,2363-71-5,literal,50908-2,en,literal,henicosanoic acid,literal,CHEMBL1172909,literal,10.1002/ARDP.19803130303
6,uri,http://www.wikidata.org/entity/Q10272307,uri,http://www.wikidata.org/entity/Q7247556,literal,Cecropia hololeuca,literal,MOJZMWJRUKIQGL-XILRTYJMSA-N,literal,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,literal,37064-30-5,literal,50866-2,en,literal,procyanidin C1,literal,CHEMBL290632,literal,10.1078/0944-7113-00003
7,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q7247556,literal,Cecropia glaziovii,literal,MOJZMWJRUKIQGL-XILRTYJMSA-N,literal,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,literal,37064-30-5,literal,292376-2,en,literal,procyanidin C1,literal,CHEMBL290632,literal,10.1016/J.PHYMED.2008.02.006
8,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q7247556,literal,Cecropia glaziovii,literal,MOJZMWJRUKIQGL-XILRTYJMSA-N,literal,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O,literal,37064-30-5,literal,292376-2,en,literal,procyanidin C1,literal,CHEMBL290632,literal,10.1078/0944-7113-00003
9,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q72478077,literal,Cecropia glaziovii,literal,LTUMRKDLVGQMJU-UHFFFAOYSA-N,literal,O=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,literal,762-29-8,literal,292376-2,en,literal,farnesylacetone,,,literal,10.1002/ARDP.19803130302
10,uri,http://www.wikidata.org/entity/Q15546547,uri,http://www.wikidata.org/entity/Q72478077,literal,Cecropia pachystachya,literal,LTUMRKDLVGQMJU-UHFFFAOYSA-N,literal,O=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,literal,762-29-8,literal,50908-2,en,literal,farnesylacetone,,,literal,10.1002/ARDP.19803130302
11,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q7247552,literal,Cecropia glaziovii,literal,XFZJEEAOWLFHDH-NFJBMHMQSA-N,literal,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,literal,29106-49-8,literal,292376-2,en,literal,(+)-procyanidin B2,literal,CHEMBL38714,literal,10.1016/J.PHYMED.2008.02.006
12,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q7247552,literal,Cecropia glaziovii,literal,XFZJEEAOWLFHDH-NFJBMHMQSA-N,literal,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,literal,29106-49-8,literal,292376-2,en,literal,(+)-procyanidin B2,literal,CHEMBL38714,literal,10.1078/0944-7113-00003
13,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q82006251,literal,Cecropia glaziovii,literal,QMAYBMKBYCGXDH-UHFFFAOYSA-N,literal,C1=C(C)C2CCC(=CC2C(C1)C(C)C)C,literal,50999-86-5,literal,292376-2,en,literal,"1.Xi.,6.xi.,7.xi.-cadina-4,9-diene",,,literal,10.1002/ARDP.19803130302
14,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q72480171,literal,Cecropia glaziovii,literal,HNZUNIKWNYHEJJ-UHFFFAOYSA-N,literal,O=C(C)CCC=C(C)CCC=C(C)C,literal,689-67-8,literal,292376-2,en,literal,Geranylacetone,,,literal,10.1002/ARDP.19803130302
15,uri,http://www.wikidata.org/entity/Q15546547,uri,http://www.wikidata.org/entity/Q72480171,literal,Cecropia pachystachya,literal,HNZUNIKWNYHEJJ-UHFFFAOYSA-N,literal,O=C(C)CCC=C(C)CCC=C(C)C,literal,689-67-8,literal,50908-2,en,literal,Geranylacetone,,,literal,10.1002/ARDP.19803130302
16,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q151123,literal,Cecropia glaziovii,literal,QHMGJGNTMQDRQA-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,literal,544-85-4,literal,292376-2,en,literal,dotriacontane,,,literal,10.1002/ARDP.19803130303
17,uri,http://www.wikidata.org/entity/Q15546547,uri,http://www.wikidata.org/entity/Q151123,literal,Cecropia pachystachya,literal,QHMGJGNTMQDRQA-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,literal,544-85-4,literal,50908-2,en,literal,dotriacontane,,,literal,10.1002/ARDP.19803130303
18,uri,http://www.wikidata.org/entity/Q15546528,uri,http://www.wikidata.org/entity/Q209685,literal,Cecropia glaziovii,literal,QIQXTHQIDYTFRH-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCC(=O)O,literal,57-11-4,literal,292376-2,en,literal,stearic acid,literal,CHEMBL46403,literal,10.1002/ARDP.19803130303
19,uri,http://www.wikidata.org/entity/Q15546547,uri,http://www.wikidata.org/entity/Q209685,literal,Cecropia pachystachya,literal,QIQXTHQIDYTFRH-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCC(=O)O,literal,57-11-4,literal,50908-2,en,literal,stearic acid,literal,CHEMBL46403,literal,10.1002/ARDP.19803130303
20,uri,http://www.wikidata.org/entity/Q10272307,uri,http://www.wikidata.org/entity/Q418599,literal,Cecropia hololeuca,literal,YQUVCSBJEUQKSH-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C(=O)O)O)O,literal,99-50-3,literal,50866-2,en,literal,"3,4-dihydroxybenzoic acid",literal,CHEMBL37537,literal,10.1078/0944-7113-00003
