,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q72478077,literal,Bixa orellana,literal,LTUMRKDLVGQMJU-UHFFFAOYSA-N,literal,O=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,literal,33335-2,literal,762-29-8,en,literal,farnesylacetone,literal,10.1016/0031-9422(89)80298-5,,
1,uri,http://www.wikidata.org/entity/Q15474572,uri,http://www.wikidata.org/entity/Q63409471,literal,Cochlospermum tinctorium,literal,LMCGARAPKXJPNG-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCC(=O)CC,literal,111537-1,literal,18261-92-2,en,literal,octadecan-3-one,literal,10.1016/0031-9422(91)83485-4,,
2,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q82435316,literal,Bixa orellana,literal,UQUHXFINOFUDCC-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(OS(=O)(=O)O)C=C(O)C12)C=3C=CC(O)=CC3,literal,33335-2,literal,56857-56-8,en,literal,Apigenin 7-sulfate,literal,10.1016/S0031-9422(00)98620-5,,
3,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q76856684,literal,Bixa orellana,literal,NXZZZYUALZNGOO-OKMAZBOSSA-N,literal,O=CC=CC(=CC=CC=C(C=CC=C(C=CC(=O)OC)C)C)C,literal,33335-2,literal,201996-43-2,en,literal,"Methyl (9Z)-10'-oxo-6,10'-diapo-6-carotenoate",literal,10.1002/(SICI)1522-2675(19990505)82:5<696::AID-HLCA696>3.0.CO;2-X,,
4,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q76856684,literal,Bixa orellana,literal,NXZZZYUALZNGOO-OKMAZBOSSA-N,literal,O=CC=CC(=CC=CC=C(C=CC=C(C=CC(=O)OC)C)C)C,literal,33335-2,literal,201996-43-2,en,literal,"Methyl (9Z)-10'-oxo-6,10'-diapo-6-carotenoate",literal,10.1016/S0031-9422(97)00462-7,,
5,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q76416525,literal,Bixa orellana,literal,JMFNGSBVJBPGQR-IWRWKHRWSA-N,literal,O=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC(=O)OC)C)C)C)C,literal,33335-2,literal,101034-51-9,en,literal,"Methyl (9Z)-8'-oxo-6,8'-diapo-6-carotenoate",literal,10.1016/0031-9422(89)80298-5,,
6,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q76416525,literal,Bixa orellana,literal,JMFNGSBVJBPGQR-IWRWKHRWSA-N,literal,O=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC(=O)OC)C)C)C)C,literal,33335-2,literal,101034-51-9,en,literal,"Methyl (9Z)-8'-oxo-6,8'-diapo-6-carotenoate",literal,10.1016/S0031-9422(97)00462-7,,
7,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q424572,literal,Bixa orellana,literal,RAFGELQLHMBRHD-SLEZCNMESA-N,literal,CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)OC)C=CC=C(C)C=CC(=O)O,literal,33335-2,literal,6983-79-5,en,literal,bixin,literal,10.1055/S-2006-959961,literal,CHEMBL1172615
8,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q424572,literal,Bixa orellana,literal,RAFGELQLHMBRHD-SLEZCNMESA-N,literal,CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)OC)C=CC=C(C)C=CC(=O)O,literal,33335-2,literal,6983-79-5,en,literal,bixin,literal,10.1093/JXB/ERR201,literal,CHEMBL1172615
9,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q424572,literal,Bixa orellana,literal,RAFGELQLHMBRHD-SLEZCNMESA-N,literal,CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)OC)C=CC=C(C)C=CC(=O)O,literal,33335-2,literal,6983-79-5,en,literal,bixin,literal,10.1111/J.1365-2621.1991.TB08664.X,literal,CHEMBL1172615
10,uri,http://www.wikidata.org/entity/Q147701,uri,http://www.wikidata.org/entity/Q424572,literal,Bixa orellana,literal,RAFGELQLHMBRHD-SLEZCNMESA-N,literal,CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)OC)C=CC=C(C)C=CC(=O)O,literal,33335-2,literal,6983-79-5,en,literal,bixin,literal,10.1016/0031-9422(89)80298-5,literal,CHEMBL1172615
