,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q5399647,uri,http://www.wikidata.org/entity/Q864222,literal,Knema furfuracea,literal,WUADCCWRTIWANL-UHFFFAOYSA-N,literal,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,literal,491-80-5,literal,585857-1,en,literal,biochanin A,literal,10.1016/J.FITOTE.2009.05.005,literal,CHEMBL131921
1,uri,http://www.wikidata.org/entity/Q5399666,uri,http://www.wikidata.org/entity/Q83035092,literal,Knema glomerata,literal,IMXQBUNJVMBJFG-UHFFFAOYSA-N,literal,CC(=O)C1=C(C=C(C=C1O)O)CCCCCCCCC2=CC=CC=C2,literal,155233-37-7,literal,585866-1,en,literal,Kneglomeratanone A,literal,10.1021/NP50105A007,,
2,uri,http://www.wikidata.org/entity/Q5399666,uri,http://www.wikidata.org/entity/Q83035094,literal,Knema glomerata,literal,LKFIFZHFSPDZEZ-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCC1=C(C(=CC(=C1)O)O)C(=O)C,literal,155233-38-8,literal,585866-1,en,literal,Kneglomeratanone B,literal,10.1021/NP50105A007,,
3,uri,http://www.wikidata.org/entity/Q5399666,uri,http://www.wikidata.org/entity/Q864222,literal,Knema glomerata,literal,WUADCCWRTIWANL-UHFFFAOYSA-N,literal,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,literal,491-80-5,literal,585866-1,en,literal,biochanin A,literal,10.1021/NP50105A007,literal,CHEMBL131921
4,uri,http://www.wikidata.org/entity/Q15597060,uri,http://www.wikidata.org/entity/Q27260916,literal,Knema elegans,literal,QFUXQRHAJWXPGP-HIGYNYDNSA-N,literal,CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5)C,literal,528-64-3,literal,585854-1,en,literal,galbacin,literal,10.1021/NP50012A005,,
5,uri,http://www.wikidata.org/entity/Q5457233,uri,http://www.wikidata.org/entity/Q17299987,literal,Knema austrosiamensis,literal,IHVRWFJGOIWMGC-NSCUHMNNSA-N,literal,COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=C2)O)O,literal,33626-08-3,literal,585841-1,en,literal,4-methoxyresveratrol,literal,10.1016/S0031-9422(00)95010-6,,
6,uri,http://www.wikidata.org/entity/Q5399647,uri,http://www.wikidata.org/entity/Q105178451,literal,Knema furfuracea,literal,NFGDVNMPDQMDIY-SXNRFVDCSA-N,literal,O=C1OC(O)(C=C1CC(O)CCCCCCCCCCC(O)C2OC(CC2)C(O)CCCCCCCCCCCC)C,,,literal,585857-1,en,literal,donnaienin A,literal,10.1021/NP9605448,,
7,uri,http://www.wikidata.org/entity/Q5457303,uri,http://www.wikidata.org/entity/Q105140573,literal,Knema pierrei,literal,KFVHJOURCDULTC-KXGSVLIQSA-N,literal,O=C1OC(O)(C=C1CC(O)CCCCCC(O)CCCCC(O)C(O)CCC(O)C(O)CCCCCCCCCCCC)C,,,literal,585911-1,en,literal,"(5S)-3-[(2R,8R,13R,14S,17R,18S)-2,8,13,14,17,18-hexahydroxytriacontyl]-5-hydroxy-5-methylfuran-2-one",literal,10.1016/S0031-9422(97)00949-7,,
8,uri,http://www.wikidata.org/entity/Q15597251,uri,http://www.wikidata.org/entity/Q103816891,literal,Iryanthera grandis,literal,BOCBWXAVGJRZPL-UHFFFAOYSA-N,literal,O=C(O)C(=CCCC(=CCCC1(OC=2C(=CC(OC(=O)C)=CC2CC1)C)C)C)CCC=C(C)C,,,literal,130208-2,en,literal,"9-(6-Acetyloxy-2,8-dimethyl-3,4-dihydrochromen-2-yl)-6-methyl-2-(4-methylpent-3-enyl)nona-2,6-dienoic acid",literal,10.1016/S0031-9422(00)80162-4,,
9,uri,http://www.wikidata.org/entity/Q5457303,uri,http://www.wikidata.org/entity/Q104392140,literal,Knema pierrei,literal,PYNFAPLXMQHUNR-YZDQYAEISA-N,literal,O=C1OC(C=C1CC(O)CCCCCCCCCCC(O)C2OC(CC2)C(O)CCCCCCCCCCCC)C,literal,129683-96-1,literal,585911-1,en,literal,Murisolin,literal,10.1021/NP9605448,,
10,uri,http://www.wikidata.org/entity/Q5457303,uri,http://www.wikidata.org/entity/Q105150184,literal,Knema pierrei,literal,LDEDPGQFKSIXFH-ABGSUWOOSA-N,literal,O=C1OC(O)(C=C1CC(O)CCCCCC2OC(CC2)C(O)CCC(O)C(O)CCCCCCCCCCCCCC)C,,,literal,585911-1,en,literal,"(5R)-5-hydroxy-3-[(2R)-2-hydroxy-7-[(2R,5S)-5-[(1S,4S,5S)-1,4,5-trihydroxynonadecyl]oxolan-2-yl]heptyl]-5-methylfuran-2-one",literal,10.1021/NP9605448,,
11,uri,http://www.wikidata.org/entity/Q15597060,uri,http://www.wikidata.org/entity/Q72482995,literal,Knema elegans,literal,ADFWQBGTDJIESE-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,literal,16611-84-0,literal,585854-1,en,literal,hydroginkgolic acid,literal,10.1021/NP50012A005,,
