,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q1251952,uri,http://www.wikidata.org/entity/Q104989004,literal,Limnanthes douglasii,literal,DTSVAGTXAHLUAU-PBRLYLEESA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC4=CC(OC5OC(CO)C(O)C(O)C5O)=CC(O)=C14)C=6C=C(O)C(O)=C(O)C6,literal,30052665-2,en,literal,"5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(3,4,5-trihydroxyphenyl)-3-[(2S,3S,4R,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",literal,10.1016/0031-9422(75)85127-2,,,,
1,uri,http://www.wikidata.org/entity/Q16984567,uri,http://www.wikidata.org/entity/Q105247497,literal,Limnanthes alba,literal,RYDIUEJGEAUJAI-MFIRQCQASA-N,literal,O=S(=O)(O)ON=C(SC1OC(CO)C(O)C(O)C1O)CC=2C=CC=C(OC)C2,literal,140188-2,en,literal,m-Methoxybenzyl glucosinolate,literal,10.1021/JF8033732,,,,
2,uri,http://www.wikidata.org/entity/Q1251952,uri,http://www.wikidata.org/entity/Q104913772,literal,Limnanthes douglasii,literal,AKOYMFNXEITYAK-CTYXHILBSA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC4=CC(OC5OC(CO)C(O)C(O)C5O)=CC(O)=C14)C=6C=C(OC)C(O)=C(OC)C6,literal,30052665-2,en,literal,"5-hydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-7-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-[[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",literal,10.1016/0031-9422(75)85127-2,,,,
3,uri,http://www.wikidata.org/entity/Q1251952,uri,http://www.wikidata.org/entity/Q105288303,literal,Limnanthes douglasii,literal,VLDJCNQOIAEWHD-UHFFFAOYSA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC4=CC(OC5OC(CO)C(O)C(O)C5O)=CC(O)=C14)C=6C=CC(O)=C(OC)C6,literal,30052665-2,en,literal,"5-Hydroxy-2-(4-hydroxy-3-methoxyphenyl)-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-4-one",literal,10.1016/0031-9422(75)85127-2,,,,
4,uri,http://www.wikidata.org/entity/Q1251952,uri,http://www.wikidata.org/entity/Q105151174,literal,Limnanthes douglasii,literal,LFUCVIKGKZZMPS-XINWAFBYSA-N,literal,O=C(OC)CCCC=CCCCCCCC=CCCCCCCC,literal,30052665-2,en,literal,"methyl (5Z,13Z)-henicosa-5,13-dienoate",literal,10.1007/BF02668126,,,,
5,uri,http://www.wikidata.org/entity/Q16984567,uri,http://www.wikidata.org/entity/Q105265789,literal,Limnanthes alba,literal,TWFDWCNWDDFMIA-FTKCGTHVSA-N,literal,O=C1C=C2C(CCC3(C)C(CCC23O)C(O)(C)C(O)CCC(O)(C)C)C4(C)CC(O)C(OC5OCC(O)C(O)C5O)CC14,literal,140188-2,en,literal,Limnantheoside A,literal,10.1515/ZNC-2001-11-1214,,,,
6,uri,http://www.wikidata.org/entity/Q1251952,uri,http://www.wikidata.org/entity/Q105111914,literal,Limnanthes douglasii,literal,IEPKWJCBNGNVDF-UHFFFAOYSA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=C(O)C(O)=C(OC)C5,literal,30052665-2,en,literal,"2-(3,4-Dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-3-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-4-one",literal,10.1016/0031-9422(75)85127-2,,,,
7,uri,http://www.wikidata.org/entity/Q16984567,uri,http://www.wikidata.org/entity/Q209685,literal,Limnanthes alba,literal,QIQXTHQIDYTFRH-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCCCC(=O)O,literal,140188-2,en,literal,stearic acid,literal,10.1016/0031-9422(91)83019-H,literal,57-11-4,literal,CHEMBL46403
8,uri,http://www.wikidata.org/entity/Q1251952,uri,http://www.wikidata.org/entity/Q105114397,literal,Limnanthes douglasii,literal,IKGXIBQEEMLURG-JFNZIVIESA-N,literal,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC(O)=C(O)C5,literal,30052665-2,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",literal,10.1016/0031-9422(75)85127-2,,,,
9,uri,http://www.wikidata.org/entity/Q1251952,uri,http://www.wikidata.org/entity/Q423338,literal,Limnanthes douglasii,literal,NKDFYOWSKOHCCO-YPVLXUMRSA-N,literal,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O,literal,30052665-2,en,literal,20-hydroxyecdysone,literal,10.1016/S0031-9422(96)00591-2,literal,5289-74-7,literal,CHEMBL224128
