,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q15536410,uri,http://www.wikidata.org/entity/Q105237265,literal,Griselinia scandens,literal,RIXNFYQZWDGQAE-XRXQGYFGSA-N,literal,O=C(OC1CCC2(C)C3CC=C4C5CC(C)(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)C,literal,271811-1,en,literal,"(4aS,6aR,6aR,6bS,8aR,10S,12aS,14bR)-10-acetyloxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",literal,10.1016/S0031-9422(00)86334-7,,
1,uri,http://www.wikidata.org/entity/Q5609634,uri,http://www.wikidata.org/entity/Q72480868,literal,Griselinia littoralis,literal,USONHTFDCJKLKO-PHAJAEPKSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1C(=O)CC3C(=O)OC,literal,271806-1,en,literal,Griselinoside,literal,10.1039/P19830001943,literal,71035-06-8
2,uri,http://www.wikidata.org/entity/Q5609634,uri,http://www.wikidata.org/entity/Q72480868,literal,Griselinia littoralis,literal,USONHTFDCJKLKO-PHAJAEPKSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1C(=O)CC3C(=O)OC,literal,271806-1,en,literal,Griselinoside,literal,10.1016/S0031-9422(00)83944-8,literal,71035-06-8
3,uri,http://www.wikidata.org/entity/Q5609634,uri,http://www.wikidata.org/entity/Q82919209,literal,Griselinia littoralis,literal,WBAVLTNIRYDCPM-YMILTQATSA-N,literal,O=C1OC=2C=C(OC)C(OC3OC(CO)C(O)C(O)C3O)=CC2C=C1,literal,271806-1,en,literal,Magnolioside,literal,10.1016/S0031-9422(00)83944-8,literal,20186-29-2
4,uri,http://www.wikidata.org/entity/Q5609634,uri,http://www.wikidata.org/entity/Q105278391,literal,Griselinia littoralis,literal,USONHTFDCJKLKO-OATRXAGFSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1C(=O)CC3C(=O)OC,literal,271806-1,en,literal,"dimethyl (1S,4aS,7S,7aS)-5-oxo-1-[(2S,3S,4S,5S,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,6,7,7a-tetrahydro-1H-cyclopenta[c]pyran-4,7-dicarboxylate",literal,10.1016/S0031-9422(00)83944-8,,
5,uri,http://www.wikidata.org/entity/Q5609634,uri,http://www.wikidata.org/entity/Q105278393,literal,Griselinia littoralis,literal,USONHTFDCJKLKO-RWLPEWQHSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C1C(=O)CC3C(=O)OC,literal,271806-1,en,literal,"dimethyl (1S,4aS,7S,7aS)-5-oxo-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4a,6,7,7a-tetrahydro-1H-cyclopenta[c]pyran-4,7-dicarboxylate",literal,10.1016/S0031-9422(00)83944-8,,
