,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,chembl_id.type,chembl_id,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q133573,uri,http://www.wikidata.org/entity/Q425004,literal,Banisteriopsis caapi,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,83-48-7,literal,555820-1,literal,CHEMBL400247,en,literal,stigmasterol,literal,10.1016/S0031-9422(00)88936-0
1,uri,http://www.wikidata.org/entity/Q3259298,uri,http://www.wikidata.org/entity/Q425004,literal,Lophanthera lactescens,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,83-48-7,literal,143553-2,literal,CHEMBL400247,en,literal,stigmasterol,literal,10.1016/0031-9422(90)83048-6
2,uri,http://www.wikidata.org/entity/Q2046782,uri,http://www.wikidata.org/entity/Q7197255,literal,Byrsonima crassifolia,literal,HXEACLLIILLPRG-UHFFFAOYSA-N,literal,C1CCNC(C1)C(=O)O,literal,535-75-1,literal,556033-1,literal,CHEMBL308408,en,literal,DL-pipecolic acid,literal,10.3109/13880209509088143
3,uri,http://www.wikidata.org/entity/Q15400120,uri,http://www.wikidata.org/entity/Q393336,literal,Byrsonima coccolobifolia,literal,IYRMWMYZSQPJKC-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,literal,520-18-3,literal,556020-1,literal,CHEMBL150,en,literal,kaempferol,literal,10.1021/NP400717M
4,uri,http://www.wikidata.org/entity/Q15384174,uri,http://www.wikidata.org/entity/Q418628,literal,Acridocarpus vivy,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,literal,508-02-1,literal,555377-1,literal,CHEMBL168,en,literal,oleanolic acid,literal,10.1021/NP040058H
5,uri,http://www.wikidata.org/entity/Q15384174,uri,http://www.wikidata.org/entity/Q418628,literal,Acridocarpus vivy,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,literal,508-02-1,literal,555377-1,literal,CHEMBL168,en,literal,oleanolic acid,literal,10.1021/NP040058H.S001
6,uri,http://www.wikidata.org/entity/Q2046782,uri,http://www.wikidata.org/entity/Q6086296,literal,Byrsonima crassifolia,literal,OVSQVDMCBVZWGM-QSOFNFLRSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,literal,482-35-9,literal,556033-1,literal,CHEMBL250450,en,literal,isoquercetin,literal,10.1016/S0031-9422(96)00842-4
7,uri,http://www.wikidata.org/entity/Q2046782,uri,http://www.wikidata.org/entity/Q63398496,literal,Byrsonima crassifolia,literal,OVSQVDMCBVZWGM-LVWULRLVSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,,,literal,556033-1,,,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,10.1016/S0031-9422(96)00842-4
8,uri,http://www.wikidata.org/entity/Q15400120,uri,http://www.wikidata.org/entity/Q409478,literal,Byrsonima coccolobifolia,literal,REFJWTPEDVJJIY-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,literal,117-39-5,literal,556020-1,literal,CHEMBL50,en,literal,quercetin,literal,10.1021/NP400717M
9,uri,http://www.wikidata.org/entity/Q15400120,uri,http://www.wikidata.org/entity/Q63409134,literal,Byrsonima coccolobifolia,literal,JQUHMSXLZZWRHU-UHFFFAOYSA-N,literal,CC(=O)OC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,literal,1064-06-8,literal,556020-1,,,en,literal,Quercetin pentaacetate,literal,10.1021/NP400717M
