,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structure_cas.type,structure_cas,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q63398612,literal,Hypericum hyssopifolium,literal,PGTJIOWQJWHTJJ-STQMWFEESA-N,literal,C=1C=C2C(=CC1C)C(CCC2C)C(C)C,literal,428480-1,literal,483-77-2,en,literal,cis-Calamenene,literal,10.1016/J.FITOTE.2005.08.019,,
1,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q5242815,literal,Hypericum laricifolium,literal,OVSQVDMCBVZWGM-DTGCRPNFSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,literal,433547-1,literal,482-36-0,en,literal,hyperoside,literal,10.1248/CPB.51.1439,,
2,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q423975,literal,Hypericum hyssopifolium,literal,YKFLAYDHMOASIY-UHFFFAOYSA-N,literal,CC1=CCC(=CC1)C(C)C,literal,428480-1,literal,99-85-4,en,literal,γ‑terpinene,literal,10.1002/FFJ.1279,literal,CHEMBL449693
3,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q414116,literal,Hypericum laricifolium,literal,QAIPRVGONGVQAS-DUXPYHPUSA-N,literal,C1=CC(=C(C=C1C=CC(=O)O)O)O,literal,433547-1,literal,331-39-5,en,literal,trans-caffeic acid,literal,10.1248/CPB.51.1439,literal,CHEMBL145
4,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q417362,literal,Hypericum laricifolium,literal,KSEBMYQBYZTDHS-HWKANZROSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)O)O,literal,433547-1,literal,537-98-4,en,literal,ferulic acid,literal,10.1248/CPB.51.1439,literal,CHEMBL32749
5,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q6871627,literal,Hypericum laricifolium,literal,DUBCCGAQYVUYEU-ZUGPOPFOSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,literal,433547-1,literal,22688-79-5,en,literal,querciturone,literal,10.1248/CPB.51.1439,literal,CHEMBL520546
6,uri,http://www.wikidata.org/entity/Q17566076,uri,http://www.wikidata.org/entity/Q67880158,literal,Hypericum hyssopifolium,literal,QMAYBMKBYCGXDH-KFWWJZLASA-N,literal,C1=C(C)C2CCC(=CC2C(C1)C(C)C)C,literal,428480-1,,,en,literal,zizanene,literal,10.1016/J.FITOTE.2005.08.019,,
7,uri,http://www.wikidata.org/entity/Q17565894,uri,http://www.wikidata.org/entity/Q77509624,literal,Hypericum adenotrichum,literal,YDOIFHVUBCIUHF-UHFFFAOYSA-N,literal,CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C5=C2C1=C6C(=CC(=O)C7=C(C8=C(C=C(C4=C8C5=C67)O)O)O)C)O)O)O,literal,433156-1,,,en,literal,hypericin,literal,10.3109/13880209109082884,,
8,uri,http://www.wikidata.org/entity/Q17565900,uri,http://www.wikidata.org/entity/Q77509624,literal,Hypericum annulatum,literal,YDOIFHVUBCIUHF-UHFFFAOYSA-N,literal,CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C5=C2C1=C6C(=CC(=O)C7=C(C8=C(C=C(C4=C8C5=C67)O)O)O)C)O)O)O,literal,433193-1,,,en,literal,hypericin,literal,10.1016/S0305-1978(00)00032-6,,
9,uri,http://www.wikidata.org/entity/Q17566043,uri,http://www.wikidata.org/entity/Q56231106,literal,Hypericum laricifolium,literal,QAIPRVGONGVQAS-UHFFFAOYSA-N,literal,OC(=O)C=Cc1ccc(O)c(O)c1,literal,433547-1,literal,331-39-5,en,literal,caffeic acid,literal,10.1248/CPB.51.1439,,
