,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q15049954,uri,http://www.wikidata.org/entity/Q105148004,literal,Gnetum gnemonoides,literal,KYXFGKLZVUDIIX-YVYUXZJTSA-N,literal,OC1=CC=C(C=C1)C=CC=2C=C(O)C=C3OC(C4=CC=C(O)C=C4O)C(C=5C=C(O)C=C(O)C5)C32,literal,383521-1,en,literal,Gnetuhainin A,literal,10.3987/COM-01-9317,,,,
1,uri,http://www.wikidata.org/entity/Q15050020,uri,http://www.wikidata.org/entity/Q105148004,literal,Gnetum latifolium,literal,KYXFGKLZVUDIIX-YVYUXZJTSA-N,literal,OC1=CC=C(C=C1)C=CC=2C=C(O)C=C3OC(C4=CC=C(O)C=C4O)C(C=5C=C(O)C=C(O)C5)C32,literal,383530-1,en,literal,Gnetuhainin A,literal,10.1016/S0031-9422(02)00289-3,,,,
2,uri,http://www.wikidata.org/entity/Q15049903,uri,http://www.wikidata.org/entity/Q407426,literal,Gnetum edule,literal,OYHQOLUKZRVURQ-HZJYTTRNSA-N,literal,CCCCCC=CCC=CCCCCCCCC(=O)O,literal,383515-1,en,literal,linoleic acid,literal,10.1007/BF02663950,literal,CHEMBL267476,literal,60-33-3
3,uri,http://www.wikidata.org/entity/Q15049954,uri,http://www.wikidata.org/entity/Q60998680,literal,Gnetum gnemonoides,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,383521-1,en,literal,EZ-resveratrol,literal,10.3987/COM-01-9317,,,,
4,uri,http://www.wikidata.org/entity/Q15049954,uri,http://www.wikidata.org/entity/Q60998680,literal,Gnetum gnemonoides,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,383521-1,en,literal,EZ-resveratrol,literal,10.1021/NP9007987,,,,
5,uri,http://www.wikidata.org/entity/Q15050020,uri,http://www.wikidata.org/entity/Q60998680,literal,Gnetum latifolium,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,383530-1,en,literal,EZ-resveratrol,literal,10.1248/CPB.49.858,,,,
6,uri,http://www.wikidata.org/entity/Q15050020,uri,http://www.wikidata.org/entity/Q60998680,literal,Gnetum latifolium,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,383530-1,en,literal,EZ-resveratrol,literal,10.1016/S0031-9422(02)00289-3,,,,
7,uri,http://www.wikidata.org/entity/Q15050020,uri,http://www.wikidata.org/entity/Q60998680,literal,Gnetum latifolium,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,383530-1,en,literal,EZ-resveratrol,literal,10.1016/0031-9422(91)83507-H,,,,
8,uri,http://www.wikidata.org/entity/Q15050020,uri,http://www.wikidata.org/entity/Q60998680,literal,Gnetum latifolium,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,383530-1,en,literal,EZ-resveratrol,literal,10.1016/0031-9422(92)90050-Z,,,,
9,uri,http://www.wikidata.org/entity/Q15050020,uri,http://www.wikidata.org/entity/Q60998680,literal,Gnetum latifolium,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,383530-1,en,literal,EZ-resveratrol,literal,10.1016/S0031-9422(02)00670-2,,,,
