,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15506888,uri,http://www.wikidata.org/entity/Q409478,literal,Askidiosperma andreaeanum,literal,REFJWTPEDVJJIY-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,literal,117-39-5,literal,942182-1,en,literal,quercetin,literal,10.1016/S0031-9422(00)83536-0,literal,CHEMBL50
1,uri,http://www.wikidata.org/entity/Q15506997,uri,http://www.wikidata.org/entity/Q105267776,literal,Askidiosperma paniculatum,literal,TYXBCTBIVBOAKW-FBRKSVJRSA-N,literal,O=C1C=2C(O)=CC(O)=C(O)C2OC(C=3C=CC(O)=CC3)=C1C4OC(CO)C(O)C(O)C4O,,,literal,942188-1,en,literal,"5,7,8-trihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",literal,10.1016/S0031-9422(00)83536-0,,
2,uri,http://www.wikidata.org/entity/Q15506973,uri,http://www.wikidata.org/entity/Q409478,literal,Askidiosperma chartaceum,literal,REFJWTPEDVJJIY-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,literal,117-39-5,literal,942183-1,en,literal,quercetin,literal,10.1016/S0031-9422(00)83536-0,literal,CHEMBL50
3,uri,http://www.wikidata.org/entity/Q15506997,uri,http://www.wikidata.org/entity/Q409478,literal,Askidiosperma paniculatum,literal,REFJWTPEDVJJIY-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,literal,117-39-5,literal,942188-1,en,literal,quercetin,literal,10.1016/S0031-9422(00)83536-0,literal,CHEMBL50
4,uri,http://www.wikidata.org/entity/Q17375210,uri,http://www.wikidata.org/entity/Q105260744,literal,Elegia microcarpa,literal,SUAOSZVGNYPWHP-YNQRFCBYSA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC(C=3C=C(O)C(O)=C(O)C3)=C1C4OC(CO)C(O)C(O)C4O,,,literal,77107898-1,en,literal,"5,7-dihydroxy-3-[(2S,3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2-(3,4,5-trihydroxyphenyl)chromen-4-one",literal,10.1016/S0031-9422(00)83536-0,,
5,uri,http://www.wikidata.org/entity/Q17375210,uri,http://www.wikidata.org/entity/Q105234632,literal,Elegia microcarpa,literal,RECSNXAWHKPBJA-FPOPXEHXSA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC(C=3C=C(OC)C(O)=C(OC)C3)=C1C4OCC(O)C(O)C4O,,,literal,77107898-1,en,literal,"5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-3-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]chromen-4-one",literal,10.1016/S0031-9422(00)83536-0,,
6,uri,http://www.wikidata.org/entity/Q17375210,uri,http://www.wikidata.org/entity/Q104936042,literal,Elegia microcarpa,literal,BHLQHYKSWCZPPT-WEQWLYMASA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC(C=3C=C(O)C(O)=C(O)C3)=C1C4OC(C)C(O)C(O)C4O,,,literal,77107898-1,en,literal,"5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]-2-(3,4,5-trihydroxyphenyl)chromen-4-one",literal,10.1016/S0031-9422(00)83536-0,,
7,uri,http://www.wikidata.org/entity/Q15506888,uri,http://www.wikidata.org/entity/Q105275846,literal,Askidiosperma andreaeanum,literal,UMZXFBIHFDLFCP-UHFFFAOYSA-N,literal,O=C1C(O)=C(OC2=C(O)C(OC)=CC(O)=C12)C=3C=CC(O)=C(O)C3,,,literal,942182-1,en,literal,ranupetin,literal,10.1016/S0031-9422(00)83536-0,,
8,uri,http://www.wikidata.org/entity/Q15506888,uri,http://www.wikidata.org/entity/Q3036428,literal,Askidiosperma andreaeanum,literal,YRRAGUMVDQQZIY-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O)O,literal,489-35-0,literal,942182-1,en,literal,gossypetin,literal,10.1016/S0031-9422(00)83536-0,literal,CHEMBL253570
9,uri,http://www.wikidata.org/entity/Q15506973,uri,http://www.wikidata.org/entity/Q3036428,literal,Askidiosperma chartaceum,literal,YRRAGUMVDQQZIY-UHFFFAOYSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O)O,literal,489-35-0,literal,942183-1,en,literal,gossypetin,literal,10.1016/S0031-9422(00)83536-0,literal,CHEMBL253570
