,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q15539711,uri,http://www.wikidata.org/entity/Q27107597,literal,Daphnandra dielsii,literal,HGNHIFJNOKGSKI-WDYNHAJCSA-N,literal,CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=CC(=C(C=C7CCN6C)OC)O3)O)OC)OC,literal,97970-3,en,literal,oxyacanthine,literal,10.3987/COM-89-4957,literal,548-40-3,literal,CHEMBL509999
1,uri,http://www.wikidata.org/entity/Q15541941,uri,http://www.wikidata.org/entity/Q118263602,literal,Nemuaron vieillardii,literal,BGKVBJKMOJQQKJ-UHFFFAOYSA-N,literal,OC1=CC=C2C=C1OC3=CC=C(C=C3)CC4C5=CC(OC)=C(OC=6C(OC)=C(OC)C=C7C6CCN(C)C7C2)C=C5CCN4C,literal,582170-1,en,literal,"10,14,15-Trimethoxy-4,21-dimethyl-12,29-dioxa-4,21-diazaheptacyclo[28.2.2.17,11.124,28.03,8.013,18.017,22]hexatriaconta-1(32),7(36),8,10,13(18),14,16,24(35),25,27,30,33-dodecaen-27-ol",literal,10.1071/CH9730455,,,,
2,uri,http://www.wikidata.org/entity/Q14831655,uri,http://www.wikidata.org/entity/Q412226,literal,Atherosperma moschatum,literal,BLGXFZZNTVWLAY-SCYLSFHTSA-N,literal,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,literal,581759-1,en,literal,yohimbine,literal,10.1017/S0022149X00033812,literal,146-48-5,literal,CHEMBL15245
3,uri,http://www.wikidata.org/entity/Q15539711,uri,http://www.wikidata.org/entity/Q105323958,literal,Daphnandra dielsii,literal,XAJNVBMWCKYWIM-UHFFFAOYSA-N,literal,O=C1C=2OC3=CC4=C(C=CN(C4=CC=5C=CC(OC=6C=C(C=C7OCOC67)CC8=C1C(=CC2OC)CCN8C)=CC5)C)C=C3OC,literal,97970-3,en,literal,"32,39-Dimethoxy-9,27-dimethyl-2,15,17,20-tetraoxa-9,27-diazaoctacyclo[24.6.2.23,6.221,24.112,19.05,10.014,18.030,34]nonatriaconta-1(32),3(39),5(10),6(38),12,14(18),19(37),21,23,25,28,30,33,35-tetradecaen-4-one",literal,10.1071/CH9901129,,,,
4,uri,http://www.wikidata.org/entity/Q14831655,uri,http://www.wikidata.org/entity/Q423515,literal,Atherosperma moschatum,literal,HJJPJSXJAXAIPN-UHFFFAOYSA-N,literal,CN1CCC=C(C1)C(=O)OC,literal,581759-1,en,literal,arecoline,literal,10.1017/S0022149X00033812,literal,63-75-2,literal,CHEMBL7303
5,uri,http://www.wikidata.org/entity/Q14831655,uri,http://www.wikidata.org/entity/Q27103558,literal,Atherosperma moschatum,literal,JYIJIIVLEOETIQ-XDQVBPFNSA-N,literal,C1CCN2CC3CC(C2C1)CN4C3CCCC4=O,literal,581759-1,en,literal,lupanine,literal,10.1017/S0022149X00033812,literal,550-90-3,literal,CHEMBL459396
6,uri,http://www.wikidata.org/entity/Q14831655,uri,http://www.wikidata.org/entity/Q27105192,literal,Atherosperma moschatum,literal,NGZXDRGWBULKFA-NSOVKSMOSA-N,literal,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)N(CCC6=CC(=C5O)OC)C)OC,literal,581759-1,en,literal,bebeerine,literal,10.1017/S0022149X00033812,literal,477-60-1,,
7,uri,http://www.wikidata.org/entity/Q15541941,uri,http://www.wikidata.org/entity/Q105374331,literal,Nemuaron vieillardii,literal,ZFLRVRLYWHNAEC-UHFFFAOYSA-N,literal,OC1=CC2=C(C=C1OC)C3=C(OC)C(OC)=CC4=C3C(N(C)CC4)C2,literal,582170-1,en,literal,"1,2,10-Trimethoxy-6a-alpha-aporphin-9-ol",literal,10.1071/CH9730455,,,,
8,uri,http://www.wikidata.org/entity/Q14831655,uri,http://www.wikidata.org/entity/Q907355,literal,Atherosperma moschatum,literal,DEXMFYZAHXMZNM-UHFFFAOYSA-N,literal,CN(C)CCC1=CC2=C(C(=C1CC(=O)C3=C(C(=C(C=C3)OC)OC)C(=O)O)OC)OCO2,literal,581759-1,en,literal,narceine,literal,10.1017/S0022149X00033812,literal,131-28-2,literal,CHEMBL486305
9,uri,http://www.wikidata.org/entity/Q14831655,uri,http://www.wikidata.org/entity/Q3639734,literal,Atherosperma moschatum,literal,IYGYMKDQCDOMRE-ZWKOTPCHSA-N,literal,CN1CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3,literal,581759-1,en,literal,bicuculline,literal,10.1017/S0022149X00033812,literal,485-49-4,literal,CHEMBL417990
10,uri,http://www.wikidata.org/entity/Q14831655,uri,http://www.wikidata.org/entity/Q63396633,literal,Atherosperma moschatum,literal,ZYKCETVKVRJFGD-UHFFFAOYSA-N,literal,COC1=C(C2=C3C(=C1)C=CN=C3C(=O)C4=CC(=C(C=C42)OC)OC)OC,literal,581759-1,en,literal,oxoglaucine,literal,10.1071/CH9671403,literal,5574-24-3,,
11,uri,http://www.wikidata.org/entity/Q15541941,uri,http://www.wikidata.org/entity/Q412424,literal,Nemuaron vieillardii,literal,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,literal,C=CCC1=CC2=C(C=C1)OCO2,literal,582170-1,en,literal,safrole,literal,10.1007/BF00630021,literal,94-59-7,literal,CHEMBL242273
12,uri,http://www.wikidata.org/entity/Q15539711,uri,http://www.wikidata.org/entity/Q82926961,literal,Daphnandra dielsii,literal,FBCXFKWMGIWMJQ-UHFFFAOYSA-N,literal,O1C2=CC=C(C=C2)CC3C4=C(OC=5C=C6C(=CC5OC)CCN(C)C6CC7=CC=C(OC)C1=C7)C(OC)=C(OC)C=C4CCN3C,literal,97970-3,en,literal,"6,6',7,12'-Tetramethoxy-2,2'-dimethyloxyacanthan",literal,10.3987/COM-89-4957,literal,26252-04-0,,
