,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structure_cas.type,structure_cas,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q409366,literal,Cheiropleuria bicuspis,literal,MQYXUWHLBZFQQO-QGTGJCAVSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,literal,545-47-1,literal,17068380-1,en,literal,lupeol,literal,10.1248/CPB.38.2130,literal,CHEMBL289191
1,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q105135450,literal,Cheiropleuria bicuspis,literal,JUVRJUWZCPMWHK-RFAPTSCUSA-N,literal,OCC(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C,,,literal,17068380-1,en,literal,"(2S)-2-[(3S,3aR,5aR,5bR,7aS,11aS,11bR,13aS,13bS)-5a,5b,8,8,11a,13b-hexamethyl-1,2,3,3a,4,5,6,7,7a,9,10,11,11b,12,13,13a-hexadecahydrocyclopenta[a]chrysen-3-yl]propan-1-ol",literal,10.1248/CPB.38.2130,,
2,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q121802,literal,Cheiropleuria bicuspis,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,83-46-5,literal,17068380-1,en,literal,beta-sitosterol,literal,10.1248/CPB.38.2130,,
3,uri,http://www.wikidata.org/entity/Q5875712,uri,http://www.wikidata.org/entity/Q105170457,literal,Dipteris conjugata,literal,MRBLTWPEPGRXQN-UHFFFAOYSA-N,literal,O=C(O)C1(C)CCCC2(C)C1CCC34CC(CCC32)C(O)(CO)C4,,,,,en,literal,"16,17-Dihydroxykauran-18-oic acid",literal,10.1248/CPB.33.152,,
4,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q105314478,literal,Cheiropleuria bicuspis,literal,WXAKHNIYPJXFTM-HQWZFOBMSA-N,literal,OCC(C)C1CCC2(C)C1CCC3(C)C2CC(O)C4C3(C)CCC5C(C)(C)CCC(O)C54C,,,literal,17068380-1,en,literal,"(3S,3aR,5aR,5bR,7aS,11S,11aS,11bR,12R,13aR,13bS)-3-[(2S)-1-hydroxypropan-2-yl]-5a,5b,8,8,11a,13b-hexamethyl-1,2,3,3a,4,5,6,7,7a,9,10,11,11b,12,13,13a-hexadecahydrocyclopenta[a]chrysene-11,12-diol",literal,10.1248/CPB.38.2130,,
5,uri,http://www.wikidata.org/entity/Q5875712,uri,http://www.wikidata.org/entity/Q105279552,literal,Dipteris conjugata,literal,UURMPNJVNISYPL-RNJFVDFOSA-N,literal,O=C(O)C1CCCC2(C)C1CCC34CC(CCC32)C(O)(CO)C4,,,,,en,literal,"(1S,4R,5S,9R,10R,13R,14S)-14-hydroxy-14-(hydroxymethyl)-9-methyltetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",literal,10.1248/CPB.33.152,,
6,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q104253521,literal,Cheiropleuria bicuspis,literal,NYHSEYGDWZMIEZ-YGQXTZRHSA-N,literal,C1=C2C(CCC3(C)C4CCC(C(C)C)C4(C)CCC23C)C5(C)CCCC(C)(C)C5C1,,,literal,17068380-1,en,literal,"(3R,3aR,5aS,7aS,11aS,11bR,13aS,13bR)-3a,5a,8,8,11a,13a-hexamethyl-3-propan-2-yl-1,2,3,4,5,7,7a,9,10,11,11b,12,13,13b-tetradecahydrocyclopenta[a]chrysene",literal,10.1248/CPB.38.2130,,
7,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q425004,literal,Cheiropleuria bicuspis,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,83-48-7,literal,17068380-1,en,literal,stigmasterol,literal,10.1248/CPB.38.2130,literal,CHEMBL400247
8,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q121802,literal,Cheiropleuria bicuspis,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,64997-52-0,literal,17068380-1,en,literal,beta-sitosterol,literal,10.1248/CPB.38.2130,,
9,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q14124950,literal,Cheiropleuria bicuspis,literal,HHXYJYBYNZMZKX-PYQRSULMSA-N,literal,CC(=C)C1CCC2(C1CCC3(C2CCC4C3(CCC5C4(CCCC5(C)C)C)C)C)C,literal,1615-91-4,literal,17068380-1,en,literal,hop-22(29)-ene,literal,10.1248/CPB.38.2130,literal,CHEMBL455613
10,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q105312577,literal,Cheiropleuria bicuspis,literal,WTIUITBIDPOHKN-RUKKCGOYSA-N,literal,OC1CC2C3(C)CCC(C3CCC2(C)C4(C)CCC5C(C)(C)CCC(O)C5(C)C14)C(O)(C)C,,,literal,17068380-1,en,literal,"Hopane-1alpha,11alpha,22-triol",literal,10.1248/CPB.35.4016,,
11,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q27104361,literal,Cheiropleuria bicuspis,literal,PNJBOAVCVAVRGR-UDCAXGDQSA-N,literal,CC1(CCCC2(C1CCC3(C2CCC4C3(CCC5C4(CCC5C(C)(C)O)C)C)C)C)C,literal,1721-59-1,literal,17068380-1,en,literal,hopan-22-ol,literal,10.1248/CPB.38.2130,literal,CHEMBL2448591
12,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q104251263,literal,Cheiropleuria bicuspis,literal,MMNYKQIDRZNIKT-VSADUBDNSA-N,literal,OC1CCC2(C3=C(CCC2C1C)C4(C)CCC(C(C)CCC(=C)C(C)C)C4(C)CC3)C,literal,16910-32-0,literal,17068380-1,en,literal,Obtusifoliol,literal,10.1248/CPB.38.2130,,
13,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q27104266,literal,Cheiropleuria bicuspis,literal,LPZCCMIISIBREI-JXMPMKKESA-N,literal,CC=C(CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4C)O)C)C)C(C)C,literal,474-40-8,literal,17068380-1,en,literal,α1-sitosterol,literal,10.1248/CPB.38.2130,literal,CHEMBL3184315
14,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q27149866,literal,Cheiropleuria bicuspis,literal,VWYANPOOORUCFJ-YHEBVWOXSA-N,literal,CC(C)C1CCC2C1(CCC3(C2(CC=C4C3CCC5C4(CCC(C5(C)C)O)C)C)C)C,literal,4966-00-1,literal,17068380-1,en,literal,Fernenol,literal,10.1248/CPB.38.2130,,
15,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q105028659,literal,Cheiropleuria bicuspis,literal,HHXYJYBYNZMZKX-WIOJXRTNSA-N,literal,C=C(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C,,,literal,17068380-1,en,literal,"(3S,3aR,5aR,5bR,7aR,11aS,11bR,13aR,13bS)-5a,5b,8,8,11a,13b-hexamethyl-3-prop-1-en-2-yl-1,2,3,3a,4,5,6,7,7a,9,10,11,11b,12,13,13a-hexadecahydrocyclopenta[a]chrysene",literal,10.1248/CPB.38.2130,,
16,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q407560,literal,Cheiropleuria bicuspis,literal,YYGNTYWPHWGJRM-AAJYLUCBSA-N,literal,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,literal,111-02-4,literal,17068380-1,en,literal,squalene,literal,10.1248/CPB.38.2130,literal,CHEMBL458402
17,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q105312576,literal,Cheiropleuria bicuspis,literal,WTIUITBIDPOHKN-COOQEHHOSA-N,literal,OC1CC2C3(C)CCC(C3CCC2(C)C4(C)CCC5C(C)(C)CCC(O)C5(C)C14)C(O)(C)C,,,literal,17068380-1,en,literal,"(3S,3aR,5aR,5bR,7aS,11S,11aS,11bS,12R,13aR,13bS)-3-(2-hydroxypropan-2-yl)-5a,5b,8,8,11a,13b-hexamethyl-1,2,3,3a,4,5,6,7,7a,9,10,11,11b,12,13,13a-hexadecahydrocyclopenta[a]chrysene-11,12-diol",literal,10.1248/CPB.38.2130,,
18,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q104394011,literal,Cheiropleuria bicuspis,literal,JUVRJUWZCPMWHK-REQPWYKOSA-N,literal,OCC(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C,,,literal,17068380-1,en,literal,Dryocrassol,literal,10.1248/CPB.38.2130,,
19,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q82329187,literal,Cheiropleuria bicuspis,literal,WGNURPYJZZHCBQ-ZNABNZNXSA-N,literal,C12=C3CCC4C5(C)CCCC(C)(C)C5CCC4(C)C3(C)CCC1(C)C(CC2)C(C)C,literal,21681-17-4,literal,17068380-1,en,literal,hopene II,literal,10.1248/CPB.38.2130,,
20,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q15410972,literal,Cheiropleuria bicuspis,literal,OFMXGFHWLZPCFL-SVRPQWSVSA-N,literal,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,literal,559-74-0,literal,17068380-1,en,literal,friedelin,literal,10.1248/CPB.38.2130,literal,CHEMBL485998
21,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q105190331,literal,Cheiropleuria bicuspis,literal,OEKDVCVHTSEFMM-COOQEHHOSA-N,literal,OCC12C(O)CCC(C)(C)C2CCC3(C)C1C(O)CC4C5(C)CCC(C5CCC43C)C(O)(C)C,,,literal,17068380-1,en,literal,"(3S,3aR,5aR,5bR,7aS,11S,11aS,11bS,12R,13aR,13bS)-11a-(hydroxymethyl)-3-(2-hydroxypropan-2-yl)-5a,5b,8,8,13b-pentamethyl-1,2,3,3a,4,5,6,7,7a,9,10,11,11b,12,13,13a-hexadecahydrocyclopenta[a]chrysene-11,12-diol",literal,10.1248/CPB.35.4016,,
22,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q121802,literal,Cheiropleuria bicuspis,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,19044-06-5,literal,17068380-1,en,literal,beta-sitosterol,literal,10.1248/CPB.38.2130,,
23,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q105211973,literal,Cheiropleuria bicuspis,literal,PNJBOAVCVAVRGR-DZSFYNERSA-N,literal,OC(C)(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C,,,literal,17068380-1,en,literal,"2-[(3S,3aR,5aR,5bR,7aR,11aS,11bR,13aR,13bS)-5a,5b,8,8,11a,13b-hexamethyl-1,2,3,3a,4,5,6,7,7a,9,10,11,11b,12,13,13a-hexadecahydrocyclopenta[a]chrysen-3-yl]propan-2-ol",literal,10.1248/CPB.38.2130,,
24,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q2756479,literal,Cheiropleuria bicuspis,literal,SGNBVLSWZMBQTH-PODYLUTMSA-N,literal,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,literal,474-62-4,literal,17068380-1,en,literal,campesterol,literal,10.1248/CPB.38.2130,literal,CHEMBL520535
25,uri,http://www.wikidata.org/entity/Q5874033,uri,http://www.wikidata.org/entity/Q104923089,literal,Cheiropleuria bicuspis,literal,BBVIIDWGPGCISJ-KRGADYIYSA-N,literal,O=C1CCC(C)(C)C2CCC3(C)C(CCC4C5(C)CCC(C5CCC43C)C(O)(C)C)C12CO,,,literal,17068380-1,en,literal,"(3S,3aS,5aR,5bR,7aS,11aS,11bS,13aR,13bS)-11a-(hydroxymethyl)-3-(2-hydroxypropan-2-yl)-5a,5b,8,8,13b-pentamethyl-2,3,3a,4,5,6,7,7a,9,10,11b,12,13,13a-tetradecahydro-1H-cyclopenta[a]chrysen-11-one",literal,10.1248/CPB.35.4016,,
26,uri,http://www.wikidata.org/entity/Q5875712,uri,http://www.wikidata.org/entity/Q104990722,literal,Dipteris conjugata,literal,DWSHSMIESAAXBC-QQOBTVJVSA-N,literal,O=C(O)C1(CO)CCCC2(C)C1CCC34CC(CCC32)C(O)(CO)C4,,,,,en,literal,"(1S,4S,5R,9S,10R,13R,14S)-14-hydroxy-5,14-bis(hydroxymethyl)-9-methyltetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",literal,10.1248/CPB.33.152,,
