,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q105131781,literal,Gastrodia elata,literal,JMZZLVBQLUTYJA-UHFFFAOYSA-N,literal,OC1=CC=C(C=C1)COC2=CC=C(C=C2)COC,literal,635522-1,en,literal,4-[4-(methoxymethyl)phenoxymethyl]phenol,literal,10.1002/HLCA.201000425,,,,
1,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q105131781,literal,Gastrodia elata,literal,JMZZLVBQLUTYJA-UHFFFAOYSA-N,literal,OC1=CC=C(C=C1)COC2=CC=C(C=C2)COC,literal,635522-1,en,literal,4-[4-(methoxymethyl)phenoxymethyl]phenol,literal,10.1248/CPB.29.55,,,,
2,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q105131781,literal,Gastrodia elata,literal,JMZZLVBQLUTYJA-UHFFFAOYSA-N,literal,OC1=CC=C(C=C1)COC2=CC=C(C=C2)COC,literal,635522-1,en,literal,4-[4-(methoxymethyl)phenoxymethyl]phenol,literal,10.1007/BF02973905,,,,
3,uri,http://www.wikidata.org/entity/Q1152781,uri,http://www.wikidata.org/entity/Q1661452,literal,Calanthe discolor,literal,CRDNMYFJWFXOCH-BUHFOSPRSA-N,literal,C1=CC=C2C(=C1)C(=C3C(=O)C4=CC=CC=C4N3)C(=O)N2,literal,620844-1,en,literal,indirubin,literal,10.3987/COM-00-S(I)96,literal,479-41-4,,
4,uri,http://www.wikidata.org/entity/Q1152781,uri,http://www.wikidata.org/entity/Q1661452,literal,Calanthe discolor,literal,CRDNMYFJWFXOCH-BUHFOSPRSA-N,literal,C1=CC=C2C(=C1)C(=C3C(=O)C4=CC=CC=C4N3)C(=O)N2,literal,620844-1,en,literal,indirubin,literal,10.1248/CPB.46.886,literal,479-41-4,,
5,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q121802,literal,Gastrodia elata,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,635522-1,en,literal,beta-sitosterol,literal,10.1080/10286020290019730,literal,19044-06-5,,
6,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q121802,literal,Gastrodia elata,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,635522-1,en,literal,beta-sitosterol,literal,10.1007/BF02975302,literal,19044-06-5,,
7,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q121802,literal,Gastrodia elata,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,635522-1,en,literal,beta-sitosterol,literal,10.1055/S-2007-981619,literal,19044-06-5,,
8,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q15410900,literal,Gastrodia elata,literal,NPJICTMALKLTFW-OFUAXYCQSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,literal,635522-1,en,literal,sitogluside,literal,10.1055/S-2007-981619,literal,474-58-8,literal,CHEMBL506678
9,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q105157855,literal,Gastrodia elata,literal,LVHLVSHFDOOSSD-UHFFFAOYSA-N,literal,OC1=CC=C(C=C1)COC2=CC=C(C=C2)COC=3C=CC=CC3,literal,635522-1,en,literal,4-[4-(phenoxymethyl)phenoxymethyl]phenol,literal,10.1016/S0031-9422(02)00008-0,,,,
10,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q23905964,literal,Gastrodia elata,literal,WQZGKKKJIJFFOK-GASJEMHNSA-N,literal,C(C1C(C(C(C(O1)O)O)O)O)O,literal,635522-1,en,literal,D-glucopyranose,literal,10.1039/B103653J,literal,54-17-1,literal,CHEMBL1222250
11,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q23905964,literal,Gastrodia elata,literal,WQZGKKKJIJFFOK-GASJEMHNSA-N,literal,C(C1C(C(C(C(O1)O)O)O)O)O,literal,635522-1,en,literal,D-glucopyranose,literal,10.1093/CHROMSCI/39.6.251,literal,54-17-1,literal,CHEMBL1222250
12,uri,http://www.wikidata.org/entity/Q650760,uri,http://www.wikidata.org/entity/Q105028868,literal,Gastrodia elata,literal,HIIMSMBCINXEDY-UHFFFAOYSA-N,literal,O=C(OC)C1=C(O)C(=C(O)C(OC2=CC(=CC(O)=C2COC)C)=C1C)C,literal,635522-1,en,literal,"Methyl 2,4-dihydroxy-5-[3-hydroxy-2-(methoxymethyl)-5-methylphenoxy]-3,6-dimethylbenzoate",literal,10.1080/14786419.2024.2364238,,,,
13,uri,http://www.wikidata.org/entity/Q1152781,uri,http://www.wikidata.org/entity/Q105036504,literal,Calanthe discolor,literal,IBGZNOPZUVZSEJ-XSVWGIRKSA-N,literal,OCC1OC(OCC2OC(OC3=CNC=4C=CC=CC34)C(O)C(O)C2O)C(O)C(O)C1O,literal,620844-1,en,literal,Glucoindican,literal,10.3987/COM-00-S(I)96,,,,
14,uri,http://www.wikidata.org/entity/Q1152781,uri,http://www.wikidata.org/entity/Q105036504,literal,Calanthe discolor,literal,IBGZNOPZUVZSEJ-XSVWGIRKSA-N,literal,OCC1OC(OCC2OC(OC3=CNC=4C=CC=CC34)C(O)C(O)C2O)C(O)C(O)C1O,literal,620844-1,en,literal,Glucoindican,literal,10.1248/CPB.46.886,,,,
15,uri,http://www.wikidata.org/entity/Q13026069,uri,http://www.wikidata.org/entity/Q132745583,literal,Calanthe cardioglossa,literal,FKLAWLVOHXRCJF-UHFFFAOYSA-N,literal,OC=1C=CC2=C(C1)CCC3=C(C(O)=CC(OC)=C23)C=4C=C(C=C(OC)C4O)CCC=5C=C(O)C=C(OC)C5,literal,620802-1,en,literal,Calancardin B,literal,10.1021/ACS.JNATPROD.4C01394,,,,
16,uri,http://www.wikidata.org/entity/Q1152781,uri,http://www.wikidata.org/entity/Q104389757,literal,Calanthe discolor,literal,JNLNPCNGMHKCKO-UHFFFAOYSA-N,literal,O=C1C(=NC=2C=CC=CC21)C3=C(O)NC=4C=CC=CC43,literal,620844-1,en,literal,"2'-hydroxy-1'H-[2,3'-biindol]-3-one",literal,10.3987/COM-00-S(I)96,,,,
17,uri,http://www.wikidata.org/entity/Q1152781,uri,http://www.wikidata.org/entity/Q104389757,literal,Calanthe discolor,literal,JNLNPCNGMHKCKO-UHFFFAOYSA-N,literal,O=C1C(=NC=2C=CC=CC21)C3=C(O)NC=4C=CC=CC43,literal,620844-1,en,literal,"2'-hydroxy-1'H-[2,3'-biindol]-3-one",literal,10.1248/CPB.46.886,,,,
18,uri,http://www.wikidata.org/entity/Q13026069,uri,http://www.wikidata.org/entity/Q132745585,literal,Calanthe cardioglossa,literal,UMWBUYVUHLDHBC-UHFFFAOYSA-N,literal,OC=1C=C(OC)C=2C3=CC4=C(OC(C5=CC=C(O)C(OC)=C5)C4CO)C=C3CCC2C1,literal,620802-1,en,literal,Phochinenin G,literal,10.1021/ACS.JNATPROD.4C01394,,,,
19,uri,http://www.wikidata.org/entity/Q1152781,uri,http://www.wikidata.org/entity/Q105242794,literal,Calanthe discolor,literal,RPMOMKUYGKLDSQ-SHJINENGSA-N,literal,OCC1OC(OC2=C(SC3OC(CO)C(O)C(O)C3O)NC=4C=CC=CC24)C(O)C(O)C1O,literal,620844-1,en,literal,Calanthoside,literal,10.3987/COM-00-S(I)96,,,,
