,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105124913,literal,Phelline comosa,literal,JCKPCZAYDZJZIL-NDSDBLNTSA-N,literal,O(C=1C=C2C(=CC1OC)C34N(CCC2)CC5OC54C=CC(OC)C3)C,literal,83911-1,en,literal,"(1R,13R,15S,18R)-4,5,18-trimethoxy-14-oxa-11-azapentacyclo[9.8.0.0¹,¹⁵.0²,⁷.0¹³,¹⁵]nonadeca-2(7),3,5,16-tetraene",literal,10.1016/0031-9422(89)80243-2,literal,39024-15-2
1,uri,http://www.wikidata.org/entity/Q131849,uri,http://www.wikidata.org/entity/Q105191992,literal,Phelline,literal,OHBQZXBAGISRFS-UHFFFAOYSA-N,literal,O=C(OC)C1=NC=C2C(=C1)C34C(=CCC(OC)C3)CCN4CCC2,literal,35887-1,en,literal,"Methyl 17-methoxy-5,11-diazatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,14-tetraene-4-carboxylate",literal,10.3987/R-1984-11-2453,,
2,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105366496,literal,Phelline comosa,literal,YWEWDVPBCRELRV-DOXZYTNZSA-N,literal,OC=1C=C2C(=CC1OC)C34N(CCC2)CCC4C=CC(OC)C3,literal,83911-1,en,literal,"(1S,14R,17R)-4,17-dimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,15-tetraen-5-ol",literal,10.3987/COM-89-S91,,
3,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q104394267,literal,Phelline comosa,literal,YZJPWFYBIUFKSD-XOBRGWDASA-N,literal,OC=1C=C2C(=C(OC)C1OC)CCCN3CCC4=CCC(OC)CC243,literal,83911-1,en,literal,Holidinine,literal,10.1016/0031-9422(89)80243-2,,
4,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q104394265,literal,Phelline comosa,literal,PMBXAKHNZRLXJE-DOXZYTNZSA-N,literal,O1C=2C=C3C(=CC2OC1)C45N(CCC3)CCC5C=CC(OC)C4,literal,83911-1,en,literal,Comosine,literal,10.1016/0031-9422(89)80243-2,,
5,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105299672,literal,Phelline comosa,literal,VZCXOCQQSFKKFK-JGNHQEBTSA-N,literal,O1C=2C=C3C(=CC2OC1)C45N(CCC3)CCC65OC6CC(OC)C4,literal,83911-1,en,literal,"(1R,17S,19R,21R)-21-methoxy-5,7,18-trioxa-14-azahexacyclo[12.8.0.01,17.02,10.04,8.017,19]docosa-2,4(8),9-triene",literal,10.3987/COM-89-S91,,
6,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105197015,literal,Phelline comosa,literal,OQMVSCHTEYJJII-DJJJIMSYSA-N,literal,OC=1C=C2C(=C(OC)C1OC)CCCN3CCC4=CCC(O)CC243,literal,83911-1,en,literal,"(1S,17S)-5,6-dimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,14-tetraene-4,17-diol",literal,10.3987/COM-89-S91,,
7,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q104394768,literal,Phelline comosa,literal,SBKWDDFZATZPLR-KXBFYZLASA-N,literal,O1C=2C=C3C(=CC2OC1)C45C(=CCC(OC)C4)CCN5CCC3,literal,83911-1,en,literal,3-Epi-schelhammericine,literal,10.1016/0031-9422(91)83245-G,,
8,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105203750,literal,Phelline comosa,literal,OZFOQVKOZMCPCX-XOBRGWDASA-N,literal,OC1CC=C2CCN3CCCC4=C(OC)C(OC)=C(OC)C=C4C23C1,literal,83911-1,en,literal,"(1S,17S)-4,5,6-trimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,14-tetraen-17-ol",literal,10.1016/0031-9422(89)80243-2,,
9,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105203750,literal,Phelline comosa,literal,OZFOQVKOZMCPCX-XOBRGWDASA-N,literal,OC1CC=C2CCN3CCCC4=C(OC)C(OC)=C(OC)C=C4C23C1,literal,83911-1,en,literal,"(1S,17S)-4,5,6-trimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,14-tetraen-17-ol",literal,10.3987/COM-89-S91,,
10,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105361145,literal,Phelline comosa,literal,YSXGOANLKPZAEC-NUATZEMDSA-N,literal,O(C=1C=C2C(=C(OC)C1OC)CCCN3CCC45OC5CC(OC)CC234)C,literal,83911-1,en,literal,"(1R,14S,16R,18R)-4,5,6,18-tetramethoxy-15-oxa-11-azapentacyclo[9.8.0.01,14.02,7.014,16]nonadeca-2,4,6-triene",literal,10.1016/0031-9422(89)80243-2,,
11,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105211381,literal,Phelline comosa,literal,PMBXAKHNZRLXJE-VCBZYWHSSA-N,literal,O1C=2C=C3C(=CC2OC1)C45N(CCC3)CCC5C=CC(OC)C4,literal,83911-1,en,literal,"(1S,17S,20R)-20-methoxy-5,7-dioxa-14-azapentacyclo[12.7.0.01,17.02,10.04,8]henicosa-2,4(8),9,18-tetraene",literal,10.1016/0031-9422(89)80243-2,,
12,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105370628,literal,Phelline comosa,literal,ZBIQTIQJLXNQFZ-DBVUQKKJSA-N,literal,OC1C=C2CCN3CCCC4=CC(OC)=C(OC)C=C4C23CC1OC,literal,83911-1,en,literal,"(1S,16S,17R)-4,5,17-trimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,14-tetraen-16-ol",literal,10.1016/0031-9422(89)80243-2,,
13,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105002748,literal,Phelline comosa,literal,FVUHYPPMCFHNQC-JGNHQEBTSA-N,literal,OC=1C=C2C(=CC1OC)CCCN3CC4OC54C=CC(OC)CC235,literal,83911-1,en,literal,"(1R,13R,15S,18R)-5,18-dimethoxy-14-oxa-11-azapentacyclo[9.8.0.01,15.02,7.013,15]nonadeca-2,4,6,16-tetraen-4-ol",literal,10.1016/0031-9422(89)80243-2,,
14,uri,http://www.wikidata.org/entity/Q131849,uri,http://www.wikidata.org/entity/Q104394267,literal,Phelline,literal,YZJPWFYBIUFKSD-XOBRGWDASA-N,literal,OC=1C=C2C(=C(OC)C1OC)CCCN3CCC4=CCC(OC)CC243,literal,35887-1,en,literal,Holidinine,literal,10.3987/R-1984-11-2453,,
15,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105216492,literal,Phelline comosa,literal,PYALCEAKVDDQAX-JGNHQEBTSA-N,literal,OC=1C=C2C(=CC1OC)C34N(CCC2)CC5OC54C=CC(OC)C3,literal,83911-1,en,literal,"(1R,13R,15S,18R)-4,18-dimethoxy-14-oxa-11-azapentacyclo[9.8.0.01,15.02,7.013,15]nonadeca-2,4,6,16-tetraen-5-ol",literal,10.1016/0031-9422(89)80243-2,,
16,uri,http://www.wikidata.org/entity/Q131849,uri,http://www.wikidata.org/entity/Q104396382,literal,Phelline,literal,RGJYHDWYZZGGRV-UHFFFAOYSA-N,literal,OC=1C=C2C(=CC1OC)CCCN3CCC4C=CC(OC)CC234,literal,35887-1,en,literal,"5,17-Dimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,15-tetraen-4-ol",literal,10.3987/R-1984-11-2453,,
17,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q104961133,literal,Phelline comosa,literal,CJHFSZXLNCTEGR-VPWXQRGCSA-N,literal,OC1C=C2CCN3CCCC4=C(OC)C=5OCOC5C=C4C23CC1OC,literal,83911-1,en,literal,"(1S,19S,20R)-9,20-dimethoxy-5,7-dioxa-14-azapentacyclo[12.7.0.01,17.02,10.04,8]henicosa-2,4(8),9,17-tetraen-19-ol",literal,10.1016/0031-9422(91)83245-G,,
18,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105259929,literal,Phelline comosa,literal,SSUDSSITGZKVST-XKQJLSEDSA-N,literal,O=C1OC2(C(=C1)C34C(=CCC(OC)C3)CCN4CCC2)CO,literal,83911-1,en,literal,Isophellibilidine,literal,10.1016/S0040-4039(01)92905-3,,
19,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105235918,literal,Phelline comosa,literal,RGJYHDWYZZGGRV-DOXZYTNZSA-N,literal,OC=1C=C2C(=CC1OC)CCCN3CCC4C=CC(OC)CC234,literal,83911-1,en,literal,"(1S,14R,17R)-5,17-dimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,15-tetraen-4-ol",literal,10.3987/COM-89-S91,,
20,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105002523,literal,Phelline comosa,literal,FVKSQSNYASVPRU-CDXJDZJCSA-N,literal,OC1C=C2CCN3CCCC4=C(OC)C(OC)=C(OC)C=C4C23CC1OC,literal,83911-1,en,literal,"(1S,16S,17R)-4,5,6,17-tetramethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,14-tetraen-16-ol",literal,10.1016/0031-9422(91)83245-G,,
21,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105118578,literal,Phelline comosa,literal,IQTNCJCFHRUENC-DAYGRLMNSA-N,literal,OC1C=C2CCN3CCCC4=CC=5OCOC5C=C4C23CC1O,literal,83911-1,en,literal,"(1S,19S,20R)-5,7-dioxa-14-azapentacyclo[12.7.0.01,17.02,10.04,8]henicosa-2,4(8),9,17-tetraene-19,20-diol",literal,10.3987/COM-89-S91,,
22,uri,http://www.wikidata.org/entity/Q131849,uri,http://www.wikidata.org/entity/Q104394768,literal,Phelline,literal,SBKWDDFZATZPLR-KXBFYZLASA-N,literal,O1C=2C=C3C(=CC2OC1)C45C(=CCC(OC)C4)CCN5CCC3,literal,35887-1,en,literal,3-Epi-schelhammericine,literal,10.3987/R-1984-11-2453,,
23,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q104394266,literal,Phelline comosa,literal,RDCFGNICVFXARK-BTYIYWSLSA-N,literal,O(C=1C=C2C(=C(OC)C1OC)CCCN3CCC4=CCC(OC)CC243)C,literal,83911-1,en,literal,Comosivine,literal,10.1016/0031-9422(89)80243-2,,
24,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105253232,literal,Phelline comosa,literal,SHVRFOWFYOQGOV-GUXCAODWSA-N,literal,O(C=1C=C2C(=CC1OC)C34N(CCC2)CCC4C=CC(OC)C3)C,literal,83911-1,en,literal,"(1S,14S,17R)-4,5,17-trimethoxy-11-azatetracyclo[9.7.0.01,14.02,7]octadeca-2,4,6,15-tetraene",literal,10.1016/0031-9422(89)80243-2,,
25,uri,http://www.wikidata.org/entity/Q17480177,uri,http://www.wikidata.org/entity/Q105156718,literal,Phelline comosa,literal,LSQOVJGQMIXMIE-FCRVUTKVSA-N,literal,OC1CC2OC32CCN4CCCC5=CC=6OCOC6C=C5C43C1,literal,83911-1,en,literal,"(1R,17S,19R,21R)-5,7,18-trioxa-14-azahexacyclo[12.8.0.01,17.02,10.04,8.017,19]docosa-2,4(8),9-trien-21-ol",literal,10.3987/COM-89-S91,,
