,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q3008075,uri,http://www.wikidata.org/entity/Q104396450,literal,Cyathea lepifera,literal,DCBAVUVLEYSTPU-LMDOITEXSA-N,literal,O=C(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C,literal,17243930-1,en,literal,Adiantone,literal,10.1248/CPB.43.1849,,,,
1,uri,http://www.wikidata.org/entity/Q738235,uri,http://www.wikidata.org/entity/Q105285476,literal,Cyathea australis,literal,VFOHPKBOIYTDJT-CCGADRJDSA-N,literal,O=C(O)C1C2C3(OC(=O)C2(C)C(O)CC3)C4CC(O)C5C(=C)CC14C5,literal,17312430-1,en,literal,Gibberellin A58,literal,10.1104/PP.78.4.899,literal,77288-90-5,,
2,uri,http://www.wikidata.org/entity/Q24852183,uri,http://www.wikidata.org/entity/Q27108407,literal,Alsophila spinulosa,literal,BFNSRKHIVITRJP-VJBYBJRLSA-N,literal,CC1(CCCC2(C1CCC3(C2CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C)C,literal,17533090-1,en,literal,tetrahymanol,literal,10.1248/CPB.42.228,literal,2130-17-8,literal,CHEMBL485801
3,uri,http://www.wikidata.org/entity/Q3008075,uri,http://www.wikidata.org/entity/Q209727,literal,Cyathea lepifera,literal,IPCSVZSSVZVIGE-UHFFFAOYSA-N,literal,CCCCCCCCCCCCCCCC(=O)O,literal,17243930-1,en,literal,palmitic acid,literal,10.1248/CPB.43.1849,literal,57-10-3,literal,CHEMBL82293
4,uri,http://www.wikidata.org/entity/Q24852183,uri,http://www.wikidata.org/entity/Q14124950,literal,Alsophila spinulosa,literal,HHXYJYBYNZMZKX-PYQRSULMSA-N,literal,CC(=C)C1CCC2(C1CCC3(C2CCC4C3(CCC5C4(CCCC5(C)C)C)C)C)C,literal,17533090-1,en,literal,hop-22(29)-ene,literal,10.1248/CPB.42.228,literal,1615-91-4,literal,CHEMBL455613
5,uri,http://www.wikidata.org/entity/Q24852183,uri,http://www.wikidata.org/entity/Q14124950,literal,Alsophila spinulosa,literal,HHXYJYBYNZMZKX-PYQRSULMSA-N,literal,CC(=C)C1CCC2(C1CCC3(C2CCC4C3(CCC5C4(CCCC5(C)C)C)C)C)C,literal,17533090-1,en,literal,hop-22(29)-ene,literal,10.3109/14756369409040777,literal,1615-91-4,literal,CHEMBL455613
6,uri,http://www.wikidata.org/entity/Q3008075,uri,http://www.wikidata.org/entity/Q27104361,literal,Cyathea lepifera,literal,PNJBOAVCVAVRGR-UDCAXGDQSA-N,literal,CC1(CCCC2(C1CCC3(C2CCC4C3(CCC5C4(CCC5C(C)(C)O)C)C)C)C)C,literal,17243930-1,en,literal,hopan-22-ol,literal,10.1248/CPB.43.1849,literal,1721-59-1,literal,CHEMBL2448591
7,uri,http://www.wikidata.org/entity/Q738235,uri,http://www.wikidata.org/entity/Q105187557,literal,Cyathea australis,literal,NYLKJADFYRJQOI-DMQYUYNFSA-N,literal,O=C(O)C1C2C3(OC(=O)C2(C)C(O)CC3)C4C(O)CC5C(=C)CC14C5,literal,17312430-1,en,literal,"(1S,2S,3S,5S,8R,9S,10R,11S,12S)-3,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid",literal,10.1104/PP.78.4.899,,,,
8,uri,http://www.wikidata.org/entity/Q38228758,uri,http://www.wikidata.org/entity/Q110185752,literal,Alsophila lepifera,literal,ZLHFFPYMVLDFQL-GNAPXYKDSA-N,literal,O=C1C=C2C(CCC3C2(C)CCCC3(C)C)C4(C)CCC5(C)C(CCC5C14C)C(C)C,literal,17017480-1,en,literal,Fern-9(11)-en-12-one,literal,10.1248/CPB.43.1849,,,,
9,uri,http://www.wikidata.org/entity/Q15251493,uri,http://www.wikidata.org/entity/Q104953061,literal,Cyathea hancockii,literal,CCBSGQDAQUZKPI-OEOGJYLISA-N,literal,O=C1C(O)=C(OC2=CC(OC3OCC(O)C(O)C3O)=CC(O)=C12)C=4C=CC(O)=CC4,literal,17243730-1,en,literal,"3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(2R,3S,4R,5R)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one",literal,10.1007/BF02491247,,,,
10,uri,http://www.wikidata.org/entity/Q24852183,uri,http://www.wikidata.org/entity/Q27104361,literal,Alsophila spinulosa,literal,PNJBOAVCVAVRGR-UDCAXGDQSA-N,literal,CC1(CCCC2(C1CCC3(C2CCC4C3(CCC5C4(CCC5C(C)(C)O)C)C)C)C)C,literal,17533090-1,en,literal,hopan-22-ol,literal,10.1248/CPB.42.228,literal,1721-59-1,literal,CHEMBL2448591
