,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI
0,uri,http://www.wikidata.org/entity/Q13852044,uri,http://www.wikidata.org/entity/Q104391238,literal,Campynema lineare,literal,NKCXUXCXXINIMN-LITNSJRUSA-N,literal,OC1=CC(C#CCC=CC2=CC=C(OC3OC(CO)C(O)C(O)C3O)C(O)=C2)=CC=C1OC4OC(CO)C(O)C(O)C4O,literal,63568-1,en,literal,Hypoxoside,literal,10.1016/0021-9673(92)80321-K
1,uri,http://www.wikidata.org/entity/Q13852044,uri,http://www.wikidata.org/entity/Q105099876,literal,Campynema lineare,literal,AROSPRRPXMWTNY-ZZXKWVIFSA-N,literal,OCC1OC(OC2=CC=C(C=C2)C=CC(C=C)C3=CC=C(OC4OC(CO)C(O)C(O)C4O)C=C3)C(O)C(O)C1O,literal,63568-1,en,literal,"2-(hydroxymethyl)-6-[4-[(1E)-3-[4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]penta-1,4-dienyl]phenoxy]oxane-3,4,5-triol",literal,10.1016/0021-9673(92)80321-K
2,uri,http://www.wikidata.org/entity/Q13852044,uri,http://www.wikidata.org/entity/Q104391239,literal,Campynema lineare,literal,AROSPRRPXMWTNY-UTCJRWHESA-N,literal,OCC1OC(OC2=CC=C(C=C2)C=CC(C=C)C3=CC=C(OC4OC(CO)C(O)C(O)C4O)C=C3)C(O)C(O)C1O,literal,63568-1,en,literal,Nyasoside,literal,10.1016/0021-9673(92)80321-K
3,uri,http://www.wikidata.org/entity/Q13852044,uri,http://www.wikidata.org/entity/Q105180463,literal,Campynema lineare,literal,NKCXUXCXXINIMN-DBMAEGAXSA-N,literal,OC1=CC(C#CCC=CC2=CC=C(OC3OC(CO)C(O)C(O)C3O)C(O)=C2)=CC=C1OC4OC(CO)C(O)C(O)C4O,literal,63568-1,en,literal,"1,5-Bis(4'-glucopyranosyloxy-3'-hydroxyphenyl)pent-4-en-1-yne",literal,10.1016/0021-9673(92)80321-K
