,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.type,structureLabel,refDOI.type,refDOI,ipniID.type,ipniID,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
10,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q27106367,literal,Balanites aegyptiacus,literal,OLAMGHNQGZIWHZ-YIKYYZBWSA-N,literal,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,literal,Deltonin,literal,10.1016/S0031-9422(00)84687-7,,,en,literal,55659-75-1,literal,CHEMBL2207416
11,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105213530,literal,Balanites aegyptiaca,literal,PQXMAIQZWIOGJJ-FDCADYMZSA-N,literal,OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC9(OCC(C)CC9)C(C)C87)C5(C)CC4)OC2CO)C(O)C(OC%10OC(C)C(O)C(O)C%10O)C1O,literal,Balanitin 5,literal,10.1021/NP50078A002,literal,813589-1,en,,,,
12,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105193869,literal,Balanites aegyptiaca,literal,OLAMGHNQGZIWHZ-UHFFFAOYSA-N,literal,OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC9(OCC(C)CC9)C(C)C87)C5(C)CC4)OC2CO)C(O)C(O)C1O,literal,Trilloside A,literal,10.1016/J.PHYTOL.2010.11.004,literal,813589-1,en,,,,
13,uri,http://www.wikidata.org/entity/Q2880538,uri,http://www.wikidata.org/entity/Q415612,literal,Balanites wilsoniana,literal,DOIRQSBPFJWKBE-UHFFFAOYSA-N,literal,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,literal,dibutyl phthalate,literal,10.1016/0031-9422(73)80028-7,literal,873126-1,en,literal,84-74-2,literal,CHEMBL272485
14,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q105232351,literal,Balanites aegyptiacus,literal,QZSVZGSMQMMOAO-FJFPYYQCSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(OC9OC(COC%10OCC(O)C(O)C%10O)C(O)C(O)C9O)C1O,literal,Q105232351,literal,10.1016/0040-4020(82)80095-1,,,,,,,
15,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q27102643,literal,Balanites aegyptiaca,literal,NPNNKDMSXVRADT-WEVVVXLNSA-N,literal,COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,literal,(E)-N-feruloyltyramine,literal,10.1016/S0367-326X(99)00149-5,literal,813589-1,en,literal,65646-26-6,literal,CHEMBL206555
16,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q110187451,literal,Balanites aegyptiacus,literal,DHEBGTQGALZORI-SVEVFTHBSA-N,literal,OC(C)C1C(O)CC2C3CC=C4CC(OC5OC(COC6OC(C)C(O)C(O)C6O)C(O)C(O)C5OC7OC(C)C(O)C(O)C7O)CCC4(C)C3CCC21C,literal,Balagyptin,literal,10.1016/0031-9422(95)00551-H,,,en,,,,
17,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105031625,literal,Balanites aegyptiaca,literal,HPAZMTUJBDFPDN-WVKUCCCPSA-N,literal,OCC1OC(OCC(C)CCC2(O)OC3CC4C5CC=C6CC(OC7OCC(O)C(O)C7OC8OCC(OC9OC(C)C(O)C(O)C9OC%10OC(C)C(O)C(O)C%10O)C(O)C8OC%11OCC(O)C(O)C%11O)CCC6(C)C5CCC4(C)C3C2C)C(O)C(O)C1O,literal,Q105031625,literal,10.1016/S0031-9422(97)01015-7,literal,813589-1,,,,,
18,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104249731,literal,Balanites aegyptiacus,literal,FXOMQOAAJCQQCO-SOLCLNKMSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC3CC4=CCC5C(CCC6(C)C5CC7OC8(OCC(C)CC8)C(C)C76)C4(C)CC3)OC2CO)C(OC9OC(C)C(O)C(O)C9O)C(O)C1O,literal,Balanitin 3,literal,10.1021/NP50019A002,,,en,,,,
19,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104249731,literal,Balanites aegyptiacus,literal,FXOMQOAAJCQQCO-SOLCLNKMSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC3CC4=CCC5C(CCC6(C)C5CC7OC8(OCC(C)CC8)C(C)C76)C4(C)CC3)OC2CO)C(OC9OC(C)C(O)C(O)C9O)C(O)C1O,literal,Balanitin 3,literal,10.1016/0040-4020(82)80095-1,,,en,,,,
20,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104249731,literal,Balanites aegyptiacus,literal,FXOMQOAAJCQQCO-SOLCLNKMSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC3CC4=CCC5C(CCC6(C)C5CC7OC8(OCC(C)CC8)C(C)C76)C4(C)CC3)OC2CO)C(OC9OC(C)C(O)C(O)C9O)C(O)C1O,literal,Balanitin 3,literal,10.1016/0031-9422(92)83728-H,,,en,,,,
21,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104667793,literal,Balanites aegyptiacus,literal,NJZWMDVWKHXLNQ-SKBFOVBNSA-N,literal,OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC(OC)(CCC(C)COC9OC(OC)C(O)C(O)C9O)C(C)C87)C5(C)CC4)OC2CO)C(O)C(OC%10OCC(O)C(O)C%10O)C1O,literal,Q104667793,literal,10.1002/1522-2675(200204)85:4<1019::AID-HLCA1019>3.0.CO;2-S,,,,,,,
22,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q105167418,literal,Balanites aegyptiacus,literal,MMAFNNBLJJXUCU-PIZSPIDASA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC(O)C5C(O)C)C3(C)CC2)C(O)C(O)C1O,literal,"(2R,3R,4S,5S,6R)-2-[[(3S,8S,9S,10R,13S,14S,16S,17S)-16-hydroxy-17-[(1S)-1-hydroxyethyl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1016/0031-9422(95)00551-H,,,en,,,,
23,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q105329103,literal,Balanites aegyptiacus,literal,XJOTXMLDNWCDRH-HAUZKCKMSA-N,literal,OCC1OC(OC2C(O)C(OC(CO)C2O)OC3C(O)C(OC4OC(C)C(O)C(O)C4O)C(OC5CC6=CCC7C(CCC8(C)C7CC9OC%10(OCC(C)CC%10)C(C)C98)C6(C)CC5)OC3CO)C(O)C(O)C1O,literal,Zingiberen newsaponin,literal,10.1016/S0031-9422(00)84687-7,,,en,,,,
24,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q27106368,literal,Balanites aegyptiacus,literal,RPYHJEFMMXMMHG-AATSBFCISA-N,literal,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O,literal,Deltoside,literal,10.1016/S0031-9422(00)84687-7,,,en,literal,62751-68-2,literal,CHEMBL2228355
25,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105329112,literal,Balanites aegyptiaca,literal,XJOTXMLDNWCDRH-YQTWOTKZSA-N,literal,OCC1OC(OC2C(O)C(OC(CO)C2O)OC3C(O)C(OC4OC(C)C(O)C(O)C4O)C(OC5CC6=CCC7C(CCC8(C)C7CC9OC%10(OCC(C)CC%10)C(C)C98)C6(C)CC5)OC3CO)C(O)C(O)C1O,literal,Balanitin 4,literal,10.1021/NP50078A002,literal,813589-1,en,,,,
26,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105183185,literal,Balanites aegyptiaca,literal,NPNNKDMSXVRADT-UHFFFAOYSA-N,literal,COc1cc(C=CC(=O)NCCc2ccc(O)cc2)ccc1O,literal,N-feruloyltyramine; Moupinamide,literal,10.1016/S0367-326X(99)00149-5,literal,813589-1,en,literal,65646-26-6,,
27,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q104251609,literal,Balanites aegyptiaca,literal,NPNNKDMSXVRADT-UITAMQMPSA-N,literal,COc1cc(C=CC(=O)NCCc2ccc(O)cc2)ccc1O,literal,n-cis-Feruloyltyramine,literal,10.1016/S0367-326X(99)00149-5,literal,813589-1,en,literal,80510-09-4,,
28,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105349212,literal,Balanites aegyptiaca,literal,YJEQJHRHYMPDHN-LIOATHCXSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC2CO)OC3C(O)C(O)C(OC3C)OC4C(O)C(O)C(O)OC4C)C(O)C(O)C1O,literal,Glc(b1-4)Gal(b1-4)Rha(a1-4)a-Rha,literal,10.1002/CHIN.200651201,literal,813589-1,en,,,,
