,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105351611,literal,Physena madagascariensis,literal,YOZREUUANSRXNA-DLJNMMGCSA-N,literal,O=C1C(O)=CC2(C(=C1C)CCC3(C)C2CC=C4C5CC(C)(C)CCC5C(=O)C(O)C43C)C,literal,675611-1,en,literal,remangilone A,literal,10.1021/NP9805140,,
1,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105248420,literal,Physena madagascariensis,literal,RZJRSJIUNPKJLS-UHFFFAOYSA-N,literal,O=C1C(O)=CC2(C(=C1C)CCC3(C)C2CC=C4C5CC(C)(C)CCC5C(=O)CC43C)C,literal,675611-1,en,literal,"2-Hydroxy-4,6a,6b,11,11,14b-hexamethyl-5,6,7,8a,9,10,12,12a,14,14a-decahydropicene-3,8-dione",literal,10.1021/NP000054M,,
2,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105249301,literal,Physena sessiliflora,literal,SBBJLVYIYDCBPA-DSKQQXHDSA-N,literal,O=C(OC1COC(OC(=O)C23CCC(C)(C)CC3C4=CCC5C6(C)CC(O)C(OC7OC(CO)C(O)C(O)C7O)C(C)(CO)C6CCC5(C)C4(C)CC2)C(OC8OC(C)C(OC9OCC(O)C(O)C9O)C(O)C8O)C1OC%10OCC(O)(CO)C%10O)CCCCCCCC(=O)CCCCCCCOC%11OCC(O)C(O)C%11O,literal,675612-1,,literal,Q105249301,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
3,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105008198,literal,Physena sessiliflora,literal,GGMOLGUHTRLXCA-CPGOUPBDSA-N,literal,O=C(O)C1(C)C(OC2OC(CO)C(O)C(O)C2O)C(O)CC3(C)C4CC=C5C6CC(C)(C)CCC6(C(=O)OC7OCC(OC(=O)CCCCCCC(=O)CCCCCCCCOC8OCC(O)C(O)C8O)C(OC9OC(CO)C(O)C9O)C7OC%10OC(C)C(OC%11OCC(O)C(O)C%11O)C(O)C%10O)CCC5(C)C4(C)CCC13,literal,675612-1,en,literal,Physenoside S7,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
4,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105248419,literal,Physena madagascariensis,literal,RZJRSJIUNPKJLS-OHMIHJOMSA-N,literal,O=C1C(O)=CC2(C(=C1C)CCC3(C)C2CC=C4C5CC(C)(C)CCC5C(=O)CC43C)C,literal,675611-1,en,literal,"(6aR,6bS,8aS,12aR,14aS,14bR)-2-hydroxy-4,6a,6b,11,11,14b-hexamethyl-5,6,7,8a,9,10,12,12a,14,14a-decahydropicene-3,8-dione",literal,10.1021/NP9805140,,
5,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105272481,literal,Physena sessiliflora,literal,UGOSANBTGKQQPL-VFLZQLDFSA-N,literal,O=C(OC1COC(OC(=O)C23CCC(C)(C)CC3C4=CCC5C6(C)CC(O)C(OC7OC(CO)C(O)C(O)C7O)C(C)(CO)C6CCC5(C)C4(C)CC2)C(OC8OC(C)C(OC9OCC(O)C(O)C9O)C(O)C8O)C1OC%10OCC(O)(CO)C%10O)CCCCCCC(=O)CCCCCCCCOC%11OCC(O)C(O)C%11O,literal,675612-1,en,literal,Physenoside S5,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
6,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105283890,literal,Physena sessiliflora,literal,VCQKLYXPPYUQTG-GJEFTBCESA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)(CO)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(O)C3O)C56CCC(C)(C)CC6C7=CCC8C9(C)CC(O)C(OC%10OC(CO)C(O)C(O)C%10O)C(C)(CO)C9CCC8(C)C7(C)CC5,literal,675612-1,en,literal,Physenoside S2,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
7,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q105226106,literal,Physena madagascariensis,literal,QQWIUBKPPNCYMY-UHFFFAOYSA-N,literal,O=C1C(O)=C(C)C2CCC3(C)C(CC=C4C5CC(C)(C)CCC5C(=O)C(O)C43C)C2(C)C1,literal,675611-1,en,literal,"3,7-Dihydroxy-4,6a,6b,11,11,14b-hexamethyl-1,4a,5,6,7,8a,9,10,12,12a,14,14a-dodecahydropicene-2,8-dione",literal,10.1021/NP000054M,,
8,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105347534,literal,Physena sessiliflora,literal,YFDMVBRIHAEULM-BISXXEPXSA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(O)C3O)C56CCC(C)(C)CC6C7=CCC8C9(C)CC(O)C(OC%10OC(CO)C(O)C(O)C%10O)C(C)(CO)C9CCC8(C)C7(C)CC5,literal,675612-1,en,literal,Physenoside S1,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
9,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105307832,literal,Physena sessiliflora,literal,WKZWEJVRTAWADR-XUBGJZIQSA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(OC5OC(C)C(O)C(O)C5O)C3O)C67CCC(C)(C)CC7C8=CCC9C%10(C)CC(O)C(OC%11OC(CO)C(O)C(O)C%11O)C(C)(CO)C%10CCC9(C)C8(C)CC6,literal,675612-1,en,literal,Physenoside S3,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
10,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q27134840,literal,Physena madagascariensis,literal,CBIZXZGHIBJYRA-CMJOXMDJSA-N,literal,CC(=C)CCC(CC1=C(C=C(C2=C1OC(CC2=O)C3=C(C=C(C=C3)O)O)O)O)C(=C)C,literal,675611-1,en,literal,remangiflavanone B,literal,10.1021/NP000054M,literal,CHEMBL464195
11,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105249302,literal,Physena sessiliflora,literal,SBBJLVYIYDCBPA-VFLZQLDFSA-N,literal,O=C(OC1COC(OC(=O)C23CCC(C)(C)CC3C4=CCC5C6(C)CC(O)C(OC7OC(CO)C(O)C(O)C7O)C(C)(CO)C6CCC5(C)C4(C)CC2)C(OC8OC(C)C(OC9OCC(O)C(O)C9O)C(O)C8O)C1OC%10OCC(O)(CO)C%10O)CCCCCCCC(=O)CCCCCCCOC%11OCC(O)C(O)C%11O,literal,675612-1,en,literal,Physenoside S6,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
12,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105310114,literal,Physena sessiliflora,literal,WPPNPXSQQCVEIA-ZQGAQOASSA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(OC5OC(C)C(O)C(O)C5O)C3O)C67CCC(C)(C)CC7C8=CCC9C%10(C)CC(O)C(OC%11OC(COC%12OC(CO)C(O)C(O)C%12O)C(O)C(O)C%11O)C(C)(CO)C%10CCC9(C)C8(C)CC6,literal,675612-1,,literal,Q105310114,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
13,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q27134839,literal,Physena madagascariensis,literal,NPTHXJUVZWZDJB-HXOBKFHXSA-N,literal,CC(=C)CCC(CC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)O)O)C(=C)C,literal,675611-1,en,literal,remangiflavanone A,literal,10.1021/NP000054M,literal,CHEMBL517168
14,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q104957566,literal,Physena madagascariensis,literal,CGEOZWUGXDNDNB-QGZVFWFLSA-N,literal,O=C1C=C(OC=2C1=C(O)C=C(O)C2CC(C(=C)C)CCC(=C)C)C=3C=CC(O)=CC3,literal,675611-1,en,literal,Remangiflavone A,literal,10.1515/ZNB-2001-1017,,
15,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105347535,literal,Physena sessiliflora,literal,YFDMVBRIHAEULM-DIIHDOPISA-N,literal,O=C(OC1OCC(O)C(OC2OCC(O)C(O)C2O)C1OC3OC(C)C(OC4OCC(O)C(O)C4O)C(O)C3O)C56CCC(C)(C)CC6C7=CCC8C9(C)CC(O)C(OC%10OC(CO)C(O)C(O)C%10O)C(C)(CO)C9CCC8(C)C7(C)CC5,literal,675612-1,,literal,Q105347535,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
16,uri,http://www.wikidata.org/entity/Q17243997,uri,http://www.wikidata.org/entity/Q105314763,literal,Physena sessiliflora,literal,WXMWVGUWXIVIQD-CPGOUPBDSA-N,literal,O=C(O)C1(C)C(OC2OC(CO)C(O)C(O)C2O)C(O)CC3(C)C4CC=C5C6CC(C)(C)CCC6(C(=O)OC7OCC(OC(=O)CCCCCCCC(=O)CCCCCCCOC8OCC(O)C(O)C8O)C(OC9OC(CO)C(O)C9O)C7OC%10OC(C)C(OC%11OCC(O)C(O)C%11O)C(O)C%10O)CCC5(C)C4(C)CCC13,literal,675612-1,en,literal,Physenoside S8,literal,10.1016/J.PHYTOCHEM.2009.06.002,,
17,uri,http://www.wikidata.org/entity/Q17243744,uri,http://www.wikidata.org/entity/Q104976510,literal,Physena madagascariensis,literal,DDLHISCCNYFWOT-PSSYVLGHSA-N,literal,O=C1C(O)=C(C)C2CCC3(C)C(CC=C4C5CC(C)(C)CCC5C(=O)CC43C)C2(C)C1,literal,675611-1,en,literal,Remangilone D,literal,10.1515/ZNB-2001-1017,,
