,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105139087,literal,Amphipterygium adstringens,literal,KDCSSVADTHDYGI-WDFVIKIOSA-N,literal,O=C(O)C(=CCCC(C)C1CCC2(C3=C(CCC12C)C4(C)CCC(=O)C(C)(C)C4CC3)C)C,literal,442506-1,en,literal,Isomasticadienoic acid,literal,10.1055/S-2006-962108,,,,
1,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105342549,literal,Amphipterygium adstringens,literal,XUSNORMUTPYOKW-UHFFFAOYSA-N,literal,O=C(O)C=1C(O)=CC=CC1CCCCCCCCCCCCCCCCC,literal,442506-1,en,literal,2-heptadecyl-6-hydroxybenzoic acid,literal,10.1055/S-2006-962108,literal,20261-39-6,,
2,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105342549,literal,Amphipterygium adstringens,literal,XUSNORMUTPYOKW-UHFFFAOYSA-N,literal,O=C(O)C=1C(O)=CC=CC1CCCCCCCCCCCCCCCCC,literal,442506-1,en,literal,2-heptadecyl-6-hydroxybenzoic acid,literal,10.1016/0378-8741(91)90032-9,literal,20261-39-6,,
3,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105184539,literal,Amphipterygium adstringens,literal,NRHGLEFWYOMSMY-IWLDAEENSA-N,literal,O=C(O)C(=CCCC(C)C1CCC2(C(=O)C3(CCC12C)C(O)CC4C(C(=O)CCC43C)(C)C)C)C,literal,442506-1,en,literal,"(Z,6S)-6-[(1S,2'S,3aS,3'aS,5R,7aS,7'aS)-2'-hydroxy-3a,3'a,7',7',7a-pentamethyl-4,6'-dioxospiro[2,3,6,7-tetrahydro-1H-indene-5,3'-2,4,5,7a-tetrahydro-1H-indene]-1-yl]-2-methylhept-2-enoic acid",literal,10.1016/J.PHYTOCHEM.2003.12.012,,,,
4,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105341188,literal,Amphipterygium adstringens,literal,XSQYWMLMQVUWSF-UOAUUATESA-N,literal,O=C1CCC2(C)C(CCC3(C)C2CCC4C(CCC43C)C5(OC(CC5)C(O)(C)C)C)C1(C)C,literal,442506-1,en,literal,"(5R,8R,9S,10R,13R,14R,17S)-17-[(2R,5S)-5-(2-hydroxypropan-2-yl)-2-methyloxolan-2-yl]-4,4,8,10,14-pentamethyl-1,2,5,6,7,9,11,12,13,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",literal,10.1016/J.PHYTOCHEM.2003.12.012,,,,
5,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q103815837,literal,Amphipterygium adstringens,literal,MIJYXULNPSFWEK-LGSDIRQTSA-N,literal,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,442506-1,en,literal,Oleanoic acid,literal,10.1080/14786419.2010.534996,,,,
6,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q27136594,literal,Amphipterygium adstringens,literal,MIJYXULNPSFWEK-KDQGZELNSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,literal,442506-1,en,literal,3-epioleanolic acid,literal,10.1055/S-2006-962108,literal,25499-90-5,literal,CHEMBL486382
7,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q27136594,literal,Amphipterygium adstringens,literal,MIJYXULNPSFWEK-KDQGZELNSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,literal,442506-1,en,literal,3-epioleanolic acid,literal,10.1055/S-2003-45098,literal,25499-90-5,literal,CHEMBL486382
8,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105209785,literal,Amphipterygium adstringens,literal,PIYBJKWSNAZHMU-GCGVFAGHSA-N,literal,O=C(O)C(=CCCC(C)C1CCC2(C3=CC(=O)C4C(C)(C)C(O)CCC4(C)C3CCC12C)C)C,literal,442506-1,en,literal,"(24Z)-3alpha-Hydroxy-6-oxo-7,24-tirucalladiene-26-oic acid",literal,10.1016/J.PHYTOCHEM.2003.12.012,,,,
9,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q1525050,literal,Amphipterygium adstringens,literal,YXHVCZZLWZYHSA-FPLPWBNLSA-N,literal,CCCCCCC=CCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,literal,442506-1,en,literal,ginkgoic acid,literal,10.1080/14786419.2010.534996,literal,22910-60-7,literal,CHEMBL445177
10,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q121802,literal,Amphipterygium adstringens,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,442506-1,en,literal,beta-sitosterol,literal,10.1055/S-2006-962108,literal,64997-52-0,,
11,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q121802,literal,Amphipterygium adstringens,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,442506-1,en,literal,beta-sitosterol,literal,10.1016/J.PHYTOCHEM.2003.12.012,literal,64997-52-0,,
12,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q121802,literal,Amphipterygium adstringens,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,442506-1,en,literal,beta-sitosterol,literal,10.1055/S-2003-45098,literal,64997-52-0,,
13,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105290557,literal,Amphipterygium adstringens,literal,VOYZLKWKVLYJHD-VRVYQCKBSA-N,literal,O=C(O)C(=CCCC(C)C1CCC2(C3=CCC4C(C(=O)CCC4(C)C3CCC12C)(C)C)C)C,literal,442506-1,en,literal,"3-Oxolanosta-7,24Z-dien-26-oic acid",literal,10.1016/S0378-8741(99)00047-1,,,,
14,uri,http://www.wikidata.org/entity/Q1960736,uri,http://www.wikidata.org/entity/Q105290557,literal,Amphipterygium adstringens,literal,VOYZLKWKVLYJHD-VRVYQCKBSA-N,literal,O=C(O)C(=CCCC(C)C1CCC2(C3=CCC4C(C(=O)CCC4(C)C3CCC12C)(C)C)C)C,literal,442506-1,en,literal,"3-Oxolanosta-7,24Z-dien-26-oic acid",literal,10.1016/J.PHYTOCHEM.2003.12.012,,,,
