,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q10914862,uri,http://www.wikidata.org/entity/Q104963845,literal,Gonocaryum calleryanum,literal,CLRGKEMROJWQLX-DGACILPHSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C(OC(=O)C(O)(CO)C(OC(=O)CC13)C)C,literal,434330-1,en,literal,Gonocaryoside C,literal,10.1016/0031-9422(94)00884-V,,,,
1,uri,http://www.wikidata.org/entity/Q10914862,uri,http://www.wikidata.org/entity/Q424567,literal,Gonocaryum calleryanum,literal,KZNIFHPLKGYRTM-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,literal,434330-1,en,literal,apigenin,literal,10.1016/0031-9422(94)00884-V,literal,520-36-5,literal,CHEMBL28
2,uri,http://www.wikidata.org/entity/Q15379659,uri,http://www.wikidata.org/entity/Q105032212,literal,Citronella gongonha,literal,HQEBQNGGKFIFBW-TURDRQEESA-N,literal,O=C(O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C(OC(=O)CC13)C,literal,1120991-2,en,literal,Kingisidic acid,literal,10.1016/0031-9422(93)85259-T,,,,
3,uri,http://www.wikidata.org/entity/Q15379659,uri,http://www.wikidata.org/entity/Q104392953,literal,Citronella gongonha,literal,QZCJFXSHMSZCLH-XICRDADBSA-N,literal,O=C(OC)C1=COC(OC2OC(CO)C(O)C(O)C2O)C3C(OC(=O)CC13)C,literal,1120991-2,en,literal,8-Epikingiside,literal,10.1016/0031-9422(93)85259-T,,,,
4,uri,http://www.wikidata.org/entity/Q10914862,uri,http://www.wikidata.org/entity/Q2858304,literal,Gonocaryum calleryanum,literal,KMOUJOKENFFTPU-QNDFHXLGSA-N,literal,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,literal,434330-1,en,literal,apigetrin,literal,10.1016/0031-9422(94)00884-V,literal,578-74-5,literal,CHEMBL487017
5,uri,http://www.wikidata.org/entity/Q10914862,uri,http://www.wikidata.org/entity/Q414116,literal,Gonocaryum calleryanum,literal,QAIPRVGONGVQAS-DUXPYHPUSA-N,literal,C1=CC(=C(C=C1C=CC(=O)O)O)O,literal,434330-1,en,literal,trans-caffeic acid,literal,10.1016/S0031-9422(97)00690-0,literal,331-39-5,literal,CHEMBL145
6,uri,http://www.wikidata.org/entity/Q10914862,uri,http://www.wikidata.org/entity/Q104403548,literal,Gonocaryum calleryanum,literal,RIXNFYQZWDGQAE-UHFFFAOYSA-N,literal,O=C(OC1CCC2(C)C3CC=C4C5CC(C)(C)CCC5(C(=O)O)CCC4(C)C3(C)CCC2C1(C)C)C,literal,434330-1,en,literal,"10-Acetyloxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",literal,10.1016/S0031-9422(97)00690-0,,,,
7,uri,http://www.wikidata.org/entity/Q10914862,uri,http://www.wikidata.org/entity/Q416260,literal,Gonocaryum calleryanum,literal,WCGUUGGRBIKTOS-GPOJBZKASA-N,literal,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,literal,434330-1,en,literal,ursolic acid,literal,10.1016/S0031-9422(97)00690-0,literal,77-52-1,literal,CHEMBL169
8,uri,http://www.wikidata.org/entity/Q10914862,uri,http://www.wikidata.org/entity/Q105165024,literal,Gonocaryum calleryanum,literal,MIJYXULNPSFWEK-LXLHWSNGSA-N,literal,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1,literal,434330-1,en,literal,"(4aS,6aS,6aS,6bR,8aS,10S,12aR,14bR)-10-hydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",literal,10.1016/S0031-9422(98)80075-7,,,,
9,uri,http://www.wikidata.org/entity/Q15379659,uri,http://www.wikidata.org/entity/Q104972909,literal,Citronella gongonha,literal,CZNFJYHDUOEVJW-YJTTYYMVSA-N,literal,O=C(OC1=COC(OC2OC(CO)C(O)C(O)C2O)C3C(OC(=O)CC13)C)C,literal,1120991-2,en,literal,"[(4aS,8S,8aS)-1-methyl-3-oxo-8-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,4a,8,8a-tetrahydro-1H-pyrano[3,4-c]pyran-5-yl] acetate",literal,10.1016/0031-9422(93)85259-T,,,,
