,example_compound_name,InChIKey,InChIKey_simp,SMILES,Standard_SMILES,CAS ID,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family
count,135488,135063,135063,135350,135230,134540,135488,135488,135488,128601,135488
unique,49794,48723,43866,48763,48486,49230,21675,16416,16416,14740,329
top,(-)-beta-Sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,KZJWDPNRJALLNS,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,83-46-5,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,Fabaceae
freq,571,571,581,571,571,571,1122,1124,1124,1124,15321
