,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00002374,7084-24-4,Cyanidin 3-O-glucoside,C21H21O11.Cl,484.07723923,Cynomorium coccineum,Cynomorium,KNApSAcK
1,C00002591,18423-69-3,Cubebin,C20H20O6,356.12598837,Cynomorium songaricum,Cynomorium,KNApSAcK
2,C00007204,548-29-8,Isolariciresinol,C20H24O6,360.1572885,Cynomorium songaricum,Cynomorium,KNApSAcK
3,C00029633,7372-30-7,Acetylursolic acid,C32H50O4,498.37091008,Cynomorium songaricum,Cynomorium,KNApSAcK
