,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000937,2545-00-8,Afzelechin,C15H14O5,274.08412356,Cassipourea gummiflua,Cassipourea,KNApSAcK
1,C00002041,14022-19-6,Gerrardine,C11H19NO2S4,325.02986178,Cassipourea guianensis,Cassipourea,KNApSAcK
2,C00002041,14022-19-6,Gerrardine,C11H19NO2S4,325.02986178,Cassipourea gerrardii,Cassipourea,KNApSAcK
3,C00004777,5084-19-5,Combretol,C20H20O8,388.11581762,Cassipourea madagascariensis,Cassipourea,KNApSAcK
4,C00008834,142741-31-9,Afzelechin 3-O-alpha-L-rhamnopyranoside,C21H24O9,420.14203237,Cassipourea gummiflua,Cassipourea,KNApSAcK
5,C00008834,142741-31-9,Afzelechin 3-O-alpha-L-rhamnopyranoside,C21H24O9,420.14203237,Cassipourea gerrardii,Cassipourea,KNApSAcK
6,C00009256,82796-37-0,Mahuannin B,C30H24O10,544.13694699,Cassipourea gummiflua,Cassipourea,KNApSAcK
7,C00009257,143289-81-0,"Epiafzelechin-(2beta->7,4beta->8)-ent-afzelechin",C30H24O10,544.13694699,Cassipourea gerrardii,Cassipourea,KNApSAcK
8,C00009257,143289-81-0,"Epiafzelechin-(2beta->7,4beta->8)-ent-afzelechin",C30H24O10,544.13694699,Cassipourea gummiflua,Cassipourea,KNApSAcK
9,C00009260,159346-12-0,"7-O-Methylepiafzelechin-(2beta->7,4beta->8)-epiafzelechin",C31H26O10,558.15259705,Cassipourea gummiflua,Cassipourea,KNApSAcK
10,C00025535,14051-10-6,Cassipourine,C14H22N2S4,346.06658164,Cassipourea gerrardii,Cassipourea,KNApSAcK
11,C00025535,14051-10-6,Cassipourine,C14H22N2S4,346.06658164,Cassipourea spp.,Cassipourea,KNApSAcK
12,C00025535,14051-10-6,Cassipourine,C14H22N2S4,346.06658164,Cassipourea gummiflua Tul.var.verticillata Lewis.,Cassipourea,KNApSAcK
13,C00041266,72944-06-0,3-Oxolupenol,C30H48O2,440.36543078,Cassipourea madagascariensis,Cassipourea,KNApSAcK
14,C00041422,877431-36-2,Cassipourol,C20H38O,294.29226583,Cassipourea madagascariensis,Cassipourea,KNApSAcK
15,C00041423,877431-38-4,Cassipouryl acetate,C22H40O2,336.30283052,Cassipourea madagascariensis,Cassipourea,KNApSAcK
16,C00046657,313351-09-6,Cassipoureamide A,C6H11NO3S2,209.01803469,Cassipourea guianensis,Cassipourea,KNApSAcK
17,C00046658,313351-10-9,Cassipoureamide B,C6H11NO3S3,240.99010542,Cassipourea guianensis,Cassipourea,KNApSAcK
0,C00000003,77-06-5,Gibberellin A3,C19H22O6,346.14163844,Rhizophora mucronata,Rhizophora,KNApSAcK
1,C00000005,561-56-8,Gibberellin A5,C19H22O5,330.14672381,Rhizophora mucronata,Rhizophora,KNApSAcK
2,C00000009,427-77-0,Gibberellin A9,C19H24O4,316.16745925,Rhizophora mucronata,Rhizophora,KNApSAcK
3,C00003650,469-38-5,Cycloartenol,C30H50O,426.38616622,Rhizophora stylosa,Rhizophora,KNApSAcK
4,C00007282,7200-26-2,"(S)-2,3-Epoxysqualene",C30H50O,426.38616622,Rhizophora stylosa,Rhizophora,KNApSAcK
5,C00046784,78-79-5,Isoprene,C5H8,68.06260026,Rhizophora mangle,Rhizophora,KNApSAcK
6,C00047533,1139802-04-2,Pestalotiopsone A,C19H24O5,332.16237388,Rhizophora mucronata,Rhizophora,KNApSAcK
7,C00047534,1139802-06-4,Pestalotiopsone B,C20H26O5,346.17802394,Rhizophora mucronata,Rhizophora,KNApSAcK
8,C00047535,1139802-07-5,Pestalotiopsone C,C18H22O5,318.14672381,Rhizophora mucronata,Rhizophora,KNApSAcK
9,C00047536,1139802-09-7,Pestalotiopsone D,C19H24O6,348.1572885,Rhizophora mucronata,Rhizophora,KNApSAcK
