,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00023662,23452-05-3,Alternariol monomethyl ether,C15H12O5,272.06847349,Tapiscia sinensis,Tapiscia,KNApSAcK
1,C00023663,641-38-3,Alternariol,C14H10O5,258.05282343,Tapiscia sinensis,Tapiscia,KNApSAcK
