,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000674,491-70-3,"5,7,3',4'-Tetrahydroxyflavone",C15H10O6,286.04773805,Buddleja officinalis,Buddleja,KNApSAcK
1,C00002631,21453-69-0,(+)-Lirioresinol B,C22H26O8,418.16276781,Buddleja davidii,Buddleja,KNApSAcK
2,C00002738,82854-37-3,Echinacoside,C35H46O20,786.25824391,Buddleja officinalis,Buddleja,KNApSAcK
3,C00002783,61276-17-3,Acteoside,C29H36O15,624.20542048,Buddleja globosa,Buddleja,KNApSAcK
4,C00002783,61276-17-3,Acteoside,C29H36O15,624.20542048,Buddleja officinalis,Buddleja,KNApSAcK
5,C00002783,61276-17-3,Acteoside,C29H36O15,624.20542048,Buddleja globose,Buddleja,KNApSAcK
6,C00002783,61276-17-3,Acteoside,C29H36O15,624.20542048,Buddleja cordata,Buddleja,KNApSAcK
7,C00003068,11027-63-7,Agnuside,C22H26O11,466.14751167,Buddleja crispa,Buddleja,KNApSAcK
8,C00003075,2415-24-9,Catalpol,C15H22O10,362.12129692,Buddleja gloriosa,Buddleja,KNApSAcK
9,C00003075,2415-24-9,Catalpol,C15H22O10,362.12129692,Buddleja variabilis,Buddleja,KNApSAcK
10,C00003075,2415-24-9,Catalpol,C15H22O10,362.12129692,Buddleja spp.,Buddleja,KNApSAcK
11,C00003076,6736-85-2,Catalposide,C22H26O12,482.1424263,Buddleja globosa Lam.,Buddleja,KNApSAcK
12,C00003105,62346-20-7,Buddledin A,C17H24O3,276.17254463,Buddleja madagascariensis,Buddleja,KNApSAcK
13,C00003105,62346-20-7,Buddledin A,C17H24O3,276.17254463,Buddleja globosa,Buddleja,KNApSAcK
14,C00003105,62346-20-7,Buddledin A,C17H24O3,276.17254463,Buddleja davidii,Buddleja,KNApSAcK
15,C00003672,83-46-5,(-)-beta-Sitosterol,C29H50O,414.38616622,Buddleja madagascariensis,Buddleja,KNApSAcK
16,C00003674,83-48-7,beta-Stigmasterol,C29H48O,412.37051615,Buddleja madagascariensis,Buddleja,KNApSAcK
17,C00003737,638-95-9,alpha-Amyrin,C30H50O,426.38616622,Buddleja madagascariensis,Buddleja,KNApSAcK
18,C00003738,559-70-6,beta-Amyrin,C30H50O,426.38616622,Buddleja madagascariensis,Buddleja,KNApSAcK
19,C00003817,520-36-5,Apigenin,C15H10O5,270.05282343,Buddleja officinalis,Buddleja,KNApSAcK
20,C00005873,142750-32-1,Kaempferol 7-(6''-p-coumarylglucoside),C30H26O13,594.13734092,Buddleja coriacea,Buddleja,KNApSAcK
21,C00006011,142768-55-6,Isorhamnetin 7-(6''-p-coumarylglucoside),C31H28O14,624.14790561,Buddleja coriacea,Buddleja,KNApSAcK
22,C00010518,1617-84-1,6-O-Methyl catalpol,C16H24O10,376.13694699,Buddleja globosa,Buddleja,KNApSAcK
23,C00012467,471-05-6,Zerumbone,C15H22O,218.16706532,Buddleja globosa,Buddleja,KNApSAcK
24,C00012487,62346-21-8,Buddledin B,C15H22O2,234.16197995,Buddleja globosa,Buddleja,KNApSAcK
25,C00012487,62346-21-8,Buddledin B,C15H22O2,234.16197995,Buddleja davidii,Buddleja,KNApSAcK
26,C00012487,62346-21-8,Buddledin B,C15H22O2,234.16197995,Buddleja madagascariensis,Buddleja,KNApSAcK
27,C00012488,62346-22-9,Buddledin C,C15H22O,218.16706532,Buddleja davidii,Buddleja,KNApSAcK
28,C00012489,62413-96-1,Buddledin D,C15H22O,218.16706532,Buddleja davidii,Buddleja,KNApSAcK
29,C00013627,194602-91-0,Acacetin 7-(2G-rhamnosyl)-rutinoside,C34H42O18,738.23711454,Buddleja officinalis,Buddleja,KNApSAcK
30,C00014343,97218-30-9,"5,7,3'-Trihydroxy-4'-methoxyflavanone 7-(2,6-dirhamnosylglucoside)",C34H44O19,756.24767923,Buddleja madagascariensis,Buddleja,KNApSAcK
31,C00030657,83529-62-8,Leucosceptoside A,C30H38O15,638.22107055,Buddleja davidii,Buddleja,KNApSAcK
32,C00034553,94410-22-7,Isomartynoside,C31H40O15,652.23672061,Buddleja davidii,Buddleja,KNApSAcK
