,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00002962,4773-96-0,Aphloiol,C19H18O11,422.08491142,Bersama engleriana Gurke,Bersama,KNApSAcK
1,C00003623,4064-09-9,Hellebrigenin 3-acetate,C26H34O7,458.23045344,Bersama abyssinica,Bersama,KNApSAcK
2,C00003749,545-47-1,Lupeol,C30H50O,426.38616622,Bersama swinyi,Bersama,KNApSAcK
3,C00019064,508-02-1,Oleanolic acid,C30H48O3,456.3603454,Bersama swinyi,Bersama,KNApSAcK
4,C00021224,13159-28-9,Betulinaldehyde,C30H48O2,440.36543078,Bersama swinyi,Bersama,KNApSAcK
5,C00033375,510-62-3,Scilliglaucosidin,C24H30O5,398.20932407,Bersama abyssinica Fresen.,Bersama,KNApSAcK
6,C00041046,58940-21-9,"Lup-20(29)-ene-3beta,27-diol",C30H50O2,442.38108084,Bersama swinyi,Bersama,KNApSAcK
7,C00041129,220271-86-3,Swinniol,C30H48O3,456.3603454,Bersama swinyi,Bersama,KNApSAcK
0,C00005491,26931-68-0,3-O-Methylquercetin 7-O-beta-D-glucopyranoside,C22H22O12,478.11112617,Francoa sonchifolia,Francoa,KNApSAcK
0,C00003672,83-46-5,(-)-beta-Sitosterol,C29H50O,414.38616622,Melianthus major,Melianthus,KNApSAcK
1,C00019308,474-58-8,3-O-beta-D-Glucopyranosyl sitosterol,C35H60O6,576.43898965,Melianthus major,Melianthus,KNApSAcK
2,C00052873,23044-66-8,Melianthugenin,C26H32O7,456.21480338,Melianthus major,Melianthus,KNApSAcK
3,C00053467,27785-98-4,Melianthusigenin,C28H36O8,500.24101813,Melianthus major,Melianthus,KNApSAcK
0,C00037288,56252-02-9,Hydroxyanigorufone,C19H12O3,288.07864425,Musa balbisiana,Balbisia,KNApSAcK
1,C00037306,149184-19-0,Irenolone,C19H12O3,288.07864425,Musa balbisiana,Balbisia,KNApSAcK
2,C00038454,56252-32-5,Anigorufone,C19H12O2,272.08372963,Musa balbisiana,Balbisia,KNApSAcK
3,C00057062,143183-60-2,Musabalbisiane C,C28H40O12,568.25197674,Musa balbisiana,Balbisia,KNApSAcK
4,C00057063,143183-61-3,Musabalbisiane A,C23H28O12,496.15807636,Musa balbisiana,Balbisia,KNApSAcK
5,C00057065,143199-58-0,Musabalbisiane B,C23H30O12,498.17372642,Musa balbisiana,Balbisia,KNApSAcK
0,C00001205,110-15-6,Succinic acid,C4H6O4,118.02660868,Gunnera sp.,Gunnera,KNApSAcK
1,C00001205,110-15-6,Succinic acid,C4H6O4,118.02660868,Gunnera perpensa,Gunnera,KNApSAcK
2,C00002670,87-66-1,Pyrogallol,C6H6O3,126.03169406,Gunnera perpensa,Gunnera,KNApSAcK
3,C00002670,87-66-1,Pyrogallol,C6H6O3,126.03169406,Gunnera sp.,Gunnera,KNApSAcK
4,C00036511,51768-14-0,"3,3',4-tri-O-Methylellagic acid 4'-O-beta-D-glucopyranoside",C23H22O13,506.10604079,Gunnera sp.,Gunnera,KNApSAcK
5,C00050478,50-21-5,Lactic acid,C3H6O3,90.03169406,Gunnera sp.,Gunnera,KNApSAcK
6,C00061390,314249-06-4,"(2Z)-2-(beta-D-Glucopyranosyloxy)-3-(4-hydroxyphenyl)-2-propenoic acid, methyl ester",C16H20O9,356.11073224,Gunnera sp.,Gunnera,KNApSAcK
7,C00063051,80645-63-2,(Z)-Venusol,C15H16O8,324.08451749,Gunnera sp.,Gunnera,KNApSAcK
0,C00003652,57-87-4,Ergosterol,C28H44O,396.33921603,Amanita caesarea,Caesarea,KNApSAcK
0,C00004759,1486-67-5,Annulatin,C16H12O8,332.05321736,Oenothera speciosa,Oenothera,KNApSAcK
1,C00005434,31564-38-2,"Quercetin 3,7-diglucuronide",C27H26O19,654.10682865,Oenothera speciosa,Oenothera,KNApSAcK
