,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00037971,534584-64-0,Umbilicaxanthoside A,C25H28O11,504.16316174,Umbilicaria proboscidea (L.) Schrader,Proboscidea,KNApSAcK
1,C00037972,534584-93-5,Umbilicaxanthoside B,C36H46O16,734.27858542,Umbilicaria proboscidea (L.) Schrader,Proboscidea,KNApSAcK
0,C00002729,583-17-5,2-Hydroxycinnamic acid,C9H8O3,164.04734412,Martynia annua,Martynia,KNApSAcK
0,C00003817,520-36-5,Apigenin,C15H10O5,270.05282343,Ibicella lutea,Ibicella,KNApSAcK
1,C00044411,651025-46-6,"1,3-Diacetyl-24-epi-polacandrin",C34H56O7,576.40260414,Ibicella lutea,Ibicella,KNApSAcK
2,C00044439,651025-45-5,3-Acetyl-24-epi-polacandrin,C32H54O6,534.39203946,Ibicella lutea,Ibicella,KNApSAcK
