,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00001151,57-50-1,D-Sucrose,C12H22O11,342.11621155,Veratrum album,Veratrum,KNApSAcK
1,C00001238,57-11-4,Octadecanoic acid,C18H36O2,284.27153039,Veratrum album,Veratrum,KNApSAcK
2,C00001263,557-61-9,1-Octacosanol,C28H58O,410.44876647,Veratrum album,Veratrum,KNApSAcK
3,C00001678,483-04-5,Ajmalicine,C21H24N2O3,352.17869265,Veratrum album var.lobelianum,Veratrum,KNApSAcK
4,C00002242,20562-03-2,Chaconine,C45H73NO14,851.50310605,Veratrum stenophyllum,Veratrum,KNApSAcK
5,C00002245,4449-51-8,Cyclopamine,C27H41NO2,411.31372956,Veratrum album,Veratrum,KNApSAcK
6,C00002245,4449-51-8,Cyclopamine,C27H41NO2,411.31372956,Veratrum californicum,Veratrum,KNApSAcK
7,C00002250,508-65-6,Germine,C27H43NO8,509.29886736,Veratrum viride,Veratrum,KNApSAcK
8,C00002250,508-65-6,Germine,C27H43NO8,509.29886736,Veratrum taliense,Veratrum,KNApSAcK
9,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum lobelianum,Veratrum,KNApSAcK
10,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum viride,Veratrum,KNApSAcK
11,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum taliense,Veratrum,KNApSAcK
12,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum stenophyllum,Veratrum,KNApSAcK
13,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum patulum,Veratrum,KNApSAcK
14,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum nigrum,Veratrum,KNApSAcK
15,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum grandiflorum,Veratrum,KNApSAcK
16,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum dahuricum,Veratrum,KNApSAcK
17,C00002253,469-59-0,Jervine,C27H39NO3,425.29299412,Veratrum album,Veratrum,KNApSAcK
18,C00002256,143-57-7,Protoveratrine A,C41H63NO14,793.42485573,Veratrum album,Veratrum,KNApSAcK
19,C00002256,143-57-7,Protoveratrine A,C41H63NO14,793.42485573,Veratrum viride,Veratrum,KNApSAcK
20,C00002256,143-57-7,Protoveratrine A,C41H63NO14,793.42485573,Veratrum nigrum,Veratrum,KNApSAcK
21,C00002257,124-97-0,Protoveratrine B,C41H63NO15,809.41977035,Veratrum viride,Veratrum,KNApSAcK
22,C00002257,124-97-0,Protoveratrine B,C41H63NO15,809.41977035,Veratrum nigrum,Veratrum,KNApSAcK
23,C00002257,124-97-0,Protoveratrine B,C41H63NO15,809.41977035,Veratrum album,Veratrum,KNApSAcK
24,C00002258,76-45-9,Protoverine,C27H43NO9,525.29378198,Veratrum album,Veratrum,KNApSAcK
25,C00002258,76-45-9,Protoverine,C27H43NO9,525.29378198,Veratrum lobelianum Bernh.,Veratrum,KNApSAcK
26,C00002261,80-78-4,Solanidine,C27H43NO,397.334465,Veratrum mentzeanum,Veratrum,KNApSAcK
27,C00002261,80-78-4,Solanidine,C27H43NO,397.334465,Veratrum taliense,Veratrum,KNApSAcK
28,C00002261,80-78-4,Solanidine,C27H43NO,397.334465,Veratrum nigrum,Veratrum,KNApSAcK
29,C00002261,80-78-4,Solanidine,C27H43NO,397.334465,Veratrum grandiflorum,Veratrum,KNApSAcK
30,C00002270,60-70-8,Veratramine,C27H39NO2,409.2980795,Veratrum patulum,Veratrum,KNApSAcK
31,C00002270,60-70-8,Veratramine,C27H39NO2,409.2980795,Veratrum dahuricum,Veratrum,KNApSAcK
32,C00002270,60-70-8,Veratramine,C27H39NO2,409.2980795,Veratrum grandiflorum,Veratrum,KNApSAcK
33,C00002270,60-70-8,Veratramine,C27H39NO2,409.2980795,Veratrum mentzeanum,Veratrum,KNApSAcK
34,C00002270,60-70-8,Veratramine,C27H39NO2,409.2980795,Veratrum nigrum,Veratrum,KNApSAcK
35,C00002270,60-70-8,Veratramine,C27H39NO2,409.2980795,Veratrum viride,Veratrum,KNApSAcK
36,C00002272,545-45-9,Zygadenine,C27H43NO7,493.30395274,Veratrum stenophyllum,Veratrum,KNApSAcK
37,C00002272,545-45-9,Zygadenine,C27H43NO7,493.30395274,Veratrum maackii,Veratrum,KNApSAcK
38,C00002272,545-45-9,Zygadenine,C27H43NO7,493.30395274,Veratrum album,Veratrum,KNApSAcK
39,C00002893,29700-22-9,Oxyresveratrol,C14H12O4,244.07355887,Veratrum album,Veratrum,KNApSAcK
40,C00002893,29700-22-9,Oxyresveratrol,C14H12O4,244.07355887,Veratrum grandiflorum,Veratrum,KNApSAcK
41,C00002896,27208-80-6,(E)-Piceid,C20H22O8,390.13146768,Veratrum grandiflorum,Veratrum,KNApSAcK
42,C00002903,501-36-0,Resveratrol,C14H12O3,228.07864425,Veratrum album,Veratrum,KNApSAcK
43,C00002903,501-36-0,Resveratrol,C14H12O3,228.07864425,Veratrum nigrum var.ussuriense,Veratrum,KNApSAcK
