,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00047078,272776-00-8,Petersaponin III,C62H92O26,1252.58768311,Petersianthus macrocarpus,Petersianthus,KNApSAcK
1,C00047079,272776-01-9,Petersaponin IV,C63H94O27,1282.5982478,Petersianthus macrocarpus,Petersianthus,KNApSAcK
0,C00050090,200215-95-8,Eschweilenol A,C20H10O11,426.02231116,Eschweilera coriacea,Eschweilera,KNApSAcK
1,C00050091,200215-96-9,Eschweilenol B,C20H8O11,424.0066611,Eschweilera coriacea,Eschweilera,KNApSAcK
2,C00050092,211371-02-7,Eschweilenol C,C20H16O12,448.06417598,Eschweilera coriacea,Eschweilera,KNApSAcK
0,C00003741,472-15-1,beta-Betulinic acid,C30H48O3,456.3603454,Gustavia hexapetala,Gustavia,KNApSAcK
1,C00043551,720698-33-9,Gustastatin,C31H40O9,556.26723288,Gustavia hexapetala,Gustavia,KNApSAcK
0,C00001874,3621-38-3,Jatrorrhizine,C20H20NO4,338.13923313,Michelia spp.,Michelia,KNApSAcK
1,C00002547,32383-76-9,(-)-Medicarpin,C16H14O4,270.08920894,Trifolium michelianum,Michelia,KNApSAcK
2,C00002631,21453-69-0,(+)-Lirioresinol B,C22H26O8,418.16276781,Michelia sphaerantha,Michelia,KNApSAcK
3,C00002631,21453-69-0,(+)-Lirioresinol B,C22H26O8,418.16276781,Michelia fuscata,Michelia,KNApSAcK
4,C00003139,489-86-1,Guaiol,C15H26O,222.19836545,Michelia champaca,Michelia,KNApSAcK
5,C00003327,66392-96-9,Michelenolide,C15H20O4,264.13615913,Michelia compressa,Michelia,KNApSAcK
6,C00003328,68370-47-8,Micheliolide,C15H20O3,248.1412445,Michelia compressa,Michelia,KNApSAcK
7,C00003345,20554-84-1,Parthenolide,C15H20O3,248.1412445,Michelia lanuginosa,Michelia,KNApSAcK
8,C00003345,20554-84-1,Parthenolide,C15H20O3,248.1412445,Michelia champaca,Michelia,KNApSAcK
9,C00003345,20554-84-1,Parthenolide,C15H20O3,248.1412445,Michelia yunnanensis,Michelia,KNApSAcK
10,C00003363,4290-13-5,Santamarin,C15H20O3,248.1412445,Michelia compressa,Michelia,KNApSAcK
11,C00011031,35997-96-7,(-)-Pinocampheol,C10H18O,154.1357652,Michelia champaca,Michelia,KNApSAcK
12,C00011739,112078-76-9,(-)-Bisparthenolidine,C30H43NO6,513.30903811,Michelia rajaniana,Michelia,KNApSAcK
13,C00011875,114076-68-5,(+)-Paramicholide,C17H24O6,324.1572885,Michelia baillonii,Michelia,KNApSAcK
14,C00011875,114076-68-5,(+)-Paramicholide,C17H24O6,324.1572885,Michelia rajaniana,Michelia,KNApSAcK
15,C00012095,2513-76-0,"11beta,13-Dihydroparthenolide",C15H22O3,250.15689457,Michelia compressa,Michelia,KNApSAcK
16,C00012102,31025-59-9,Lanuginolide,C17H24O5,308.16237388,Michelia compressa,Michelia,KNApSAcK
17,C00012102,31025-59-9,Lanuginolide,C17H24O5,308.16237388,Michelia lanuginosa,Michelia,KNApSAcK
18,C00012107,114076-73-2,9alpha-Hydroxydihydroparthenolide,C15H22O4,266.15180919,Michelia baillonii,Michelia,KNApSAcK
19,C00012111,1140769-72-1,2alpha-Hydroxydihydroparthenolide,C15H22O4,266.15180919,Michelia baillonii,Michelia,KNApSAcK
20,C00012223,119766-96-0,(+)-N-Acetylparthenolidine,C17H25NO4,307.17835829,Michelia rajaniana,Michelia,KNApSAcK
21,C00013040,28254-53-7,(+)-Reynosin,C15H20O3,248.1412445,Michelia yunnanensis,Michelia,KNApSAcK
