,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000998,529-55-5,Naringenin 7-O-beta-D-glucoside,C21H22O10,434.12129692,Coriaria sp.,Coriaria,KNApSAcK
1,C00001227,503-05-9,Malvalic acid,C18H32O2,280.24023027,Caesalpinia coriaria,Coriaria,KNApSAcK
2,C00001239,738-87-4,Sterculic acid,C19H34O2,294.25588033,Caesalpinia coriaria,Coriaria,KNApSAcK
3,C00002374,7084-24-4,Cyanidin 3-O-glucoside,C21H21O11.Cl,484.07723923,Coriaria myrtifolia,Coriaria,KNApSAcK
4,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Rhus coriaria,Coriaria,KNApSAcK
5,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Coriaria sinica,Coriaria,KNApSAcK
6,C00002914,89871-78-3,Coriariin A,C82H58O52,1874.18941221,Coriaria japonica,Coriaria,KNApSAcK
7,C00002920,58970-75-5,Eugeniin,C41H30O26,938.10253114,Coriaria japonica,Coriaria,KNApSAcK
8,C00002926,60976-49-0,Geraniin,C41H28O27,952.0817957,Coriaria japonica,Coriaria,KNApSAcK
9,C00002937,84754-11-0,Rugosin D,C82H58O52,1874.18941221,Coriaria japonica,Coriaria,KNApSAcK
10,C00003238,2571-86-0,Coriamyrtin,C15H18O5,278.11542369,Coriaria japonica,Coriaria,KNApSAcK
11,C00003238,2571-86-0,Coriamyrtin,C15H18O5,278.11542369,Coriaria myrtifolia,Coriaria,KNApSAcK
12,C00003324,3484-46-6,Mellitoxin,C15H18O7,310.10525293,Coriaria arborea,Coriaria,KNApSAcK
13,C00003381,2571-22-4,Tutin,C15H18O6,294.11033831,Coriaria sinica,Coriaria,KNApSAcK
14,C00003381,2571-22-4,Tutin,C15H18O6,294.11033831,Coriaria angustissima,Coriaria,KNApSAcK
15,C00003381,2571-22-4,Tutin,C15H18O6,294.11033831,Coriaria japonica,Coriaria,KNApSAcK
16,C00006484,114312-08-2,Sumaflavone,C30H18O11,554.08491142,Rhus coriaria,Coriaria,KNApSAcK
17,C00006734,30113-37-2,Primulin,C23H25O12,493.13460127,Coriaria myrtifolia,Coriaria,KNApSAcK
18,C00006735,7228-78-6,Oenin,C23H25O12,493.13460127,Coriaria myrtifolia,Coriaria,KNApSAcK
19,C00021364,35481-77-7,Corianin,C15H18O6,294.11033831,Coriaria japonica,Coriaria,KNApSAcK
20,C00021969,472-97-9,beta-Caryophyllene alcohol,C15H26O,222.19836545,Rhus coriaria,Coriaria,KNApSAcK
21,C00030222,831-61-8,Ethyl gallate,C9H10O5,198.05282343,Rhus coriaria,Coriaria,KNApSAcK
22,C00030226,480-34-2,Eugenin,C11H10O4,206.05790881,Coriaria japonica,Coriaria,KNApSAcK
23,C00031689,868542-44-3,Coriarin,C15H18O6,294.11033831,Coriaria japonica,Coriaria,KNApSAcK
24,C00031752,2749-29-3,Dihydrotutin,C15H20O6,296.12598837,Coriaria japonica,Coriaria,KNApSAcK
25,C00047818,1187958-24-2,Coriarioside A,C119H188O55,2497.19141022,Albizia coriaria,Coriaria,KNApSAcK
26,C00047819,1187958-25-3,Coriarioside B,C107H168O46,2189.08067798,Albizia coriaria,Coriaria,KNApSAcK
27,C00047919,930579-67-2,Gummiferaoside C,C113H178O50,2335.13858679,Albizia coriaria,Coriaria,KNApSAcK
28,C00058434,147899-42-1,Coriariin G,C55H46O37,1298.17179249,Coriaria japonica,Coriaria,KNApSAcK
29,C00058435,147934-11-0,Coriariin H,C48H42O33,1146.16083388,Coriaria japonica,Coriaria,KNApSAcK
30,C00058436,147899-43-2,Coriariin I,C55H46O37,1298.17179249,Coriaria japonica,Coriaria,KNApSAcK
31,C00058437,147899-44-3,Coriariin J,C48H32O30,1088.09783969,Coriaria japonica,Coriaria,KNApSAcK
