,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000004,468-44-0,Gibberellin A4,C19H24O5,332.16237388,Dicksonia antarctica,Dicksonia,KNApSAcK
1,C00000009,427-77-0,Gibberellin A9,C19H24O4,316.16745925,Dicksonia antarctica,Dicksonia,KNApSAcK
2,C00000015,13744-18-8,Gibberellin A15,C20H26O4,330.18310932,Dicksonia antarctica,Dicksonia,KNApSAcK
3,C00000025,28535-69-5,Gibberellin A25,C20H26O6,362.17293856,Dicksonia antarctica,Dicksonia,KNApSAcK
4,C00000037,38231-54-8,Gibberellin A37,C20H26O5,346.17802394,Dicksonia antarctica,Dicksonia,KNApSAcK
5,C00001210,75803-47-3,Gibberellin A111,C20H28O5,348.193674,Dicksonia antarctica,Dicksonia,KNApSAcK
6,C00007874,,Gibberellin A112,C20H28O5,348.193674,Dicksonia antarctica,Dicksonia,KNApSAcK
