,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000149,6750-60-3,Espatulenol,C15H24O,220.18271539,Aristolochia yunnanensis,Aristolochia,KNApSAcK
1,C00000149,6750-60-3,Espatulenol,C15H24O,220.18271539,Aristolochia trilobata,Aristolochia,KNApSAcK
2,C00000152,7400-08-0,p-Coumaric acid,C9H8O3,164.04734412,Aristolochia manshuriensis,Aristolochia,KNApSAcK
3,C00000587,81446-29-9,(-)-Pinoresinol,C20H22O6,358.14163844,Aristolochia elegans,Aristolochia,KNApSAcK
4,C00000601,607-80-7,(+)-Sesamin,C20H18O6,354.11033831,Aristolochia pubescens,Aristolochia,KNApSAcK
5,C00000601,607-80-7,(+)-Sesamin,C20H18O6,354.11033831,Aristolochia flos-avis,Aristolochia,KNApSAcK
6,C00000640,526-06-7,(+)-Eudesmin,C22H26O6,386.17293856,Aristolochia pubescens,Aristolochia,KNApSAcK
7,C00000640,526-06-7,(+)-Eudesmin,C22H26O6,386.17293856,Aristolochia elegans,Aristolochia,KNApSAcK
8,C00000640,526-06-7,(+)-Eudesmin,C22H26O6,386.17293856,Aristolochia flos-avis,Aristolochia,KNApSAcK
9,C00000647,487-39-8,Phillygenin,C21H24O6,372.1572885,Aristolochia flos-avis,Aristolochia,KNApSAcK
10,C00000816,127-91-3,beta-Pinene,C10H16,136.12520051,Aristolochia trilobata,Aristolochia,KNApSAcK
11,C00000823,138-86-3,Limonene,C10H16,136.12520051,Aristolochia trilobata,Aristolochia,KNApSAcK
12,C00000843,3338-55-4,cis-beta-Ocimene,C10H16,136.12520051,Aristolochia trilobata,Aristolochia,KNApSAcK
13,C00000853,123-35-3,beta-Myrcene,C10H16,136.12520051,Aristolochia trilobata,Aristolochia,KNApSAcK
14,C00000856,99-96-7,4-hydroxybenzoic acid,C7H6O3,138.03169406,Aristolochia manshuriensis,Aristolochia,KNApSAcK
15,C00000856,99-96-7,4-hydroxybenzoic acid,C7H6O3,138.03169406,Aristolochia elegans,Aristolochia,KNApSAcK
16,C00001122,492-62-6,alpha-D-Glucose,C6H12O6,180.06338812,Aristolochia pubescens,Aristolochia,KNApSAcK
17,C00001168,10284-63-6,D-Pinitol,C7H14O6,194.07903818,Aristolochia,Aristolochia,KNApSAcK
18,C00001172,523-92-2,Sequoyitol,C7H14O6,194.07903818,Aristolochia debilis,Aristolochia,KNApSAcK
19,C00001408,51-61-6,Dopamine,C8H11NO2,153.0789786,Aristolochia gigantea,Aristolochia,KNApSAcK
20,C00001435,51-67-2,Tyramine,C8H11NO,137.08406398,Aristolochia gigantea,Aristolochia,KNApSAcK
21,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia cinnabarina,Aristolochia,KNApSAcK
22,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia tubiflora,Aristolochia,KNApSAcK
23,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia pubescens,Aristolochia,KNApSAcK
24,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia ponticum,Aristolochia,KNApSAcK
25,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia mollissima,Aristolochia,KNApSAcK
26,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia maurorum,Aristolochia,KNApSAcK
27,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia manshuriensis,Aristolochia,KNApSAcK
28,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia manchuriensis,Aristolochia,KNApSAcK
29,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia longa,Aristolochia,KNApSAcK
30,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia kunmingensis,Aristolochia,KNApSAcK
31,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia kaempferi,Aristolochia,KNApSAcK
32,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia indica,Aristolochia,KNApSAcK
33,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia elegans,Aristolochia,KNApSAcK
34,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia debilis,Aristolochia,KNApSAcK
35,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia clematitis,Aristolochia,KNApSAcK
36,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia,Aristolochia,KNApSAcK
37,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia clematis,Aristolochia,KNApSAcK
38,C00001526,313-67-7,aristolochic acid,C17H11NO7,341.05355171,Aristolochia cinnarbarina,Aristolochia,KNApSAcK
39,C00001862,6808-72-6,Glaziovine,C18H19NO3,297.13649348,Aristolochia chilensis,Aristolochia,KNApSAcK
40,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia sipho,Aristolochia,KNApSAcK
41,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia clematitis,Aristolochia,KNApSAcK
42,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia contorta,Aristolochia,KNApSAcK
43,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia debilis,Aristolochia,KNApSAcK
44,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia elegans,Aristolochia,KNApSAcK
45,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia fangchi,Aristolochia,KNApSAcK
46,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia gigantea,Aristolochia,KNApSAcK
47,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia heterophylla,Aristolochia,KNApSAcK
48,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia manshuriensis,Aristolochia,KNApSAcK
49,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia moupinensis,Aristolochia,KNApSAcK
50,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia thunbergii,Aristolochia,KNApSAcK
51,C00001885,2141-09-5,Magnoflorine,C20H24NO4,342.17053326,Aristolochia triangularis,Aristolochia,KNApSAcK
52,C00001910,485-19-8,(+)-Reticuline,C19H23NO4,329.16270823,Aristolochia gigantea,Aristolochia,KNApSAcK
53,C00001915,27740-96-1,(-)-Salsolinol,C10H13NO2,179.09462867,Aristolochia arcuata,Aristolochia,KNApSAcK
54,C00001919,518-34-3,(+)-Tetrandrine,C38H42N2O6,622.30428709,Aristolochia heterophylla,Aristolochia,KNApSAcK
55,C00001919,518-34-3,(+)-Tetrandrine,C38H42N2O6,622.30428709,Aristolochia debilis,Aristolochia,KNApSAcK
