,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000803,5989-54-8,(-)-Limonene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
1,C00000805,80-56-8,alpha-Pinene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
2,C00000806,18172-67-3,(-)-beta-Pinene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
3,C00000816,127-91-3,beta-Pinene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
4,C00000823,138-86-3,Limonene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
5,C00000839,13466-78-9,3-Carene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
6,C00000853,123-35-3,beta-Myrcene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
7,C00000861,586-62-9,alpha-Terpinolene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
8,C00000991,548-82-3,Pinobanksin,C15H12O5,272.06847349,Pinus banksiana,Banksia,KNApSAcK
9,C00001157,22350-68-1,L- Bornesitol,C7H14O6,194.07903818,Banksia integrifolia,Banksia,KNApSAcK
10,C00002374,7084-24-4,Cyanidin 3-O-glucoside,C21H21O11.Cl,484.07723923,Pinus banksiana,Banksia,KNApSAcK
11,C00002897,22139-77-1,Pinosylvin,C14H12O2,212.08372963,Pinus banksiana,Banksia,KNApSAcK
12,C00002898,35302-70-6,Pinosylvin methyl ether,C15H14O2,226.09937969,Pinus banksiana,Banksia,KNApSAcK
13,C00003654,5289-74-7,20-Hydroxyecdysone,C27H44O7,480.30870376,Plenasium banksiaefolium,Banksia,KNApSAcK
14,C00003667,13408-56-5,Ponasterone A,C27H44O6,464.31378914,Plenasium banksiaefolium,Banksia,KNApSAcK
15,C00005435,20188-84-5,"Quercetin 3,3'-diglucoside",C27H30O17,626.14829954,Pinus banksiana,Banksia,KNApSAcK
16,C00005851,20316-62-5,Kaempferol 3-O-beta-D-(6''-E-p-coumaroyl)glucopyranoside,C30H26O13,594.13734092,Pinus banksiana,Banksia,KNApSAcK
17,C00005961,56343-26-1,Helichrysoside,C30H26O14,610.13225554,Pinus banksiana,Banksia,KNApSAcK
18,C00006681,6906-39-4,Oxycoccicyanin,C22H23O11.Cl,498.09288929,Pinus banksiana,Banksia,KNApSAcK
19,C00006698,6906-38-3,Myrtillin,C21H21O12.Cl,500.07215385,Pinus banksiana,Banksia,KNApSAcK
20,C00006722,6988-81-4,Petunidin 3-glucoside,C22H23O12.Cl,514.08780391,Pinus banksiana,Banksia,KNApSAcK
21,C00006735,7228-78-6,Oenin,C23H25O12,493.13460127,Pinus banksiana,Banksia,KNApSAcK
22,C00010868,5989-27-5,(+)-Limonene,C10H16,136.12520051,Pinus banksiana,Banksia,KNApSAcK
23,C00022333,1227-93-6,13-Epimanoyl oxide,C20H34O,290.26096571,Pinus banksiana,Banksia,KNApSAcK
24,C00022719,1908-44-7,Torulosol,C20H34O2,306.25588033,Pinus banksiana,Banksia,KNApSAcK
0,C00000144,481-39-0,"5-Hydroxy-1,4-naphthoquinone",C10H6O3,174.03169406,Lomatia spp.,Lomatia,KNApSAcK
1,C00002846,475-38-7,Naphthazarin,C10H6O4,190.02660868,Lomatia obtigua,Lomatia,KNApSAcK
