,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000207,65-85-0,Benzoic acid,C7H6O2,122.03677944,Paeonia albiflora,Paeonia,KNApSAcK
1,C00000207,65-85-0,Benzoic acid,C7H6O2,122.03677944,Paeonia suffruticosa,Paeonia,KNApSAcK
2,C00000207,65-85-0,Benzoic acid,C7H6O2,122.03677944,Paeonia peregrina,Paeonia,KNApSAcK
3,C00000207,65-85-0,Benzoic acid,C7H6O2,122.03677944,Paeonia lactiflora,Paeonia,KNApSAcK
4,C00000207,65-85-0,Benzoic acid,C7H6O2,122.03677944,Paeonia hybrida,Paeonia,KNApSAcK
5,C00000856,99-96-7,4-hydroxybenzoic acid,C7H6O3,138.03169406,Paeonia peregrina,Paeonia,KNApSAcK
6,C00001122,492-62-6,alpha-D-Glucose,C6H12O6,180.06338812,Paeonia peregrina,Paeonia,KNApSAcK
7,C00001151,57-50-1,D-Sucrose,C12H22O11,342.11621155,Paeonia peregrina,Paeonia,KNApSAcK
8,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Paeonia emodi,Paeonia,KNApSAcK
9,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Paeonia mouton,Paeonia,KNApSAcK
10,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Paeonia albiflora,Paeonia,KNApSAcK
11,C00002652,554-37-0,Glucogallin,C13H16O10,332.07434673,Paeonia lactiflora,Paeonia,KNApSAcK
12,C00002664,108-95-2,Phenol,C6H6O,94.04186481,Paeonia albiflora,Paeonia,KNApSAcK
13,C00002682,121-34-6,Vanillic acid,C8H8O4,168.04225874,Paeonia hybrida,Paeonia,KNApSAcK
14,C00002689,498-02-2,3'-Methoxy-4'-hydroxyacetophenone,C9H10O3,166.06299419,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
15,C00002704,552-41-0,Paeonol,C9H10O3,166.06299419,Paeonia albiflora,Paeonia,KNApSAcK
16,C00002704,552-41-0,Paeonol,C9H10O3,166.06299419,Paeonia lactiflora wild,Paeonia,KNApSAcK
17,C00002704,552-41-0,Paeonol,C9H10O3,166.06299419,Paeonia moutan,Paeonia,KNApSAcK
18,C00002704,552-41-0,Paeonol,C9H10O3,166.06299419,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
19,C00002705,72520-92-4,Paeonolide,C20H28O12,460.15807636,Paeonia arborea,Paeonia,KNApSAcK
20,C00002705,72520-92-4,Paeonolide,C20H28O12,460.15807636,Paeonia suffruticosa,Paeonia,KNApSAcK
21,C00002705,72520-92-4,Paeonolide,C20H28O12,460.15807636,Paeonia moutan,Paeonia,KNApSAcK
22,C00002705,72520-92-4,Paeonolide,C20H28O12,460.15807636,Paeonia obovata,Paeonia,KNApSAcK
23,C00002706,20309-70-0,Paeonoside,C15H20O8,328.11581762,Paeonia moutan,Paeonia,KNApSAcK
24,C00002706,20309-70-0,Paeonoside,C15H20O8,328.11581762,Paeonia arborea,Paeonia,KNApSAcK
25,C00002706,20309-70-0,Paeonoside,C15H20O8,328.11581762,Paeonia suffruticosa,Paeonia,KNApSAcK
26,C00002932,7045-42-3,Pedunculagin,C34H24O22,784.07592246,Paeonia albiflora,Paeonia,KNApSAcK
27,C00002938,79786-08-6,Tellimagrandin I,C34H26O22,786.09157252,Paeonia albiflora,Paeonia,KNApSAcK
28,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia suffruticosa,Paeonia,KNApSAcK
29,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia peregrina,Paeonia,KNApSAcK
30,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia officinalis,Paeonia,KNApSAcK
31,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia moutan,Paeonia,KNApSAcK
32,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia lactiflora,Paeonia,KNApSAcK
33,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia japonica,Paeonia,KNApSAcK
34,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia hybrida,Paeonia,KNApSAcK
35,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia chinensis,Paeonia,KNApSAcK
36,C00003011,23180-57-6,Paeoniflorin,C23H28O11,480.16316174,Paeonia albiflora,Paeonia,KNApSAcK
37,C00003056,121-21-1,Pyrethrin I,C21H28O3,328.20384476,Paeonia albiflora,Paeonia,KNApSAcK
38,C00003057,121-29-9,Pyrethrin II,C22H28O5,372.193674,Paeonia albiflora,Paeonia,KNApSAcK
39,C00003741,472-15-1,beta-Betulinic acid,C30H48O3,456.3603454,Paeonia suffruticosa,Paeonia,KNApSAcK
40,C00004565,520-18-3,Kaempferol,C15H10O6,286.04773805,Paeonia albiflora,Paeonia,KNApSAcK
41,C00005182,25615-14-9,"Kaempferol 3,7-di-O-glucoside",C27H30O16,610.15338491,Paeonia albiflora,Paeonia,KNApSAcK
42,C00005357,114882-17-6,Sexangularetin 3-sophoroside,C28H32O17,640.1639496,Paeonia tenuifolia,Paeonia,KNApSAcK
43,C00005374,522-12-3,Quercetin 3-O-alpha-L-rhamnoside,C21H20O11,448.10056148,Paeonia suffruticosa,Paeonia,KNApSAcK
44,C00005718,114882-19-8,Limocitrin 3-sophoroside,C29H34O18,670.17451429,Paeonia tenuifolia,Paeonia,KNApSAcK
45,C00006688,132-37-6,"Peonidin-3,5-diglucoside",C28H33O16,625.17686001,Paeonia spp.,Paeonia,KNApSAcK
46,C00006688,132-37-6,"Peonidin-3,5-diglucoside",C28H33O16,625.17686001,Paeonia albiflora,Paeonia,KNApSAcK
47,C00007881,4547-85-7,Isosalipurposide,C21H22O10,434.12129692,Paeonia potaninii var. trollioides,Paeonia,KNApSAcK
48,C00010954,80454-42-8,(+)-Paeoniflorigenone,C17H18O6,318.11033831,Paeonia lactiflora wild,Paeonia,KNApSAcK
49,C00010954,80454-42-8,(+)-Paeoniflorigenone,C17H18O6,318.11033831,Paeonia peregrina,Paeonia,KNApSAcK
50,C00010954,80454-42-8,(+)-Paeoniflorigenone,C17H18O6,318.11033831,Paeonia albiflora,Paeonia,KNApSAcK
51,C00010954,80454-42-8,(+)-Paeoniflorigenone,C17H18O6,318.11033831,Paeonia hybrida,Paeonia,KNApSAcK
52,C00010954,80454-42-8,(+)-Paeoniflorigenone,C17H18O6,318.11033831,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
53,C00010955,98751-79-2,(-)-Paeonilactone A,C10H14O4,198.08920894,Paeonia albiflora PALLAS var.trichocarpa BUNGE,Paeonia,KNApSAcK
54,C00010955,98751-79-2,(-)-Paeonilactone A,C10H14O4,198.08920894,Paeonia officinalis,Paeonia,KNApSAcK
55,C00010956,98751-78-1,(+)-Paeonilactone B,C10H12O4,196.07355887,Paeonia officinalis,Paeonia,KNApSAcK
56,C00010956,98751-78-1,(+)-Paeonilactone B,C10H12O4,196.07355887,Paeonia albiflora PALLAS var.trichocarpa BUNGE,Paeonia,KNApSAcK
57,C00010957,98751-77-0,(+)-Paeonilactone C,C17H18O6,318.11033831,Paeonia officinalis,Paeonia,KNApSAcK
58,C00010957,98751-77-0,(+)-Paeonilactone C,C17H18O6,318.11033831,Paeonia albiflora PALLAS var. trichocarpa BUNGE,Paeonia,KNApSAcK
59,C00011060,88623-95-4,Lactiflorin,C23H26O10,462.15259705,Paeonia lactiflora,Paeonia,KNApSAcK
60,C00011060,88623-95-4,Lactiflorin,C23H26O10,462.15259705,Paeonia hybrida,Paeonia,KNApSAcK
61,C00019308,474-58-8,3-O-beta-D-Glucopyranosyl sitosterol,C35H60O6,576.43898965,Paeonia suffruticosa,Paeonia,KNApSAcK
62,C00019681,59-23-4,D-Galactose,C6H12O6,180.06338812,Paeonia peregrina,Paeonia,KNApSAcK
63,C00022872,52842-48-5,3'-Epilutein,C40H56O2,568.42803103,Paeonia officinalis,Paeonia,KNApSAcK
64,C00024094,139954-00-0,Palbinone,C22H30O4,358.21440945,Paeonia albiflora PALLAS (paeoniaceae),Paeonia,KNApSAcK
65,C00030226,480-34-2,Eugenin,C11H10O4,206.05790881,Paeonia albiflora,Paeonia,KNApSAcK
66,C00030226,480-34-2,Eugenin,C11H10O4,206.05790881,Paeonia lactiflora wild.,Paeonia,KNApSAcK
67,C00030754,99-24-1,"Methyl 3,4,5-trihydroxybenzoate",C8H8O5,184.03717337,Paeonia hybrida,Paeonia,KNApSAcK
68,C00030754,99-24-1,"Methyl 3,4,5-trihydroxybenzoate",C8H8O5,184.03717337,Paeonia emodi,Paeonia,KNApSAcK
69,C00032107,618911-91-4,Paeonin A,C30H32O12,584.18937649,Paeonia emodi,Paeonia,KNApSAcK
70,C00032107,618911-91-4,Paeonin A,C30H32O12,584.18937649,Paeonia lactiflora,Paeonia,KNApSAcK
71,C00032108,618911-64-1,Paeonin B,C23H28O11,480.16316174,Paeonia emodi,Paeonia,KNApSAcK
72,C00032108,618911-64-1,Paeonin B,C23H28O11,480.16316174,Paeonia lactiflora,Paeonia,KNApSAcK
73,C00032577,79886-50-3,"1,2,3,6-Tetra-O-galloyl-beta-D-glucose",C34H38O22,798.1854729,Paeonia albiflora,Paeonia,KNApSAcK
74,C00032577,79886-50-3,"1,2,3,6-Tetra-O-galloyl-beta-D-glucose",C34H38O22,798.1854729,Paeonia lactiflora wild.,Paeonia,KNApSAcK
75,C00032606,314282-88-7,"1beta,3beta,5alpha,23,24-Pentahydroxy-30-norolean-12,20(29)-dien-28-oic acid",C29H44O8,520.30361838,Paeonia emodi,Paeonia,KNApSAcK
76,C00032617,54698-17-8,"2,5-Dihydroxy-4-methylacetophenone",C9H10O3,166.06299419,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
77,C00032653,148808-24-6,3-O-Methylpaeonisuffral,C11H16O5,228.09977362,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
78,C00032695,6100-74-9,Acetoisovanillone,C9H10O3,166.06299419,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
79,C00032711,100291-86-9,Apiopaeonoside,C20H28O12,460.15807636,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
80,C00032759,72896-40-3,Benzoyloxypaeoniflorin,C30H32O13,600.18429111,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
81,C00032987,122965-41-7,Galloylpaeoniflorin,C30H32O15,632.17412036,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
82,C00032987,122965-41-7,Galloylpaeoniflorin,C30H32O15,632.17412036,Paeonia hybrida,Paeonia,KNApSAcK
83,C00033281,39011-91-1,Oxypaeoniflorin,C23H28O12,496.15807636,Paeonia albiflora,Paeonia,KNApSAcK
84,C00033281,39011-91-1,Oxypaeoniflorin,C23H28O12,496.15807636,Paeonia veitchii,Paeonia,KNApSAcK
85,C00033281,39011-91-1,Oxypaeoniflorin,C23H28O12,496.15807636,Paeonia lactiflora wild,Paeonia,KNApSAcK
86,C00033281,39011-91-1,Oxypaeoniflorin,C23H28O12,496.15807636,Paeonia obovata,Paeonia,KNApSAcK
87,C00033281,39011-91-1,Oxypaeoniflorin,C23H28O12,496.15807636,Paeonia moutan,Paeonia,KNApSAcK
88,C00033281,39011-91-1,Oxypaeoniflorin,C23H28O12,496.15807636,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
89,C00033340,89-84-9,Resacetophenone,C8H8O3,152.04734412,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
90,C00033396,145898-94-8,Suffruticoside A,C27H32O16,612.16903498,Paeonia moutan,Paeonia,KNApSAcK
91,C00033396,145898-94-8,Suffruticoside A,C27H32O16,612.16903498,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
92,C00033397,145898-95-9,Suffruticoside B,C27H32O16,612.16903498,Paeonia moutan,Paeonia,KNApSAcK
93,C00033397,145898-95-9,Suffruticoside B,C27H32O16,612.16903498,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
94,C00033398,145898-96-0,Suffruticoside C,C27H32O16,612.16903498,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
95,C00033398,145898-96-0,Suffruticoside C,C27H32O16,612.16903498,Paeonia moutan,Paeonia,KNApSAcK
96,C00033399,145898-97-1,Suffruticoside D,C27H32O16,612.16903498,Paeonia moutan,Paeonia,KNApSAcK
97,C00033399,145898-97-1,Suffruticoside D,C27H32O16,612.16903498,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
98,C00033400,145898-98-2,Suffruticoside E,C26H38O17,622.21089979,Paeonia suffruticosa ANDREWS,Paeonia,KNApSAcK
