,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00001442,499-20-7,Dhurrin,C14H17NO7,311.10050191,Trochodendron aralioides,Trochodendron,KNApSAcK
1,C00002631,21453-69-0,(+)-Lirioresinol B,C22H26O8,418.16276781,Trochodendron aralioides,Trochodendron,KNApSAcK
0,C00002500,531-44-2,7-(beta-D-glucopyranosyloxy)-6-methoxycoumarin,C16H18O9,354.09508217,Tetracentron sinense,Tetracentron,KNApSAcK
1,C00002599,24563-03-9,Dihydrocubebin,C20H22O6,358.14163844,Tetracentron sinense,Tetracentron,KNApSAcK
2,C00002682,121-34-6,Vanillic acid,C8H8O4,168.04225874,Tetracentron sinense,Tetracentron,KNApSAcK
3,C00003672,83-46-5,(-)-beta-Sitosterol,C29H50O,414.38616622,Tetracentron sinense,Tetracentron,KNApSAcK
4,C00003740,473-98-3,Betulin,C30H50O2,442.38108084,Tetracentron sinense,Tetracentron,KNApSAcK
5,C00003741,472-15-1,beta-Betulinic acid,C30H48O3,456.3603454,Tetracentron sinense,Tetracentron,KNApSAcK
6,C00003749,545-47-1,Lupeol,C30H50O,426.38616622,Tetracentron sinense,Tetracentron,KNApSAcK
7,C00019064,508-02-1,Oleanolic acid,C30H48O3,456.3603454,Tetracentron sinense,Tetracentron,KNApSAcK
8,C00019308,474-58-8,3-O-beta-D-Glucopyranosyl sitosterol,C35H60O6,576.43898965,Tetracentron sinense,Tetracentron,KNApSAcK
9,C00029531,121-33-5,4-Hydroxy-3-methoxybenzaldehyde,C8H8O3,152.04734412,Tetracentron sinense,Tetracentron,KNApSAcK
10,C00030742,4373-41-5,"2alpha,3beta-Dihydroxyolean-12-en-28-oic acid",C30H48O4,472.35526002,Tetracentron sinense,Tetracentron,KNApSAcK
11,C00034384,41514-64-1,"3,4,5-Trimethoxyphenyl beta-D-glucopyranoside",C15H22O9,346.1263823,Tetracentron sinense,Tetracentron,KNApSAcK
12,C00037278,161657-71-2,Huazhongilexin,C22H28O9,436.17333249,Tetracentron sinense,Tetracentron,KNApSAcK
13,C00037900,155861-85-1,Tetracentronside A,C23H28O12,496.15807636,Tetracentron sinense,Tetracentron,KNApSAcK
14,C00037901,288248-82-8,Tetracentronside B,C26H32O11,520.19446187,Tetracentron sinense,Tetracentron,KNApSAcK
15,C00052662,888030-67-9,3-(2-hydroxyethyl)-1H-indole-5-O-beta-D-glucopyranoside,C16H21NO7,339.13180203,Tetracentron sinense,Tetracentron,KNApSAcK
16,C00053818,928039-38-7,Tetracentronsine,C18H24O3,288.17254463,Tetracentron sinense,Tetracentron,KNApSAcK
